Ukazatel,Typ údaje,Území,CZ-COICOP,Roky,value
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2012,98.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2013,99.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2014,99.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2016,100.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2017,103.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2018,105.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2019,107.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2020,111.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2021,115.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2022,132.1
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2023,147.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Úhrn,2024,151.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2012,94.7
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2013,98.8
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2014,100.9
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2015,100.0
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2016,99.2
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2017,104.3
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2018,105.5
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2019,108.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2020,113.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2021,114.4
Harmonizovaný index spotřebitelských cen (HICP),Bazický index (2015 = 100),Česko,Potraviny a nealkoholické nápoje,2022,133.8
