Ukazatel;Typ údaje;Území;Měsíce;Spotřební skupina;value
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2025;Zboží úhrnem;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2025;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2025;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2025;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2025;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2025;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2025;Zboží úhrnem;101.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2025;Služby;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2024;Zboží úhrnem;99.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2024;Služby;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2024;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2024;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2024;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2024;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2024;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2024;Služby;99.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2024;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2024;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2024;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2024;Služby;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2024;Zboží úhrnem;99.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2024;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2024;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2024;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2024;Zboží úhrnem;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2024;Služby;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2024;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2024;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2024;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2024;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2024;Zboží úhrnem;101.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2024;Služby;101.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2023;Zboží úhrnem;99.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2023;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2023;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2023;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2023;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2023;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2023;Zboží úhrnem;99.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2023;Služby;99.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2023;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2023;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2023;Zboží úhrnem;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2023;Služby;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2023;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2023;Služby;100.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2023;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2023;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2023;Zboží úhrnem;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2023;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2023;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2023;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2023;Zboží úhrnem;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2023;Služby;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2023;Zboží úhrnem;108.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2023;Služby;101.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2022;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2022;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2022;Zboží úhrnem;101.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2022;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2022;Zboží úhrnem;97.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2022;Služby;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2022;Zboží úhrnem;101.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2022;Služby;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2022;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2022;Služby;100.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2022;Zboží úhrnem;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2022;Služby;101.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2022;Zboží úhrnem;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2022;Služby;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2022;Zboží úhrnem;102.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2022;Služby;101.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2022;Zboží úhrnem;101.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2022;Služby;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2022;Zboží úhrnem;102.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2022;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2022;Zboží úhrnem;101.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2022;Služby;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2022;Zboží úhrnem;105.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2022;Služby;102.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2021;Zboží úhrnem;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2021;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2021;Zboží úhrnem;99.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2021;Služby;100.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2021;Zboží úhrnem;101.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2021;Služby;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2021;Zboží úhrnem;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2021;Služby;99.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2021;Zboží úhrnem;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2021;Služby;101.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2021;Zboží úhrnem;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2021;Služby;101.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2021;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2021;Služby;100.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2021;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2021;Služby;100.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2021;Zboží úhrnem;101.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2021;Služby;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2021;Zboží úhrnem;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2021;Služby;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2021;Zboží úhrnem;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2021;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2021;Zboží úhrnem;101.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2021;Služby;101.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2020;Zboží úhrnem;99.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2020;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2020;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2020;Služby;100.1
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2020;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2020;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2020;Zboží úhrnem;99.9
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;září 2020;Služby;98.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2020;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;srpen 2020;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2020;Zboží úhrnem;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červenec 2020;Služby;101.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2020;Zboží úhrnem;100.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;červen 2020;Služby;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2020;Zboží úhrnem;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;květen 2020;Služby;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2020;Zboží úhrnem;99.7
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;duben 2020;Služby;99.8
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2020;Zboží úhrnem;100.3
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;březen 2020;Služby;99.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2020;Zboží úhrnem;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;únor 2020;Služby;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2020;Zboží úhrnem;101.5
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;leden 2020;Služby;101.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2019;Zboží úhrnem;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;prosinec 2019;Služby;100.2
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2019;Zboží úhrnem;100.4
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;listopad 2019;Služby;100.0
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2019;Zboží úhrnem;100.6
Index spotřebitelských cen (životních nákladů);Meziměsíční index;Česko;říjen 2019;Služby;100.2
