Území;Týdny;Ukazatel;value
Česko; 20. týden 2025;Průměrná cena bez daní (Kč/tis. l);13931.0
Česko; 20. týden 2025;Index cen (%);99.2
Česko; 19. týden 2025;Průměrná cena bez daní (Kč/tis. l);14046.0
Česko; 19. týden 2025;Index cen (%);97.0
Česko; 18. týden 2025;Průměrná cena bez daní (Kč/tis. l);14482.0
Česko; 18. týden 2025;Index cen (%);100.2
Česko; 17. týden 2025;Průměrná cena bez daní (Kč/tis. l);14448.0
Česko; 17. týden 2025;Index cen (%);100.3
Česko; 16. týden 2025;Průměrná cena bez daní (Kč/tis. l);14403.0
Česko; 16. týden 2025;Index cen (%);93.4
Česko; 15. týden 2025;Průměrná cena bez daní (Kč/tis. l);15412.0
Česko; 15. týden 2025;Index cen (%);97.7
Česko; 14. týden 2025;Průměrná cena bez daní (Kč/tis. l);15783.0
Česko; 14. týden 2025;Index cen (%);101.6
Česko; 13. týden 2025;Průměrná cena bez daní (Kč/tis. l);15541.0
Česko; 13. týden 2025;Index cen (%);100.8
Česko; 12. týden 2025;Průměrná cena bez daní (Kč/tis. l);15422.0
Česko; 12. týden 2025;Index cen (%);96.6
Česko; 11. týden 2025;Průměrná cena bez daní (Kč/tis. l);15967.0
Česko; 11. týden 2025;Index cen (%);95.5
Česko; 10. týden 2025;Průměrná cena bez daní (Kč/tis. l);16726.0
Česko; 10. týden 2025;Index cen (%);97.2
Česko; 09. týden 2025;Průměrná cena bez daní (Kč/tis. l);17203.0
Česko; 09. týden 2025;Index cen (%);101.6
Česko; 08. týden 2025;Průměrná cena bez daní (Kč/tis. l);16936.0
Česko; 08. týden 2025;Index cen (%);100.2
Česko; 07. týden 2025;Průměrná cena bez daní (Kč/tis. l);16903.0
Česko; 07. týden 2025;Index cen (%);98.1
Česko; 06. týden 2025;Průměrná cena bez daní (Kč/tis. l);17227.0
Česko; 06. týden 2025;Index cen (%);98.7
Česko; 05. týden 2025;Průměrná cena bez daní (Kč/tis. l);17457.0
Česko; 05. týden 2025;Index cen (%);98.3
