Ukazatel,Území,Typ indexu,Klasifikace produkce,Roky,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2016,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2017,98.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2018,100.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2019,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2020,103.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2021,110.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2022,137.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2023,144.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2024,145.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2016,93.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2017,97.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2018,104.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2019,111.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2020,108.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2021,113.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2022,144.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2023,211.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2024,208.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2015,100.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2016,96.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2017,99.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2018,100.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),VÝROBKY A SLUŽBY ZPRACOVATELSKÉHO PRŮMYSLU,2019,102.4
