Ukazatel,Území,Typ indexu,Klasifikace produkce,Čtvrtletí,value
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2015,100.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2015,101.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2015,99.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2015,98.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2016,96.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2016,96.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2016,96.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2016,97.5
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2017,98.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2017,98.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2017,98.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2017,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2018,98.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2018,100.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2018,101.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2018,101.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2019,102.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2019,103.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2019,103.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2019,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2020,103.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2020,102.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2020,103.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2020,103.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2021,105.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2021,108.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2021,112.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2021,116.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2022,128.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2022,138.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2022,141.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2022,141.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2023,147.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2023,143.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2023,143.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2023,142.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2024,146.2
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2024,145.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,3. čtvrtletí 2024,144.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,4. čtvrtletí 2024,145.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,1. čtvrtletí 2025,146.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),ÚHRN,2. čtvrtletí 2025,144.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2015,100.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2015,100.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2015,99.8
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2015,99.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2016,93.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2016,93.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2016,93.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2016,94.1
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2017,98.4
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2017,98.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2017,96.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2017,97.3
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2018,103.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2018,104.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2018,105.0
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,4. čtvrtletí 2018,105.9
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,1. čtvrtletí 2019,111.7
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,2. čtvrtletí 2019,112.6
Index cen průmyslových výrobců (%),Česko,Bazický index (2015 = 100),TĚŽBA A DOBÝVÁNÍ,3. čtvrtletí 2019,112.1
