Ukazatel;Území;Typ indexu;Klasifikace produkce;Měsíce;value
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2015;100.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2015;100.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2015;100.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2015;100.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2015;101.3
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2015;101.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2015;100.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2015;99.9
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;září 2015;99.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;říjen 2015;99.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;listopad 2015;98.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;prosinec 2015;98.2
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;leden 2016;96.6
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;únor 2016;96.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;březen 2016;96.0
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;duben 2016;96.1
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;květen 2016;96.5
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červen 2016;96.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;červenec 2016;96.7
Index cen průmyslových výrobců (%);Česko;Bazický index (2015 = 100);ÚHRN;srpen 2016;96.6
