Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2015;99.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2015;99.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2015;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2015;100.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2015;100.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2015;100.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2015;99.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2015;99.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2015;100.2
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2015;100.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2015;100.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;prosinec 2015;99.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;leden 2016;99.3
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;únor 2016;99.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;březen 2016;100.0
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;duben 2016;100.6
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;květen 2016;100.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červen 2016;100.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;červenec 2016;99.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;srpen 2016;99.4
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;září 2016;100.5
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;říjen 2016;100.7
Index cen za poskytnutí tržních služeb (%);Bazický index (2015 = 100);Česko;Index cen tržních služeb;listopad 2016;100.8
