Ukazatel,Typ indexu,Území,Klasifikace CZ-CPA,Kumulace měsíců,value
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden 2023,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – únor 2023,119.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – březen 2023,119.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – duben 2023,120.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – květen 2023,121.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – červen 2023,121.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – červenec 2023,121.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – srpen 2023,121.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – září 2023,121.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – říjen 2023,122.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – listopad 2023,122.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – prosinec 2023,122.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden 2024,123.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – únor 2024,124.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – březen 2024,125.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – duben 2024,125.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – květen 2024,126.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – červen 2024,126.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – červenec 2024,126.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – srpen 2024,126.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – září 2024,126.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – říjen 2024,126.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – listopad 2024,126.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – prosinec 2024,127.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden 2025,127.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – únor 2025,128.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – březen 2025,129.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – duben 2025,130.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – květen 2025,130.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – červen 2025,131.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – červenec 2025,131.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Index cen tržních služeb,leden – srpen 2025,131.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – únor 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – březen 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – duben 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – květen 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – červen 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – červenec 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – srpen 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – září 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – říjen 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – listopad 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – prosinec 2023,
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden 2024,123.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – únor 2024,124.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – březen 2024,124.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – duben 2024,124.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – květen 2024,124.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – červen 2024,125.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – červenec 2024,125.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – srpen 2024,125.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – září 2024,125.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – říjen 2024,125.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – listopad 2024,125.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – prosinec 2024,125.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden 2025,127.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – únor 2025,128.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – březen 2025,128.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – duben 2025,128.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – květen 2025,129.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – červen 2025,129.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – červenec 2025,129.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Tržní služby bez reklam,leden – srpen 2025,129.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden 2023,114.8
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – únor 2023,114.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – březen 2023,115.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – duben 2023,115.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – květen 2023,116.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – červen 2023,116.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – červenec 2023,116.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – srpen 2023,116.9
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – září 2023,117.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – říjen 2023,117.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – listopad 2023,117.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – prosinec 2023,117.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden 2024,118.6
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – únor 2024,118.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – březen 2024,118.0
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – duben 2024,118.1
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – květen 2024,118.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – červen 2024,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – červenec 2024,118.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – srpen 2024,118.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – září 2024,118.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – říjen 2024,118.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – listopad 2024,118.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – prosinec 2024,118.2
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden 2025,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – únor 2025,118.3
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – březen 2025,118.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – duben 2025,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – květen 2025,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – červen 2025,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – červenec 2025,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Pozemní a potrubní doprava,leden – srpen 2025,118.4
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden 2023,122.7
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – únor 2023,129.5
Index cen za poskytnutí tržních služeb (%),Bazický index (2015 = 100),Česko,Vodní doprava,leden – březen 2023,131.7
