Ukazatel;Území;Klasifikace CZ-CPA;Typ údaje;Měsíce;value
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2015;99.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2015;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2015;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2015;100.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2015;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2015;99.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2015;99.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2015;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2015;100.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2015;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2015;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2015;99.2
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2016;99.5
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2016;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2016;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;duben 2016;100.6
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;květen 2016;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červen 2016;99.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;červenec 2016;98.9
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;srpen 2016;100.0
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;září 2016;101.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;říjen 2016;100.3
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;listopad 2016;100.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;prosinec 2016;99.1
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;leden 2017;99.7
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;únor 2017;100.4
Index cen za poskytnutí tržních služeb (%);Česko;Index cen tržních služeb;Meziměsíční index;březen 2017;101.1
