Ukazatel;Typ indexu;Území;Klasifikace CZ-CPA;Měsíce;value
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;leden 2024;101.0
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;únor 2024;102.1
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;březen 2024;100.1
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;duben 2024;100.8
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;květen 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;červen 2024;100.0
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;červenec 2024;101.7
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;srpen 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;září 2024;99.5
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;říjen 2024;100.9
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;listopad 2024;100.9
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;prosinec 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;leden 2025;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;únor 2025;100.2
Index vývozních cen (%);Meziměsíční index;Česko;Úhrn celkem;březen 2025;98.9
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;leden 2024;103.4
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;únor 2024;97.4
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;březen 2024;100.6
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;duben 2024;102.1
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;květen 2024;97.8
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;červen 2024;102.3
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;červenec 2024;99.0
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;srpen 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;září 2024;101.7
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;říjen 2024;102.9
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;listopad 2024;100.3
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;prosinec 2024;100.7
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;leden 2025;103.0
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;únor 2025;101.2
Index vývozních cen (%);Meziměsíční index;Česko;PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ;březen 2025;100.1
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;leden 2024;100.4
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;únor 2024;102.4
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;březen 2024;98.7
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;duben 2024;94.0
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;květen 2024;93.9
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;červen 2024;99.6
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;červenec 2024;103.5
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;srpen 2024;97.6
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;září 2024;97.3
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;říjen 2024;98.0
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;listopad 2024;99.9
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;prosinec 2024;101.2
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;leden 2025;98.6
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;únor 2025;99.9
Index vývozních cen (%);Meziměsíční index;Česko;TĚŽBA A DOBÝVÁNÍ;březen 2025;99.1
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;leden 2024;100.8
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;únor 2024;102.5
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;březen 2024;100.2
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;duben 2024;100.6
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;květen 2024;98.5
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;červen 2024;99.8
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;červenec 2024;101.9
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;srpen 2024;99.2
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;září 2024;99.7
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;říjen 2024;100.8
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;listopad 2024;100.3
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;prosinec 2024;99.5
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;leden 2025;100.3
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;únor 2025;100.1
Index vývozních cen (%);Meziměsíční index;Česko;VÝROBKY ZPRACOVATELSKÉHO PRŮMYSLU;březen 2025;99.4
Index vývozních cen (%);Meziměsíční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;leden 2024;107.7
Index vývozních cen (%);Meziměsíční index;Česko;ELEKTŘINA, PLYN, PÁRA A KLIMATIZOVANÝ VZDUCH;únor 2024;89.3
