Ukazatel,Typ údaje,Území,Klasifikace CZ-CPA,Měsíce,value
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,červen 2024,2.9
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,červenec 2024,5.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,srpen 2024,4.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,září 2024,2.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,říjen 2024,3.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,listopad 2024,4.5
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,prosinec 2024,4.9
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,leden 2025,4.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,únor 2025,2.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,březen 2025,0.8
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,duben 2025,-0.5
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,květen 2025,0.3
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,červen 2025,-0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,červenec 2025,-2.4
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,Úhrn celkem,srpen 2025,-2.9
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",červen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",červenec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",srpen 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",září 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",říjen 2024,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",listopad 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",prosinec 2024,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",leden 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",únor 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",březen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",duben 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",květen 2025,0.2
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",červen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",červenec 2025,0.0
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,"PRODUKTY ZEMĚDĚLSTVÍ, LESNICTVÍ A RYBÁŘSTVÍ",srpen 2025,0.1
Rozklad přírůstků vývozních cen,Meziroční rozklad přírůstků,Česko,TĚŽBA A DOBÝVÁNÍ,červen 2024,-0.2
