Ukazatel;Druh nemovitosti;Typ údaje;Území;Roky;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2016;112.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2017;130.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2018;146.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2019;159.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2020;181.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2021;221.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2022;257.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2023;243.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2016;110.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2017;127.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2018;142.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2019;156.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2020;180.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2021;223.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2022;266.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2023;250.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2016;115.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2017;134.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2018;151.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2019;164.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2020;183.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2021;219.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2022;246.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2023;234.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2016;107.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2017;125.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2018;141.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2019;156.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2020;180.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2021;220.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2022;258.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Středočeský kraj;2023;244.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2015;100.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2016;108.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2017;123.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2018;138.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2019;158.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2020;188.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Jihočeský kraj;2021;235.7
