Ukazatel;Druh nemovitosti;Typ údaje;Území;Čtvrtletí;value
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2015;98.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2015;99.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2015;101.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2015;101.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2016;104.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2016;109.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2016;115.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2016;120.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2017;124.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2017;128.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2017;132.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2017;137.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2018;139.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2018;145.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2018;148.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2018;151.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2019;153.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2019;157.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2019;161.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2019;166.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2020;172.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2020;180.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2020;185.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2020;186.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2021;201.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2021;212.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2021;228.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2021;243.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2022;252.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2022;262.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2022;263.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2022;252.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;1. čtvrtletí 2023;243.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;2. čtvrtletí 2023;243.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;3. čtvrtletí 2023;242.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Česko;4. čtvrtletí 2023;243.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2015;98.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2015;99.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2015;100.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2015;101.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2016;102.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2016;107.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2016;113.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2016;118.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2017;121.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2017;126.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2017;129.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2017;133.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2018;136.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2018;142.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2018;144.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2018;147.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2019;149.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2019;154.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2019;158.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2019;162.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2020;170.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2020;182.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2020;183.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2020;184.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2021;200.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2021;214.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2021;231.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2021;247.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2022;259.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2022;271.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2022;272.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2022;262.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;1. čtvrtletí 2023;250.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;2. čtvrtletí 2023;249.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;3. čtvrtletí 2023;248.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);ČR bez Prahy;4. čtvrtletí 2023;250.9
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;1. čtvrtletí 2015;97.4
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2015;99.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;3. čtvrtletí 2015;101.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;4. čtvrtletí 2015;102.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;1. čtvrtletí 2016;107.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2016;113.5
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;3. čtvrtletí 2016;118.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;4. čtvrtletí 2016;122.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;1. čtvrtletí 2017;127.6
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2017;131.1
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;3. čtvrtletí 2017;136.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;4. čtvrtletí 2017;142.8
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;1. čtvrtletí 2018;142.7
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2018;150.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;3. čtvrtletí 2018;155.3
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;4. čtvrtletí 2018;157.0
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;1. čtvrtletí 2019;159.2
Index cen nemovitostí (%);Byty;Bazický index (2015 = 100);Hlavní město Praha;2. čtvrtletí 2019;162.1
