Území,Týdny,Ukazatel,Druh PHM,value
Česko, 41. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.38
Česko, 41. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.28
Česko, 41. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.9
Česko, 41. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 41. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.0
Česko, 41. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 40. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.39
Česko, 40. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.29
Česko, 40. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.9
Česko, 40. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.1
Česko, 40. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.1
Česko, 40. týden 2025,Index cen pohonných hmot (%),LPG,100.0
Česko, 39. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.36
Česko, 39. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.25
Česko, 39. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.9
Česko, 39. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 39. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.1
Česko, 39. týden 2025,Index cen pohonných hmot (%),LPG,99.7
Česko, 38. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.36
Česko, 38. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.23
Česko, 38. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.95
Česko, 38. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.2
Česko, 38. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.2
Česko, 38. týden 2025,Index cen pohonných hmot (%),LPG,100.2
Česko, 37. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.3
Česko, 37. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.17
Česko, 37. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.92
Česko, 37. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.3
Česko, 37. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.5
Česko, 37. týden 2025,Index cen pohonných hmot (%),LPG,99.8
Česko, 36. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.2
Česko, 36. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.02
Česko, 36. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.96
Česko, 36. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.8
Česko, 36. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.8
Česko, 36. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 35. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.26
Česko, 35. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.09
Česko, 35. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,16.98
Česko, 35. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.5
Česko, 35. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.3
Česko, 35. týden 2025,Index cen pohonných hmot (%),LPG,99.6
Česko, 34. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.42
Česko, 34. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.34
Česko, 34. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.05
Česko, 34. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.7
Česko, 34. týden 2025,Index cen pohonných hmot (%),Motorová nafta,98.4
Česko, 34. týden 2025,Index cen pohonných hmot (%),LPG,99.8
Česko, 33. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.52
Česko, 33. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,33.88
Česko, 33. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.09
Česko, 33. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.6
Česko, 33. týden 2025,Index cen pohonných hmot (%),Motorová nafta,99.5
Česko, 33. týden 2025,Index cen pohonných hmot (%),LPG,99.7
Česko, 32. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.66
Česko, 32. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.06
Česko, 32. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.15
Česko, 32. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 32. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.0
Česko, 32. týden 2025,Index cen pohonných hmot (%),LPG,99.7
Česko, 31. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.67
Česko, 31. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.07
Česko, 31. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.2
Česko, 31. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,99.9
Česko, 31. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.2
Česko, 31. týden 2025,Index cen pohonných hmot (%),LPG,99.9
Česko, 30. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Benzin automobilový bezolovnatý Natural 95 oktanu,34.69
Česko, 30. týden 2025,Průměrná cena pohonných hmot (Kč/litr),Motorová nafta,34.01
Česko, 30. týden 2025,Průměrná cena pohonných hmot (Kč/litr),LPG,17.22
Česko, 30. týden 2025,Index cen pohonných hmot (%),Benzin automobilový bezolovnatý Natural 95 oktanu,100.0
Česko, 30. týden 2025,Index cen pohonných hmot (%),Motorová nafta,100.1
