Území;Ukazatel;státní občanství;Pohlaví;Roky;value
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2023;118383
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2022;111693
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2021;102422
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2020;97803
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2019;93781
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2018;89843
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2017;87228
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2016;85628
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2015;83862
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2014;83569
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2013;85887
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Celkem;2012;91040
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2023;37695
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2022;35917
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2021;33126
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2020;31393
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2019;30016
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2018;28552
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2017;27392
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2016;26726
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2015;25890
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2014;25687
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2013;26512
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Ženy;2012;28320
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2023;80688
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2022;75776
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2021;69296
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2020;66410
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2019;63765
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2018;61291
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2017;59836
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2016;58902
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2015;57972
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2014;57882
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2013;59375
Česko;Cizinci s platným živnostenským oprávněním;Cizinci;Muži;2012;62720
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2023;24058
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2022;22983
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2021;21560
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2020;20253
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2019;19035
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2018;17711
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2017;16516
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2016;15442
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2015;14393
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2014;13493
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2013;12888
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Celkem;2012;12149
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2023;7417
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2022;6967
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2021;6434
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2020;5917
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2019;5473
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2018;4957
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2017;4472
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2016;4043
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2015;3641
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2014;3270
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2013;2969
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Ženy;2012;2647
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2023;16641
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2022;16016
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2021;15126
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2020;14336
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2019;13562
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2018;12754
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2017;12044
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2016;11399
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2015;10752
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2014;10223
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2013;9919
Česko;Cizinci s platným živnostenským oprávněním;Slovenská republika;Muži;2012;9502
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2023;34497
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2022;30978
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2021;25662
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2020;24155
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2019;22924
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2018;21881
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2017;21746
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2016;22150
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2015;22796
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2014;23639
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2013;27014
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Celkem;2012;32267
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2023;10502
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2022;9849
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2021;8457
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2020;7950
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2019;7520
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2018;7204
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2017;7087
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2016;7256
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2015;7470
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2014;7805
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2013;9065
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Ženy;2012;10952
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2023;23995
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2022;21129
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2021;17205
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2020;16205
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2019;15404
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2018;14677
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2017;14659
Česko;Cizinci s platným živnostenským oprávněním;Ukrajina;Muži;2016;14894
