Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu nečleněné;Ukazatel;value
2023;HUZ celkem;Praha;Počet hromadných ubytovacích zařízení;844.0
2023;HUZ celkem;Praha;Počet pokojů v hromadných ubytovacích zařízeních;44219.0
2023;HUZ celkem;Praha;Počet lůžek v hromadných ubytovacích zařízeních;96257.0
2023;HUZ celkem;Praha;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1082.0
2023;HUZ celkem;Berounsko;Počet hromadných ubytovacích zařízení;73.0
2023;HUZ celkem;Berounsko;Počet pokojů v hromadných ubytovacích zařízeních;1094.0
2023;HUZ celkem;Berounsko;Počet lůžek v hromadných ubytovacích zařízeních;2927.0
2023;HUZ celkem;Berounsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1243.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet hromadných ubytovacích zařízení;95.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet pokojů v hromadných ubytovacích zařízeních;1820.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet lůžek v hromadných ubytovacích zařízeních;4836.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;467.0
2023;HUZ celkem;Kladensko - Slánsko;Počet hromadných ubytovacích zařízení;46.0
2023;HUZ celkem;Kladensko - Slánsko;Počet pokojů v hromadných ubytovacích zařízeních;1089.0
2023;HUZ celkem;Kladensko - Slánsko;Počet lůžek v hromadných ubytovacích zařízeních;2580.0
2023;HUZ celkem;Kladensko - Slánsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;160.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet hromadných ubytovacích zařízení;101.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet pokojů v hromadných ubytovacích zařízeních;1738.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet lůžek v hromadných ubytovacích zařízeních;4520.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;378.0
2023;HUZ celkem;Kraj blanických rytířů;Počet hromadných ubytovacích zařízení;46.0
2023;HUZ celkem;Kraj blanických rytířů;Počet pokojů v hromadných ubytovacích zařízeních;711.0
2023;HUZ celkem;Kraj blanických rytířů;Počet lůžek v hromadných ubytovacích zařízeních;2138.0
2023;HUZ celkem;Kraj blanických rytířů;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;113.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet hromadných ubytovacích zařízení;53.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet pokojů v hromadných ubytovacích zařízeních;870.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet lůžek v hromadných ubytovacích zařízeních;2385.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;275.0
2023;HUZ celkem;Pojizeří a Polabí;Počet hromadných ubytovacích zařízení;122.0
2023;HUZ celkem;Pojizeří a Polabí;Počet pokojů v hromadných ubytovacích zařízeních;2689.0
2023;HUZ celkem;Pojizeří a Polabí;Počet lůžek v hromadných ubytovacích zařízeních;5708.0
2023;HUZ celkem;Pojizeří a Polabí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;294.0
2023;HUZ celkem;Posázaví;Počet hromadných ubytovacích zařízení;149.0
2023;HUZ celkem;Posázaví;Počet pokojů v hromadných ubytovacích zařízeních;3188.0
2023;HUZ celkem;Posázaví;Počet lůžek v hromadných ubytovacích zařízeních;8123.0
2023;HUZ celkem;Posázaví;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;988.0
2023;HUZ celkem;Rakovnicko;Počet hromadných ubytovacích zařízení;28.0
2023;HUZ celkem;Rakovnicko;Počet pokojů v hromadných ubytovacích zařízeních;726.0
2023;HUZ celkem;Rakovnicko;Počet lůžek v hromadných ubytovacích zařízeních;2317.0
2023;HUZ celkem;Rakovnicko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;99.0
2023;HUZ celkem;Česká Kanada;Počet hromadných ubytovacích zařízení;137.0
2023;HUZ celkem;Česká Kanada;Počet pokojů v hromadných ubytovacích zařízeních;2061.0
2023;HUZ celkem;Česká Kanada;Počet lůžek v hromadných ubytovacích zařízeních;6217.0
2023;HUZ celkem;Česká Kanada;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1127.0
2023;HUZ celkem;Budějovicko;Počet hromadných ubytovacích zařízení;121.0
2023;HUZ celkem;Budějovicko;Počet pokojů v hromadných ubytovacích zařízeních;2663.0
2023;HUZ celkem;Budějovicko;Počet lůžek v hromadných ubytovacích zařízeních;6538.0
2023;HUZ celkem;Budějovicko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1052.0
2023;HUZ celkem;Český Krumlov a okolí;Počet hromadných ubytovacích zařízení;150.0
2023;HUZ celkem;Český Krumlov a okolí;Počet pokojů v hromadných ubytovacích zařízeních;1803.0
2023;HUZ celkem;Český Krumlov a okolí;Počet lůžek v hromadných ubytovacích zařízeních;4801.0
2023;HUZ celkem;Český Krumlov a okolí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1638.0
2023;HUZ celkem;Lipensko;Počet hromadných ubytovacích zařízení;194.0
2023;HUZ celkem;Lipensko;Počet pokojů v hromadných ubytovacích zařízeních;3307.0
2023;HUZ celkem;Lipensko;Počet lůžek v hromadných ubytovacích zařízeních;10900.0
2023;HUZ celkem;Lipensko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;2245.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet hromadných ubytovacích zařízení;63.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet pokojů v hromadných ubytovacích zařízeních;879.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet lůžek v hromadných ubytovacích zařízeních;2507.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;410.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hromadných ubytovacích zařízení;127.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet pokojů v hromadných ubytovacích zařízeních;2882.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet lůžek v hromadných ubytovacích zařízeních;8564.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1779.0
2023;HUZ celkem;Šumavsko;Počet hromadných ubytovacích zařízení;174.0
2023;HUZ celkem;Šumavsko;Počet pokojů v hromadných ubytovacích zařízeních;2078.0
2023;HUZ celkem;Šumavsko;Počet lůžek v hromadných ubytovacích zařízeních;6213.0
2023;HUZ celkem;Šumavsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1749.0
2023;HUZ celkem;Toulava;Počet hromadných ubytovacích zařízení;172.0
2023;HUZ celkem;Toulava;Počet pokojů v hromadných ubytovacích zařízeních;3322.0
2023;HUZ celkem;Toulava;Počet lůžek v hromadných ubytovacích zařízeních;10108.0
2023;HUZ celkem;Toulava;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1917.0
2023;HUZ celkem;Třeboňsko;Počet hromadných ubytovacích zařízení;189.0
2023;HUZ celkem;Třeboňsko;Počet pokojů v hromadných ubytovacích zařízeních;2939.0
2023;HUZ celkem;Třeboňsko;Počet lůžek v hromadných ubytovacích zařízeních;8132.0
2023;HUZ celkem;Třeboňsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;2482.0
2023;HUZ celkem;Český les;Počet hromadných ubytovacích zařízení;111.0
2023;HUZ celkem;Český les;Počet pokojů v hromadných ubytovacích zařízeních;2315.0
2023;HUZ celkem;Český les;Počet lůžek v hromadných ubytovacích zařízeních;6297.0
2023;HUZ celkem;Český les;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;860.0
2023;HUZ celkem;Pošumaví;Počet hromadných ubytovacích zařízení;61.0
2023;HUZ celkem;Pošumaví;Počet pokojů v hromadných ubytovacích zařízeních;738.0
2023;HUZ celkem;Pošumaví;Počet lůžek v hromadných ubytovacích zařízeních;2204.0
2023;HUZ celkem;Pošumaví;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;789.0
2023;HUZ celkem;Plzeň a okolí;Počet hromadných ubytovacích zařízení;71.0
2023;HUZ celkem;Plzeň a okolí;Počet pokojů v hromadných ubytovacích zařízeních;2551.0
2023;HUZ celkem;Plzeň a okolí;Počet lůžek v hromadných ubytovacích zařízeních;5379.0
2023;HUZ celkem;Plzeň a okolí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;523.0
2023;HUZ celkem;Postřelí;Počet hromadných ubytovacích zařízení;64.0
2023;HUZ celkem;Postřelí;Počet pokojů v hromadných ubytovacích zařízeních;1481.0
2023;HUZ celkem;Postřelí;Počet lůžek v hromadných ubytovacích zařízeních;4756.0
2023;HUZ celkem;Postřelí;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;814.0
2023;HUZ celkem;Šumava západ;Počet hromadných ubytovacích zařízení;213.0
2023;HUZ celkem;Šumava západ;Počet pokojů v hromadných ubytovacích zařízeních;3067.0
2023;HUZ celkem;Šumava západ;Počet lůžek v hromadných ubytovacích zařízeních;8449.0
2023;HUZ celkem;Šumava západ;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1016.0
2023;HUZ celkem;Krušnohoří;Počet hromadných ubytovacích zařízení;330.0
2023;HUZ celkem;Krušnohoří;Počet pokojů v hromadných ubytovacích zařízeních;5820.0
2023;HUZ celkem;Krušnohoří;Počet lůžek v hromadných ubytovacích zařízeních;14518.0
2023;HUZ celkem;Krušnohoří;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;756.0
2023;HUZ celkem;Západočeské lázně;Počet hromadných ubytovacích zařízení;445.0
2023;HUZ celkem;Západočeské lázně;Počet pokojů v hromadných ubytovacích zařízeních;14444.0
2023;HUZ celkem;Západočeské lázně;Počet lůžek v hromadných ubytovacích zařízeních;29930.0
2023;HUZ celkem;Západočeské lázně;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;1369.0
2023;HUZ celkem;České Středohoří;Počet hromadných ubytovacích zařízení;80.0
2023;HUZ celkem;České Středohoří;Počet pokojů v hromadných ubytovacích zařízeních;2335.0
2023;HUZ celkem;České Středohoří;Počet lůžek v hromadných ubytovacích zařízeních;6284.0
2023;HUZ celkem;České Středohoří;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;358.0
2023;HUZ celkem;České Švýcarsko;Počet hromadných ubytovacích zařízení;177.0
2023;HUZ celkem;České Švýcarsko;Počet pokojů v hromadných ubytovacích zařízeních;2540.0
2023;HUZ celkem;České Švýcarsko;Počet lůžek v hromadných ubytovacích zařízeních;7385.0
2023;HUZ celkem;České Švýcarsko;Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	;739.0
2023;HUZ celkem;Dolní Poohří;Počet hromadných ubytovacích zařízení;73.0
2023;HUZ celkem;Dolní Poohří;Počet pokojů v hromadných ubytovacích zařízeních;1317.0
2023;HUZ celkem;Dolní Poohří;Počet lůžek v hromadných ubytovacích zařízeních;3538.0
