Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu členěné,Ukazatel,value
2024,HUZ celkem,Praha,Počet hromadných ubytovacích zařízení,827.0
2024,HUZ celkem,Praha,Počet pokojů v hromadných ubytovacích zařízeních,43789.0
2024,HUZ celkem,Praha,Počet lůžek v hromadných ubytovacích zařízeních,95203.0
2024,HUZ celkem,Praha,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1091.0
2024,HUZ celkem,Berounsko,Počet hromadných ubytovacích zařízení,73.0
2024,HUZ celkem,Berounsko,Počet pokojů v hromadných ubytovacích zařízeních,1105.0
2024,HUZ celkem,Berounsko,Počet lůžek v hromadných ubytovacích zařízeních,3000.0
2024,HUZ celkem,Berounsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1235.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet hromadných ubytovacích zařízení,95.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet pokojů v hromadných ubytovacích zařízeních,1822.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet lůžek v hromadných ubytovacích zařízeních,4892.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,480.0
2024,HUZ celkem,Český ráj  - Středočeský kraj,Počet hromadných ubytovacích zařízení,39.0
2024,HUZ celkem,Český ráj  - Středočeský kraj,Počet pokojů v hromadných ubytovacích zařízeních,548.0
2024,HUZ celkem,Český ráj  - Středočeský kraj,Počet lůžek v hromadných ubytovacích zařízeních,1858.0
2024,HUZ celkem,Český ráj  - Středočeský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,250.0
2024,HUZ celkem,Kladensko - Slánsko,Počet hromadných ubytovacích zařízení,46.0
2024,HUZ celkem,Kladensko - Slánsko,Počet pokojů v hromadných ubytovacích zařízeních,1086.0
2024,HUZ celkem,Kladensko - Slánsko,Počet lůžek v hromadných ubytovacích zařízeních,2556.0
2024,HUZ celkem,Kladensko - Slánsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,160.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet hromadných ubytovacích zařízení,96.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet pokojů v hromadných ubytovacích zařízeních,1625.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet lůžek v hromadných ubytovacích zařízeních,4212.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,388.0
2024,HUZ celkem,Kraj blanických rytířů,Počet hromadných ubytovacích zařízení,41.0
2024,HUZ celkem,Kraj blanických rytířů,Počet pokojů v hromadných ubytovacích zařízeních,660.0
2024,HUZ celkem,Kraj blanických rytířů,Počet lůžek v hromadných ubytovacích zařízeních,1986.0
2024,HUZ celkem,Kraj blanických rytířů,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,113.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet hromadných ubytovacích zařízení,47.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet pokojů v hromadných ubytovacích zařízeních,813.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet lůžek v hromadných ubytovacích zařízeních,2160.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,235.0
