Roky,Ukazatel,Oblasti destinačního managementu nečleněné,Kategorie ubytovacího zařízení,value
2024,Počet hromadných ubytovacích zařízení,Praha,HUZ celkem,827.0
2024,Počet hromadných ubytovacích zařízení,Praha,Hotel *****,52.0
2024,Počet hromadných ubytovacích zařízení,Praha,"Hotel, motel, botel ****",277.0
2024,Počet hromadných ubytovacích zařízení,Praha,"Hotel, motel, botel ***",187.0
2024,Počet hromadných ubytovacích zařízení,Praha,"Hotel, motel, botel **",15.0
2024,Počet hromadných ubytovacích zařízení,Praha,"Hotel, motel, botel *",4.0
2024,Počet hromadných ubytovacích zařízení,Praha,Hotel garni,34.0
2024,Počet hromadných ubytovacích zařízení,Praha,Penzion,95.0
2024,Počet hromadných ubytovacích zařízení,Praha,Kemp,19.0
2024,Počet hromadných ubytovacích zařízení,Praha,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Praha,Turistická ubytovna,50.0
2024,Počet hromadných ubytovacích zařízení,Praha,Ostatní HUZ,94.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,HUZ celkem,73.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Berounsko,"Hotel, motel, botel ****",5.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,"Hotel, motel, botel ***",17.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Berounsko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,Penzion,25.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,Kemp,13.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Berounsko,Turistická ubytovna,6.0
2024,Počet hromadných ubytovacích zařízení,Berounsko,Ostatní HUZ,4.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,HUZ celkem,95.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,"Hotel, motel, botel ****",9.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,"Hotel, motel, botel ***",14.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,"Hotel, motel, botel **",6.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Hotel garni,3.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Penzion,31.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Kemp,8.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Chatová osada,3.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Turistická ubytovna,9.0
2024,Počet hromadných ubytovacích zařízení,Brdy a Podbrdsko,Ostatní HUZ,12.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,HUZ celkem,46.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,"Hotel, motel, botel ****",5.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,"Hotel, motel, botel ***",13.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,"Hotel, motel, botel **",
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,"Hotel, motel, botel *",
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Hotel garni,
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Penzion,14.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Kemp,1.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Chatová osada,
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Turistická ubytovna,5.0
2024,Počet hromadných ubytovacích zařízení,Kladensko - Slánsko,Ostatní HUZ,8.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,HUZ celkem,96.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Hotel *****,
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,"Hotel, motel, botel ****",6.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,"Hotel, motel, botel ***",12.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,"Hotel, motel, botel **",2.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,"Hotel, motel, botel *",1.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Hotel garni,1.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Penzion,47.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Kemp,8.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Chatová osada,6.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Turistická ubytovna,3.0
2024,Počet hromadných ubytovacích zařízení,Kutnohorsko a Kolínsko,Ostatní HUZ,10.0
2024,Počet hromadných ubytovacích zařízení,Kraj blanických rytířů,HUZ celkem,41.0
