Kategorie ubytovacího zařízení,Roky,Kraje a obce,Ukazatel,value
HUZ celkem,2023,Hlavní město Praha,Počet hromadných ubytovacích zařízení,844
HUZ celkem,2023,Hlavní město Praha,Počet pokojů v hromadných ubytovacích zařízeních,44219
HUZ celkem,2023,Hlavní město Praha,Počet lůžek v hromadných ubytovacích zařízeních,96257
HUZ celkem,2023,Hlavní město Praha,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1082
HUZ celkem,2023,Středočeský kraj,Počet hromadných ubytovacích zařízení,815
HUZ celkem,2023,Středočeský kraj,Počet pokojů v hromadných ubytovacích zařízeních,15499
HUZ celkem,2023,Středočeský kraj,Počet lůžek v hromadných ubytovacích zařízeních,40694
HUZ celkem,2023,Středočeský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,5269
HUZ celkem,2023,Jihočeský kraj,Počet hromadných ubytovacích zařízení,1272
HUZ celkem,2023,Jihočeský kraj,Počet pokojů v hromadných ubytovacích zařízeních,21014
HUZ celkem,2023,Jihočeský kraj,Počet lůžek v hromadných ubytovacích zařízeních,60952
HUZ celkem,2023,Jihočeský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,13427
HUZ celkem,2023,Plzeňský kraj,Počet hromadných ubytovacích zařízení,564
HUZ celkem,2023,Plzeňský kraj,Počet pokojů v hromadných ubytovacích zařízeních,10895
HUZ celkem,2023,Plzeňský kraj,Počet lůžek v hromadných ubytovacích zařízeních,29469
HUZ celkem,2023,Plzeňský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,4312
HUZ celkem,2023,Karlovarský kraj,Počet hromadných ubytovacích zařízení,617
HUZ celkem,2023,Karlovarský kraj,Počet pokojů v hromadných ubytovacích zařízeních,17316
HUZ celkem,2023,Karlovarský kraj,Počet lůžek v hromadných ubytovacích zařízeních,37157
HUZ celkem,2023,Karlovarský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1694
HUZ celkem,2023,Ústecký kraj,Počet hromadných ubytovacích zařízení,510
HUZ celkem,2023,Ústecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,9530
HUZ celkem,2023,Ústecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,25530
HUZ celkem,2023,Ústecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1872
HUZ celkem,2023,Liberecký kraj,Počet hromadných ubytovacích zařízení,949
HUZ celkem,2023,Liberecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,14829
HUZ celkem,2023,Liberecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,45088
HUZ celkem,2023,Liberecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,3505
HUZ celkem,2023,Královéhradecký kraj,Počet hromadných ubytovacích zařízení,1159
HUZ celkem,2023,Královéhradecký kraj,Počet pokojů v hromadných ubytovacích zařízeních,19005
HUZ celkem,2023,Královéhradecký kraj,Počet lůžek v hromadných ubytovacích zařízeních,53870
HUZ celkem,2023,Královéhradecký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,5218
HUZ celkem,2023,Pardubický kraj,Počet hromadných ubytovacích zařízení,377
HUZ celkem,2023,Pardubický kraj,Počet pokojů v hromadných ubytovacích zařízeních,7096
HUZ celkem,2023,Pardubický kraj,Počet lůžek v hromadných ubytovacích zařízeních,20272
HUZ celkem,2023,Pardubický kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1634
HUZ celkem,2023,Kraj Vysočina,Počet hromadných ubytovacích zařízení,454
HUZ celkem,2023,Kraj Vysočina,Počet pokojů v hromadných ubytovacích zařízeních,8714
HUZ celkem,2023,Kraj Vysočina,Počet lůžek v hromadných ubytovacích zařízeních,25222
HUZ celkem,2023,Kraj Vysočina,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,2480
HUZ celkem,2023,Jihomoravský kraj,Počet hromadných ubytovacích zařízení,1001
HUZ celkem,2023,Jihomoravský kraj,Počet pokojů v hromadných ubytovacích zařízeních,19200
HUZ celkem,2023,Jihomoravský kraj,Počet lůžek v hromadných ubytovacích zařízeních,48043
HUZ celkem,2023,Jihomoravský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,5109
HUZ celkem,2023,Olomoucký kraj,Počet hromadných ubytovacích zařízení,541
HUZ celkem,2023,Olomoucký kraj,Počet pokojů v hromadných ubytovacích zařízeních,10320
HUZ celkem,2023,Olomoucký kraj,Počet lůžek v hromadných ubytovacích zařízeních,26684
HUZ celkem,2023,Olomoucký kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1775
HUZ celkem,2023,Zlínský kraj,Počet hromadných ubytovacích zařízení,525
HUZ celkem,2023,Zlínský kraj,Počet pokojů v hromadných ubytovacích zařízeních,10579
HUZ celkem,2023,Zlínský kraj,Počet lůžek v hromadných ubytovacích zařízeních,26755
HUZ celkem,2023,Zlínský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,1767
HUZ celkem,2023,Moravskoslezský kraj,Počet hromadných ubytovacích zařízení,665
HUZ celkem,2023,Moravskoslezský kraj,Počet pokojů v hromadných ubytovacích zařízeních,12204
HUZ celkem,2023,Moravskoslezský kraj,Počet lůžek v hromadných ubytovacích zařízeních,31202
HUZ celkem,2023,Moravskoslezský kraj,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,2336
