Roky,Správní obvody hl. města Prahy,Kategorie ubytovacího zařízení,Ukazatel,value
2023,Praha 1,HUZ celkem,Počet hromadných ubytovacích zařízení,309.0
2023,Praha 1,HUZ celkem,Počet pokojů v hromadných ubytovacích zařízeních,14893.0
2023,Praha 1,HUZ celkem,Počet lůžek v hromadných ubytovacích zařízeních,32792.0
2023,Praha 1,HUZ celkem,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50.0
2023,Praha 1,Hotel *****,Počet hromadných ubytovacích zařízení,43.0
2023,Praha 1,Hotel *****,Počet pokojů v hromadných ubytovacích zařízeních,4737.0
2023,Praha 1,Hotel *****,Počet lůžek v hromadných ubytovacích zařízeních,9246.0
2023,Praha 1,Hotel *****,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,"Hotel, motel, botel ****",Počet hromadných ubytovacích zařízení,136.0
2023,Praha 1,"Hotel, motel, botel ****",Počet pokojů v hromadných ubytovacích zařízeních,6549.0
2023,Praha 1,"Hotel, motel, botel ****",Počet lůžek v hromadných ubytovacích zařízeních,13922.0
2023,Praha 1,"Hotel, motel, botel ****",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,"Hotel, motel, botel ***",Počet hromadných ubytovacích zařízení,46.0
2023,Praha 1,"Hotel, motel, botel ***",Počet pokojů v hromadných ubytovacích zařízeních,2008.0
2023,Praha 1,"Hotel, motel, botel ***",Počet lůžek v hromadných ubytovacích zařízeních,4496.0
2023,Praha 1,"Hotel, motel, botel ***",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,"Hotel, motel, botel **",Počet hromadných ubytovacích zařízení,
2023,Praha 1,"Hotel, motel, botel **",Počet pokojů v hromadných ubytovacích zařízeních,
2023,Praha 1,"Hotel, motel, botel **",Počet lůžek v hromadných ubytovacích zařízeních,
2023,Praha 1,"Hotel, motel, botel **",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,"Hotel, motel, botel *",Počet hromadných ubytovacích zařízení,1.0
2023,Praha 1,"Hotel, motel, botel *",Počet pokojů v hromadných ubytovacích zařízeních,
2023,Praha 1,"Hotel, motel, botel *",Počet lůžek v hromadných ubytovacích zařízeních,
2023,Praha 1,"Hotel, motel, botel *",Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,Hotel garni,Počet hromadných ubytovacích zařízení,7.0
2023,Praha 1,Hotel garni,Počet pokojů v hromadných ubytovacích zařízeních,
2023,Praha 1,Hotel garni,Počet lůžek v hromadných ubytovacích zařízeních,
2023,Praha 1,Hotel garni,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,Penzion,Počet hromadných ubytovacích zařízení,16.0
2023,Praha 1,Penzion,Počet pokojů v hromadných ubytovacích zařízeních,167.0
2023,Praha 1,Penzion,Počet lůžek v hromadných ubytovacích zařízeních,427.0
2023,Praha 1,Penzion,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,Kemp,Počet hromadných ubytovacích zařízení,
2023,Praha 1,Kemp,Počet pokojů v hromadných ubytovacích zařízeních,
2023,Praha 1,Kemp,Počet lůžek v hromadných ubytovacích zařízeních,
2023,Praha 1,Kemp,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,Chatová osada,Počet hromadných ubytovacích zařízení,
2023,Praha 1,Chatová osada,Počet pokojů v hromadných ubytovacích zařízeních,
2023,Praha 1,Chatová osada,Počet lůžek v hromadných ubytovacích zařízeních,
2023,Praha 1,Chatová osada,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,Turistická ubytovna,Počet hromadných ubytovacích zařízení,20.0
2023,Praha 1,Turistická ubytovna,Počet pokojů v hromadných ubytovacích zařízeních,424.0
2023,Praha 1,Turistická ubytovna,Počet lůžek v hromadných ubytovacích zařízeních,1725.0
2023,Praha 1,Turistická ubytovna,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,
2023,Praha 1,Ostatní HUZ,Počet hromadných ubytovacích zařízení,40.0
2023,Praha 1,Ostatní HUZ,Počet pokojů v hromadných ubytovacích zařízeních,795.0
2023,Praha 1,Ostatní HUZ,Počet lůžek v hromadných ubytovacích zařízeních,2434.0
2023,Praha 1,Ostatní HUZ,Počet míst pro stany a karavany v hromadných ubytovacích zařízeních 	,50.0
