Ukazatel;Roky;ČR, kraje, okresy;Kategorie ubytovacího zařízení;value
Počet hromadných ubytovacích zařízení;2023;Česko;HUZ celkem;10293
Počet hromadných ubytovacích zařízení;2023;Česko;Hotel *****;75
Počet hromadných ubytovacích zařízení;2023;Česko;Hotel, motel, botel ****;842
Počet hromadných ubytovacích zařízení;2023;Česko;Hotel, motel, botel ***;1528
Počet hromadných ubytovacích zařízení;2023;Česko;Hotel, motel, botel **;194
Počet hromadných ubytovacích zařízení;2023;Česko;Hotel, motel, botel *;100
Počet hromadných ubytovacích zařízení;2023;Česko;Hotel garni;155
Počet hromadných ubytovacích zařízení;2023;Česko;Penzion;4373
Počet hromadných ubytovacích zařízení;2023;Česko;Kemp;572
Počet hromadných ubytovacích zařízení;2023;Česko;Chatová osada;291
Počet hromadných ubytovacích zařízení;2023;Česko;Turistická ubytovna;695
Počet hromadných ubytovacích zařízení;2023;Česko;Ostatní HUZ;1468
