Území;Kategorie;Kumulace čtvrtletí;Ukazatel;Rezidence;value
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Počet hostů;Celkem;4147993.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Počet hostů;Rezidenti;2177413.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Počet hostů;Nerezidenti;1970580.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Počet přenocování;Celkem;10547743.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Počet přenocování;Rezidenti;5545325.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Počet přenocování;Nerezidenti;5002418.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Průměrný počet přenocování ;Celkem;2.5428545805
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Průměrný počet přenocování ;Rezidenti;2.5467492846
Česko;Hromadná ubytovací zařízení celkem;Q1 2025;Průměrný počet přenocování ;Nerezidenti;2.5385510865
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Počet hostů;Celkem;22809595.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Počet hostů;Rezidenti;12332067.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Počet hostů;Nerezidenti;10477528.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Počet přenocování;Celkem;57236084.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Počet přenocování;Rezidenti;31761973.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Počet přenocování;Nerezidenti;25474111.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Průměrný počet přenocování ;Celkem;2.5092985649
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Průměrný počet přenocování ;Rezidenti;2.5755595554
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2024;Průměrný počet přenocování ;Nerezidenti;2.4313092745
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Počet hostů;Celkem;17815071.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Počet hostů;Rezidenti;9929447.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Počet hostů;Nerezidenti;7885624.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Počet přenocování;Celkem;45536873.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Počet přenocování;Rezidenti;26409698.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Počet přenocování;Nerezidenti;19127175.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Průměrný počet přenocování ;Celkem;2.5560870905
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Průměrný počet přenocování ;Rezidenti;2.6597350285
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2024;Průměrný počet přenocování ;Nerezidenti;2.4255753254
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Počet hostů;Celkem;10070337.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Počet hostů;Rezidenti;5360073.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Počet hostů;Nerezidenti;4710264.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Počet přenocování;Celkem;24536415.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Počet přenocování;Rezidenti;13179127.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Počet přenocování;Nerezidenti;11357288.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Průměrný počet přenocování ;Celkem;2.4365038628
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Průměrný počet přenocování ;Rezidenti;2.4587588639
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2024;Průměrný počet přenocování ;Nerezidenti;2.4111786516
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Počet hostů;Celkem;4089103.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Počet hostů;Rezidenti;2154458.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Počet hostů;Nerezidenti;1934645.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Počet přenocování;Celkem;10486190.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Počet přenocování;Rezidenti;5592471.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Počet přenocování;Nerezidenti;4893719.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Průměrný počet přenocování ;Celkem;2.5644230532
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Průměrný počet přenocování ;Rezidenti;2.5957670096
Česko;Hromadná ubytovací zařízení celkem;Q1 2024;Průměrný počet přenocování ;Nerezidenti;2.5295178185
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Počet hostů;Celkem;21977671.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Počet hostů;Rezidenti;12418741.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Počet hostů;Nerezidenti;9558930.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Počet přenocování;Celkem;55842471.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Počet přenocování;Rezidenti;32480862.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Počet přenocování;Nerezidenti;23361609.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Průměrný počet přenocování ;Celkem;2.540873007
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Průměrný počet přenocování ;Rezidenti;2.6154714073
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2023;Průměrný počet přenocování ;Nerezidenti;2.4439564889
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet hostů;Celkem;17319897.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet hostů;Rezidenti;10099472.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet hostů;Nerezidenti;7220425.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet přenocování;Celkem;44910736.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet přenocování;Rezidenti;27274315.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Počet přenocování;Nerezidenti;17636421.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Průměrný počet přenocování ;Celkem;2.5930140347
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Průměrný počet přenocování ;Rezidenti;2.700568406
Česko;Hromadná ubytovací zařízení celkem;Q1-Q3 2023;Průměrný počet přenocování ;Nerezidenti;2.4425738097
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet hostů;Celkem;9508269.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet hostů;Rezidenti;5331364.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet hostů;Nerezidenti;4176905.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet přenocování;Celkem;23604597.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet přenocování;Rezidenti;13354180.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Počet přenocování;Nerezidenti;10250417.0
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Průměrný počet přenocování ;Celkem;2.4825335716
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Průměrný počet přenocování ;Rezidenti;2.5048336598
Česko;Hromadná ubytovací zařízení celkem;Q1-Q2 2023;Průměrný počet přenocování ;Nerezidenti;2.4540699393
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet hostů;Celkem;3744295.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet hostů;Rezidenti;2099258.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet hostů;Nerezidenti;1645037.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet přenocování;Celkem;9804516.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet přenocování;Rezidenti;5607988.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Počet přenocování;Nerezidenti;4196528.0
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Průměrný počet přenocování ;Celkem;2.6185212437
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Průměrný počet přenocování ;Rezidenti;2.6714143759
Česko;Hromadná ubytovací zařízení celkem;Q1 2023;Průměrný počet přenocování ;Nerezidenti;2.5510234724
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet hostů;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet hostů;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet hostů;Nerezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet přenocování;Celkem;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet přenocování;Rezidenti;
Česko;Hromadná ubytovací zařízení celkem;Q1-Q4 2022;Počet přenocování;Nerezidenti;
