Kategorie,Kumulace čtvrtletí,Území,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Počet hostů,Celkem,4147993.0
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Počet hostů,Rezidenti,2177413.0
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Počet hostů,Nerezidenti,1970580.0
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Počet přenocování,Celkem,10547743.0
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Počet přenocování,Rezidenti,5545325.0
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Počet přenocování,Nerezidenti,5002418.0
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Průměrný počet přenocování ,Celkem,2.5428545805
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Průměrný počet přenocování ,Rezidenti,2.5467492846
Hromadná ubytovací zařízení celkem,Q1 2025,Česko,Průměrný počet přenocování ,Nerezidenti,2.5385510865
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Počet hostů,Celkem,1584864.0
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Počet hostů,Rezidenti,368638.0
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Počet hostů,Nerezidenti,1216226.0
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Počet přenocování,Celkem,3519849.0
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Počet přenocování,Rezidenti,586060.0
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Počet přenocování,Nerezidenti,2933789.0
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Průměrný počet přenocování ,Celkem,2.2209154855
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Průměrný počet přenocování ,Rezidenti,1.5897981217
Hromadná ubytovací zařízení celkem,Q1 2025,Hlavní město Praha,Průměrný počet přenocování ,Nerezidenti,2.4122071062
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Počet hostů,Celkem,194125.0
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Počet hostů,Rezidenti,151014.0
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Počet hostů,Nerezidenti,43111.0
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Počet přenocování,Celkem,405489.0
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Počet přenocování,Rezidenti,307006.0
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Počet přenocování,Nerezidenti,98483.0
Hromadná ubytovací zařízení celkem,Q1 2025,Středočeský kraj,Průměrný počet přenocování ,Celkem,2.0888036059
