Kategorie,Ukazatel,Území,Čtvrtletí,value
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2025,41.2073450029
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2025,31.8231310566
Hotely a penziony,Čisté využití lůžek (%),Česko,4. čtvrtletí 2024,36.371614159
Hotely a penziony,Čisté využití lůžek (%),Česko,3. čtvrtletí 2024,45.8102198799
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2024,38.5964740138
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2024,31.4953222816
Hotely a penziony,Čisté využití lůžek (%),Česko,4. čtvrtletí 2023,33.7618971668
Hotely a penziony,Čisté využití lůžek (%),Česko,3. čtvrtletí 2023,46.1654757261
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2023,37.9190718108
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2023,29.9288594645
Hotely a penziony,Čisté využití lůžek (%),Česko,4. čtvrtletí 2022,31.8021680678
Hotely a penziony,Čisté využití lůžek (%),Česko,3. čtvrtletí 2022,43.1532517714
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2022,33.2320377494
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2022,22.7640657386
Hotely a penziony,Čisté využití lůžek (%),Česko,4. čtvrtletí 2021,22.7424614995
Hotely a penziony,Čisté využití lůžek (%),Česko,3. čtvrtletí 2021,38.5510709645
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2021,15.4011924517
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2021,5.9585158063
Hotely a penziony,Čisté využití lůžek (%),Česko,4. čtvrtletí 2020,9.7984955702
Hotely a penziony,Čisté využití lůžek (%),Česko,3. čtvrtletí 2020,35.0365015304
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2020,16.5577833661
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2020,32.5165200963
Hotely a penziony,Čisté využití lůžek (%),Česko,4. čtvrtletí 2019,39.2436619358
Hotely a penziony,Čisté využití lůžek (%),Česko,3. čtvrtletí 2019,49.5055764764
Hotely a penziony,Čisté využití lůžek (%),Česko,2. čtvrtletí 2019,43.9355456305
Hotely a penziony,Čisté využití lůžek (%),Česko,1. čtvrtletí 2019,35.4792740309
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2025,63.1988618952
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2025,46.2653971166
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,4. čtvrtletí 2024,63.1594335616
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,3. čtvrtletí 2024,66.087939528
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2024,60.4934793115
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2024,46.7986125486
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,4. čtvrtletí 2023,59.1312429652
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,3. čtvrtletí 2023,64.8075963298
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2023,58.2402957412
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2023,40.7154475601
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,4. čtvrtletí 2022,52.7815412437
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,3. čtvrtletí 2022,56.2596796571
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2022,49.1436882342
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2022,24.1080046876
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,4. čtvrtletí 2021,31.9920807752
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,3. čtvrtletí 2021,34.245646211
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2021,10.2436517199
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2021,4.9582686197
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,4. čtvrtletí 2020,6.9671636888
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,3. čtvrtletí 2020,23.8560977915
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2020,9.8552833697
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2020,40.4144103185
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,4. čtvrtletí 2019,62.5574193152
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,3. čtvrtletí 2019,69.7580236174
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,2. čtvrtletí 2019,66.5381543343
Hotely a penziony,Čisté využití lůžek (%),Hlavní město Praha,1. čtvrtletí 2019,48.3800022481
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2025,33.9974580558
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2025,20.2299279179
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,4. čtvrtletí 2024,26.9034822298
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,3. čtvrtletí 2024,39.3625596307
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2024,32.9232412559
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2024,21.9050506275
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,4. čtvrtletí 2023,24.6188784925
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,3. čtvrtletí 2023,38.6528360815
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2023,32.1183522497
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2023,20.3773048093
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,4. čtvrtletí 2022,24.1626176389
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,3. čtvrtletí 2022,37.704469157
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2022,28.9203900354
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2022,15.4226717349
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,4. čtvrtletí 2021,19.3628268617
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,3. čtvrtletí 2021,36.2571013103
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2021,16.3804314684
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2021,6.4441045015
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,4. čtvrtletí 2020,12.3275154995
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,3. čtvrtletí 2020,33.4334770856
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2020,19.3648524218
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2020,20.4672008587
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,4. čtvrtletí 2019,28.8191512197
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,3. čtvrtletí 2019,38.6946468294
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,2. čtvrtletí 2019,33.9102710237
Hotely a penziony,Čisté využití lůžek (%),Středočeský kraj,1. čtvrtletí 2019,23.6320631121
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2025,32.4570032313
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2025,20.5008229474
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,4. čtvrtletí 2024,24.0038221485
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,3. čtvrtletí 2024,42.7290731631
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2024,30.6509359657
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2024,21.0793993616
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,4. čtvrtletí 2023,21.7196047933
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,3. čtvrtletí 2023,43.3204304184
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2023,30.0503791596
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2023,20.3312751543
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,4. čtvrtletí 2022,21.0739787667
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,3. čtvrtletí 2022,42.3082849895
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2022,26.4693082627
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2022,17.151128357
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,4. čtvrtletí 2021,16.3559106077
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,3. čtvrtletí 2021,43.0459613066
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2021,16.6550533816
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2021,6.0858226671
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,4. čtvrtletí 2020,8.8977994391
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,3. čtvrtletí 2020,43.9665730957
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2020,20.3758288356
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2020,23.0492135402
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,4. čtvrtletí 2019,29.6589510846
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,3. čtvrtletí 2019,47.4108352358
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,2. čtvrtletí 2019,37.3483942655
Hotely a penziony,Čisté využití lůžek (%),Jihočeský kraj,1. čtvrtletí 2019,25.854287977
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2025,34.2058260944
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2025,25.3596232629
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,4. čtvrtletí 2024,27.8004793895
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,3. čtvrtletí 2024,39.034944756
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2024,31.6284158242
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2024,25.9969992084
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,4. čtvrtletí 2023,27.2880153341
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,3. čtvrtletí 2023,40.8411042203
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2023,31.973445392
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2023,28.4365292336
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,4. čtvrtletí 2022,26.5046444121
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,3. čtvrtletí 2022,37.59637893
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2022,28.6511656468
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2022,22.0843028216
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,4. čtvrtletí 2021,19.2653071968
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,3. čtvrtletí 2021,38.6785764923
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2021,15.2793209606
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2021,5.0490961044
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,4. čtvrtletí 2020,8.7129920076
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,3. čtvrtletí 2020,38.3240969035
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2020,19.4499867313
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2020,28.4292245776
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,4. čtvrtletí 2019,30.0923857962
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,3. čtvrtletí 2019,42.7144169379
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,2. čtvrtletí 2019,35.6448301924
Hotely a penziony,Čisté využití lůžek (%),Plzeňský kraj,1. čtvrtletí 2019,28.0945864124
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2025,48.3181520073
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2025,41.7222573703
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,4. čtvrtletí 2024,45.68115732
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,3. čtvrtletí 2024,50.3622369763
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2024,44.3757963138
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2024,39.844125129
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,4. čtvrtletí 2023,43.2112869209
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,3. čtvrtletí 2023,51.60730565
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2023,45.3360761104
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2023,39.0402549147
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,4. čtvrtletí 2022,40.6641612116
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,3. čtvrtletí 2022,48.3169155108
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2022,36.374327683
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2022,26.6123448734
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,4. čtvrtletí 2021,33.5965459507
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,3. čtvrtletí 2021,48.9734851737
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2021,23.8600328902
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2021,8.4665083786
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,4. čtvrtletí 2020,16.5892790322
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,3. čtvrtletí 2020,49.4143439862
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2020,21.6243376698
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2020,44.0294549519
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,4. čtvrtletí 2019,49.0987740962
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,3. čtvrtletí 2019,54.4833170402
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,2. čtvrtletí 2019,51.8155850023
Hotely a penziony,Čisté využití lůžek (%),Karlovarský kraj,1. čtvrtletí 2019,43.9457697017
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2025,30.3627238274
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2025,16.7196862854
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,4. čtvrtletí 2024,20.8624992592
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,3. čtvrtletí 2024,33.9069936826
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2024,27.514610334
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2024,16.5775600573
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,4. čtvrtletí 2023,20.0626059593
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,3. čtvrtletí 2023,35.0630592984
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2023,28.272660653
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2023,15.9718340285
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,4. čtvrtletí 2022,19.1780022391
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,3. čtvrtletí 2022,32.0792994031
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2022,24.9898312462
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2022,13.8384892654
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,4. čtvrtletí 2021,16.4835303105
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,3. čtvrtletí 2021,34.0390865021
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2021,13.4764418126
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2021,5.4284013961
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,4. čtvrtletí 2020,9.6908052189
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,3. čtvrtletí 2020,31.5579175412
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2020,14.7011837085
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2020,19.0565799065
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,4. čtvrtletí 2019,23.6042250033
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,3. čtvrtletí 2019,37.4776469342
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,2. čtvrtletí 2019,31.3210520733
Hotely a penziony,Čisté využití lůžek (%),Ústecký kraj,1. čtvrtletí 2019,22.2599633071
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,2. čtvrtletí 2025,28.0876028042
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,1. čtvrtletí 2025,33.2514283007
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,4. čtvrtletí 2024,21.8487803036
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,3. čtvrtletí 2024,35.3515028197
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,2. čtvrtletí 2024,26.5506667625
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,1. čtvrtletí 2024,30.4129865316
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,4. čtvrtletí 2023,18.9739356724
Hotely a penziony,Čisté využití lůžek (%),Liberecký kraj,3. čtvrtletí 2023,35.5683609682
