Kategorie,Ukazatel,Měsíce,Území,value
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Česko,42.9301530009
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Hlavní město Praha,63.4663712213
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Středočeský kraj,35.8895974282
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Jihočeský kraj,36.5624752949
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Plzeňský kraj,37.5493659102
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Karlovarský kraj,47.788694736
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Ústecký kraj,31.8053419712
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Liberecký kraj,30.6866584647
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Královéhradecký kraj,33.0444903961
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Pardubický kraj,35.1345510499
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Kraj Vysočina,30.6981330797
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Jihomoravský kraj,37.189841085
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Olomoucký kraj,30.9273260527
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Zlínský kraj,38.8714314984
Hotely a penziony,Čisté využití lůžek (%),červen 2025,Moravskoslezský kraj,35.4543806589
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Česko,42.6330920981
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Hlavní město Praha,62.5148443972
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Středočeský kraj,36.0397595932
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Jihočeský kraj,33.7106959272
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Plzeňský kraj,36.2248387842
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Karlovarský kraj,50.714158271
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Ústecký kraj,32.5491505636
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Liberecký kraj,31.2779994851
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Královéhradecký kraj,31.5999255031
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Pardubický kraj,33.7642397226
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Kraj Vysočina,30.5194694441
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Jihomoravský kraj,37.1405850895
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Olomoucký kraj,30.239190147
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Zlínský kraj,39.7224144577
Hotely a penziony,Čisté využití lůžek (%),květen 2025,Moravskoslezský kraj,34.8231747141
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Česko,37.9306716875
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Hlavní město Praha,63.6385114731
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Středočeský kraj,30.0514872255
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Jihočeský kraj,26.7956797111
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Plzeňský kraj,28.5434896058
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Karlovarský kraj,46.3519892444
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Ústecký kraj,26.7099787914
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Liberecký kraj,21.5804175939
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Královéhradecký kraj,22.8302942367
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Pardubický kraj,27.638954828
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Kraj Vysočina,23.3474640424
Hotely a penziony,Čisté využití lůžek (%),duben 2025,Jihomoravský kraj,30.4116799388
