Území,Měsíce,Kategorie,Ukazatel,Rezidence,value
Česko,srpen 2025,Hotely celkem,Počet hostů,Celkem,1674986.0
Česko,srpen 2025,Hotely celkem,Počet hostů,Rezidenti,735897.0
Česko,srpen 2025,Hotely celkem,Počet hostů,Nerezidenti,939089.0
Česko,srpen 2025,Hotely celkem,Počet přenocování,Celkem,4097397.0
Česko,srpen 2025,Hotely celkem,Počet přenocování,Rezidenti,1821073.0
Česko,srpen 2025,Hotely celkem,Počet přenocování,Nerezidenti,2276324.0
Česko,srpen 2025,Hotely celkem,Průměrný počet přenocování ,Celkem,2.4462276103
Česko,srpen 2025,Hotely celkem,Průměrný počet přenocování ,Rezidenti,2.4746302811
Česko,srpen 2025,Hotely celkem,Průměrný počet přenocování ,Nerezidenti,2.423970465
Česko,srpen 2025,Hotel *****,Počet hostů,Celkem,152960.0
Česko,srpen 2025,Hotel *****,Počet hostů,Rezidenti,18813.0
Česko,srpen 2025,Hotel *****,Počet hostů,Nerezidenti,134147.0
Česko,srpen 2025,Hotel *****,Počet přenocování,Celkem,388112.0
Česko,srpen 2025,Hotel *****,Počet přenocování,Rezidenti,36276.0
Česko,srpen 2025,Hotel *****,Počet přenocování,Nerezidenti,351836.0
Česko,srpen 2025,Hotel *****,Průměrný počet přenocování ,Celkem,2.5373430962
Česko,srpen 2025,Hotel *****,Průměrný počet přenocování ,Rezidenti,1.9282411099
Česko,srpen 2025,Hotel *****,Průměrný počet přenocování ,Nerezidenti,2.6227645792
Česko,srpen 2025,"Hotel, motel, botel ****",Počet hostů,Celkem,795912.0
Česko,srpen 2025,"Hotel, motel, botel ****",Počet hostů,Rezidenti,293436.0
Česko,srpen 2025,"Hotel, motel, botel ****",Počet hostů,Nerezidenti,502476.0
Česko,srpen 2025,"Hotel, motel, botel ****",Počet přenocování,Celkem,1934073.0
Česko,srpen 2025,"Hotel, motel, botel ****",Počet přenocování,Rezidenti,681499.0
Česko,srpen 2025,"Hotel, motel, botel ****",Počet přenocování,Nerezidenti,1252574.0
Česko,srpen 2025,"Hotel, motel, botel ****",Průměrný počet přenocování ,Celkem,2.4300085939
Česko,srpen 2025,"Hotel, motel, botel ****",Průměrný počet přenocování ,Rezidenti,2.3224791777
Česko,srpen 2025,"Hotel, motel, botel ****",Průměrný počet přenocování ,Nerezidenti,2.4928036364
Česko,srpen 2025,"Hotel, motel, botel ***",Počet hostů,Celkem,618316.0
Česko,srpen 2025,"Hotel, motel, botel ***",Počet hostů,Rezidenti,354917.0
Česko,srpen 2025,"Hotel, motel, botel ***",Počet hostů,Nerezidenti,263399.0
Česko,srpen 2025,"Hotel, motel, botel ***",Počet přenocování,Celkem,1514060.0
Česko,srpen 2025,"Hotel, motel, botel ***",Počet přenocování,Rezidenti,928020.0
Česko,srpen 2025,"Hotel, motel, botel ***",Počet přenocování,Nerezidenti,586040.0
Česko,srpen 2025,"Hotel, motel, botel ***",Průměrný počet přenocování ,Celkem,2.4486831976
Česko,srpen 2025,"Hotel, motel, botel ***",Průměrný počet přenocování ,Rezidenti,2.6147521815
Česko,srpen 2025,"Hotel, motel, botel ***",Průměrný počet přenocování ,Nerezidenti,2.2249135342
Česko,srpen 2025,"Hotel, motel, botel **",Počet hostů,Celkem,45305.0
Česko,srpen 2025,"Hotel, motel, botel **",Počet hostů,Rezidenti,30901.0
Česko,srpen 2025,"Hotel, motel, botel **",Počet hostů,Nerezidenti,14404.0
Česko,srpen 2025,"Hotel, motel, botel **",Počet přenocování,Celkem,120083.0
Česko,srpen 2025,"Hotel, motel, botel **",Počet přenocování,Rezidenti,87220.0
Česko,srpen 2025,"Hotel, motel, botel **",Počet přenocování,Nerezidenti,32863.0
Česko,srpen 2025,"Hotel, motel, botel **",Průměrný počet přenocování ,Celkem,2.6505462973
Česko,srpen 2025,"Hotel, motel, botel **",Průměrný počet přenocování ,Rezidenti,2.8225623766
Česko,srpen 2025,"Hotel, motel, botel **",Průměrný počet přenocování ,Nerezidenti,2.2815190225
Česko,srpen 2025,"Hotel, motel, botel *",Počet hostů,Celkem,20701.0
Česko,srpen 2025,"Hotel, motel, botel *",Počet hostů,Rezidenti,15540.0
Česko,srpen 2025,"Hotel, motel, botel *",Počet hostů,Nerezidenti,5161.0
Česko,srpen 2025,"Hotel, motel, botel *",Počet přenocování,Celkem,47632.0
Česko,srpen 2025,"Hotel, motel, botel *",Počet přenocování,Rezidenti,37423.0
Česko,srpen 2025,"Hotel, motel, botel *",Počet přenocování,Nerezidenti,10209.0
Česko,srpen 2025,"Hotel, motel, botel *",Průměrný počet přenocování ,Celkem,2.3009516448
Česko,srpen 2025,"Hotel, motel, botel *",Průměrný počet přenocování ,Rezidenti,2.4081724582
Česko,srpen 2025,"Hotel, motel, botel *",Průměrný počet přenocování ,Nerezidenti,1.9781050184
Česko,srpen 2025,Hotel garni,Počet hostů,Celkem,41792.0
Česko,srpen 2025,Hotel garni,Počet hostů,Rezidenti,22290.0
Česko,srpen 2025,Hotel garni,Počet hostů,Nerezidenti,19502.0
Česko,srpen 2025,Hotel garni,Počet přenocování,Celkem,93437.0
Česko,srpen 2025,Hotel garni,Počet přenocování,Rezidenti,50635.0
Česko,srpen 2025,Hotel garni,Počet přenocování,Nerezidenti,42802.0
Česko,srpen 2025,Hotel garni,Průměrný počet přenocování ,Celkem,2.2357628254
Česko,srpen 2025,Hotel garni,Průměrný počet přenocování ,Rezidenti,2.2716464782
Česko,srpen 2025,Hotel garni,Průměrný počet přenocování ,Nerezidenti,2.1947492565
