Území,Kategorie,Měsíce,Rezidence,Ukazatel,value
Česko,Hotely celkem,červen 2025,Celkem,Počet hostů,1540503.0
Česko,Hotely celkem,červen 2025,Celkem,Počet přenocování,3426275.0
Česko,Hotely celkem,červen 2025,Celkem,Průměrný počet přenocování ,2.2241274441
Česko,Hotely celkem,červen 2025,Rezidenti,Počet hostů,672714.0
Česko,Hotely celkem,červen 2025,Rezidenti,Počet přenocování,1427642.0
Česko,Hotely celkem,červen 2025,Rezidenti,Průměrný počet přenocování ,2.1222124112
Česko,Hotely celkem,červen 2025,Nerezidenti,Počet hostů,867789.0
Česko,Hotely celkem,červen 2025,Nerezidenti,Počet přenocování,1998633.0
Česko,Hotely celkem,červen 2025,Nerezidenti,Průměrný počet přenocování ,2.3031324435
Česko,Hotely celkem,červen 2025,Belgie,Počet hostů,6391.0
Česko,Hotely celkem,červen 2025,Belgie,Počet přenocování,15114.0
Česko,Hotely celkem,červen 2025,Belgie,Průměrný počet přenocování ,2.3648881239
Česko,Hotely celkem,červen 2025,Bulharsko,Počet hostů,3850.0
Česko,Hotely celkem,červen 2025,Bulharsko,Počet přenocování,9309.0
Česko,Hotely celkem,červen 2025,Bulharsko,Průměrný počet přenocování ,2.4179220779
Česko,Hotely celkem,červen 2025,Dánsko,Počet hostů,5976.0
Česko,Hotely celkem,červen 2025,Dánsko,Počet přenocování,14439.0
Česko,Hotely celkem,červen 2025,Dánsko,Průměrný počet přenocování ,2.4161646586
Česko,Hotely celkem,červen 2025,Estonsko,Počet hostů,2762.0
Česko,Hotely celkem,červen 2025,Estonsko,Počet přenocování,5520.0
Česko,Hotely celkem,červen 2025,Estonsko,Průměrný počet přenocování ,1.9985517741
Česko,Hotely celkem,červen 2025,Finsko,Počet hostů,5514.0
Česko,Hotely celkem,červen 2025,Finsko,Počet přenocování,12599.0
Česko,Hotely celkem,červen 2025,Finsko,Průměrný počet přenocování ,2.2849111353
Česko,Hotely celkem,červen 2025,Francie,Počet hostů,20021.0
Česko,Hotely celkem,červen 2025,Francie,Počet přenocování,48195.0
Česko,Hotely celkem,červen 2025,Francie,Průměrný počet přenocování ,2.4072224165
Česko,Hotely celkem,červen 2025,Chorvatsko,Počet hostů,5140.0
Česko,Hotely celkem,červen 2025,Chorvatsko,Počet přenocování,12161.0
Česko,Hotely celkem,červen 2025,Chorvatsko,Průměrný počet přenocování ,2.3659533074
Česko,Hotely celkem,červen 2025,Irsko,Počet hostů,4947.0
Česko,Hotely celkem,červen 2025,Irsko,Počet přenocování,13045.0
Česko,Hotely celkem,červen 2025,Irsko,Průměrný počet přenocování ,2.6369516879
Česko,Hotely celkem,červen 2025,Island,Počet hostů,806.0
Česko,Hotely celkem,červen 2025,Island,Počet přenocování,2325.0
Česko,Hotely celkem,červen 2025,Island,Průměrný počet přenocování ,2.8846153846
Česko,Hotely celkem,červen 2025,Itálie,Počet hostů,21730.0
Česko,Hotely celkem,červen 2025,Itálie,Počet přenocování,55123.0
Česko,Hotely celkem,červen 2025,Itálie,Průměrný počet přenocování ,2.5367234238
Česko,Hotely celkem,červen 2025,Kypr,Počet hostů,1173.0
Česko,Hotely celkem,červen 2025,Kypr,Počet přenocování,3639.0
Česko,Hotely celkem,červen 2025,Kypr,Průměrný počet přenocování ,3.1023017903
Česko,Hotely celkem,červen 2025,Litva,Počet hostů,11040.0
Česko,Hotely celkem,červen 2025,Litva,Počet přenocování,16290.0
Česko,Hotely celkem,červen 2025,Litva,Průměrný počet přenocování ,1.4755434783
Česko,Hotely celkem,červen 2025,Lotyšsko,Počet hostů,3543.0
Česko,Hotely celkem,červen 2025,Lotyšsko,Počet přenocování,6472.0
Česko,Hotely celkem,červen 2025,Lotyšsko,Průměrný počet přenocování ,1.8267005363
Česko,Hotely celkem,červen 2025,Lucembursko,Počet hostů,534.0
Česko,Hotely celkem,červen 2025,Lucembursko,Počet přenocování,1237.0
Česko,Hotely celkem,červen 2025,Lucembursko,Průměrný počet přenocování ,2.3164794007
Česko,Hotely celkem,červen 2025,Lichtenštejnsko,Počet hostů,164.0
Česko,Hotely celkem,červen 2025,Lichtenštejnsko,Počet přenocování,396.0
Česko,Hotely celkem,červen 2025,Lichtenštejnsko,Průměrný počet přenocování ,2.4146341463
Česko,Hotely celkem,červen 2025,Maďarsko,Počet hostů,15139.0
Česko,Hotely celkem,červen 2025,Maďarsko,Počet přenocování,30951.0
Česko,Hotely celkem,červen 2025,Maďarsko,Průměrný počet přenocování ,2.0444547196
Česko,Hotely celkem,červen 2025,Malta,Počet hostů,520.0
Česko,Hotely celkem,červen 2025,Malta,Počet přenocování,1340.0
Česko,Hotely celkem,červen 2025,Malta,Průměrný počet přenocování ,2.5769230769
Česko,Hotely celkem,červen 2025,Německo,Počet hostů,179983.0
Česko,Hotely celkem,červen 2025,Německo,Počet přenocování,470847.0
Česko,Hotely celkem,červen 2025,Německo,Průměrný počet přenocování ,2.6160637394
Česko,Hotely celkem,červen 2025,Nizozemské království,Počet hostů,16519.0
Česko,Hotely celkem,červen 2025,Nizozemské království,Počet přenocování,40247.0
Česko,Hotely celkem,červen 2025,Nizozemské království,Průměrný počet přenocování ,2.4364065621
Česko,Hotely celkem,červen 2025,Norsko,Počet hostů,5069.0
Česko,Hotely celkem,červen 2025,Norsko,Počet přenocování,11962.0
Česko,Hotely celkem,červen 2025,Norsko,Průměrný počet přenocování ,2.3598342868
Česko,Hotely celkem,červen 2025,Polsko,Počet hostů,79706.0
Česko,Hotely celkem,červen 2025,Polsko,Počet přenocování,147400.0
Česko,Hotely celkem,červen 2025,Polsko,Průměrný počet přenocování ,1.8492961634
Česko,Hotely celkem,červen 2025,Portugalsko,Počet hostů,3990.0
Česko,Hotely celkem,červen 2025,Portugalsko,Počet přenocování,10667.0
Česko,Hotely celkem,červen 2025,Portugalsko,Průměrný počet přenocování ,2.673433584
Česko,Hotely celkem,červen 2025,Rakousko,Počet hostů,29729.0
Česko,Hotely celkem,červen 2025,Rakousko,Počet přenocování,55506.0
Česko,Hotely celkem,červen 2025,Rakousko,Průměrný počet přenocování ,1.867065828
Česko,Hotely celkem,červen 2025,Rumunsko,Počet hostů,9453.0
Česko,Hotely celkem,červen 2025,Rumunsko,Počet přenocování,22062.0
Česko,Hotely celkem,červen 2025,Rumunsko,Průměrný počet přenocování ,2.3338622659
Česko,Hotely celkem,červen 2025,Rusko,Počet hostů,2849.0
Česko,Hotely celkem,červen 2025,Rusko,Počet přenocování,6748.0
Česko,Hotely celkem,červen 2025,Rusko,Průměrný počet přenocování ,2.3685503686
Česko,Hotely celkem,červen 2025,Řecko,Počet hostů,3217.0
Česko,Hotely celkem,červen 2025,Řecko,Počet přenocování,8340.0
Česko,Hotely celkem,červen 2025,Řecko,Průměrný počet přenocování ,2.5924774635
Česko,Hotely celkem,červen 2025,Slovensko,Počet hostů,76788.0
Česko,Hotely celkem,červen 2025,Slovensko,Počet přenocování,142363.0
Česko,Hotely celkem,červen 2025,Slovensko,Průměrný počet přenocování ,1.8539745794
Česko,Hotely celkem,červen 2025,Slovinsko,Počet hostů,3852.0
Česko,Hotely celkem,červen 2025,Slovinsko,Počet přenocování,7603.0
Česko,Hotely celkem,červen 2025,Slovinsko,Průměrný počet přenocování ,1.9737798546
Česko,Hotely celkem,červen 2025,Velká Británie a Severní Irsko,Počet hostů,40415.0
Česko,Hotely celkem,červen 2025,Velká Británie a Severní Irsko,Počet přenocování,105280.0
Česko,Hotely celkem,červen 2025,Velká Británie a Severní Irsko,Průměrný počet přenocování ,2.604973401
Česko,Hotely celkem,červen 2025,Srbsko a Černá Hora,Počet hostů,2542.0
Česko,Hotely celkem,červen 2025,Srbsko a Černá Hora,Počet přenocování,5899.0
Česko,Hotely celkem,červen 2025,Srbsko a Černá Hora,Průměrný počet přenocování ,2.32061369
Česko,Hotely celkem,červen 2025,Španělsko,Počet hostů,16934.0
Česko,Hotely celkem,červen 2025,Španělsko,Počet přenocování,46273.0
Česko,Hotely celkem,červen 2025,Španělsko,Průměrný počet přenocování ,2.7325498996
Česko,Hotely celkem,červen 2025,Švédsko,Počet hostů,11712.0
Česko,Hotely celkem,červen 2025,Švédsko,Počet přenocování,24944.0
Česko,Hotely celkem,červen 2025,Švédsko,Průměrný počet přenocování ,2.1297814208
Česko,Hotely celkem,červen 2025,Švýcarsko,Počet hostů,9839.0
Česko,Hotely celkem,červen 2025,Švýcarsko,Počet přenocování,22518.0
Česko,Hotely celkem,červen 2025,Švýcarsko,Průměrný počet přenocování ,2.2886472202
Česko,Hotely celkem,červen 2025,Turecko,Počet hostů,12548.0
Česko,Hotely celkem,červen 2025,Turecko,Počet přenocování,30187.0
Česko,Hotely celkem,červen 2025,Turecko,Průměrný počet přenocování ,2.4057220274
Česko,Hotely celkem,červen 2025,Ukrajina,Počet hostů,24412.0
Česko,Hotely celkem,červen 2025,Ukrajina,Počet přenocování,49588.0
Česko,Hotely celkem,červen 2025,Ukrajina,Průměrný počet přenocování ,2.0312960839
Česko,Hotely celkem,červen 2025,Ostatní evropské země,Počet hostů,9039.0
Česko,Hotely celkem,červen 2025,Ostatní evropské země,Počet přenocování,19761.0
Česko,Hotely celkem,červen 2025,Ostatní evropské země,Průměrný počet přenocování ,2.186193163
Česko,Hotely celkem,červen 2025,Kanada,Počet hostů,8745.0
Česko,Hotely celkem,červen 2025,Kanada,Počet přenocování,23589.0
Česko,Hotely celkem,červen 2025,Kanada,Průměrný počet přenocování ,2.6974271012
Česko,Hotely celkem,červen 2025,Spojené státy,Počet hostů,64394.0
Česko,Hotely celkem,červen 2025,Spojené státy,Počet přenocování,166008.0
Česko,Hotely celkem,červen 2025,Spojené státy,Průměrný počet přenocování ,2.5780041619
Česko,Hotely celkem,červen 2025,Brazílie,Počet hostů,4684.0
Česko,Hotely celkem,červen 2025,Brazílie,Počet přenocování,12100.0
Česko,Hotely celkem,červen 2025,Brazílie,Průměrný počet přenocování ,2.5832621691
Česko,Hotely celkem,červen 2025,Mexiko,Počet hostů,4182.0
Česko,Hotely celkem,červen 2025,Mexiko,Počet přenocování,10145.0
Česko,Hotely celkem,červen 2025,Mexiko,Průměrný počet přenocování ,2.4258727881
Česko,Hotely celkem,červen 2025,Argentina,Počet hostů,1740.0
Česko,Hotely celkem,červen 2025,Argentina,Počet přenocování,4608.0
Česko,Hotely celkem,červen 2025,Argentina,Průměrný počet přenocování ,2.6482758621
Česko,Hotely celkem,červen 2025,Ostatní americké země,Počet hostů,5369.0
Česko,Hotely celkem,červen 2025,Ostatní americké země,Počet přenocování,13019.0
Česko,Hotely celkem,červen 2025,Ostatní americké země,Průměrný počet přenocování ,2.4248463401
Česko,Hotely celkem,červen 2025,Čína,Počet hostů,20818.0
Česko,Hotely celkem,červen 2025,Čína,Počet přenocování,34692.0
Česko,Hotely celkem,červen 2025,Čína,Průměrný počet přenocování ,1.6664425017
Česko,Hotely celkem,červen 2025,Indie,Počet hostů,9698.0
Česko,Hotely celkem,červen 2025,Indie,Počet přenocování,24300.0
Česko,Hotely celkem,červen 2025,Indie,Průměrný počet přenocování ,2.5056712724
Česko,Hotely celkem,červen 2025,Izrael,Počet hostů,14180.0
Česko,Hotely celkem,červen 2025,Izrael,Počet přenocování,50054.0
Česko,Hotely celkem,červen 2025,Izrael,Průměrný počet přenocování ,3.5299012694
Česko,Hotely celkem,červen 2025,Japonsko,Počet hostů,7515.0
Česko,Hotely celkem,červen 2025,Japonsko,Počet přenocování,14658.0
Česko,Hotely celkem,červen 2025,Japonsko,Průměrný počet přenocování ,1.950499002
