Kategorie;Území;Měsíce;Ukazatel;Rezidence;value
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Počet hostů;Celkem;1449272.0
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Počet hostů;Rezidenti;751552.0
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Počet hostů;Nerezidenti;697720.0
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Počet přenocování;Celkem;3552669.0
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Počet přenocování;Rezidenti;1822251.0
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Počet přenocování;Nerezidenti;1730418.0
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Průměrný počet přenocování ;Celkem;2.4513472971
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Průměrný počet přenocování ;Rezidenti;2.4246505897
Hromadná ubytovací zařízení celkem;Česko;březen 2025;Průměrný počet přenocování ;Nerezidenti;2.4801037666
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Počet hostů;Celkem;1364841.0
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Počet hostů;Rezidenti;730396.0
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Počet hostů;Nerezidenti;634445.0
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Počet přenocování;Celkem;3693997.0
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Počet přenocování;Rezidenti;2012967.0
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Počet přenocování;Nerezidenti;1681030.0
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Průměrný počet přenocování ;Celkem;2.7065401757
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Průměrný počet přenocování ;Rezidenti;2.7559940087
Hromadná ubytovací zařízení celkem;Česko;únor 2025;Průměrný počet přenocování ;Nerezidenti;2.6496071369
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Počet hostů;Celkem;1333880.0
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Počet hostů;Rezidenti;695465.0
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Počet hostů;Nerezidenti;638415.0
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Počet přenocování;Celkem;3301077.0
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Počet přenocování;Rezidenti;1710107.0
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Počet přenocování;Nerezidenti;1590970.0
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Průměrný počet přenocování ;Celkem;2.4747930848
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Průměrný počet přenocování ;Rezidenti;2.4589404212
Hromadná ubytovací zařízení celkem;Česko;leden 2025;Průměrný počet přenocování ;Nerezidenti;2.4920623732
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Počet hostů;Celkem;1562003.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Počet hostů;Rezidenti;635845.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Počet hostů;Nerezidenti;926158.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Počet přenocování;Celkem;3676913.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Počet přenocování;Rezidenti;1378889.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Počet přenocování;Nerezidenti;2298024.0
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Průměrný počet přenocování ;Celkem;2.3539730718
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Průměrný počet přenocování ;Rezidenti;2.1685929747
Hromadná ubytovací zařízení celkem;Česko;prosinec 2024;Průměrný počet přenocování ;Nerezidenti;2.481244021
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Počet hostů;Celkem;1528930.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Počet hostů;Rezidenti;802592.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Počet hostů;Nerezidenti;726338.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Počet přenocování;Celkem;3480243.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Počet přenocování;Rezidenti;1728988.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Počet přenocování;Nerezidenti;1751255.0
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Průměrný počet přenocování ;Celkem;2.2762605221
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Průměrný počet přenocování ;Rezidenti;2.1542552131
Hromadná ubytovací zařízení celkem;Česko;listopad 2024;Průměrný počet přenocování ;Nerezidenti;2.4110744584
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Počet hostů;Celkem;1903591.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Počet hostů;Rezidenti;964183.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Počet hostů;Nerezidenti;939408.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Počet přenocování;Celkem;4542055.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Počet přenocování;Rezidenti;2244398.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Počet přenocování;Nerezidenti;2297657.0
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Průměrný počet přenocování ;Celkem;2.3860456369
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Průměrný počet přenocování ;Rezidenti;2.3277718027
Hromadná ubytovací zařízení celkem;Česko;říjen 2024;Průměrný počet přenocování ;Nerezidenti;2.4458563265
