Území;Kategorie;Měsíce;Rezidence;Ukazatel;value
Česko;Hromadná ubytovací zařízení celkem;září 2024;Celkem;Počet hostů;1973916.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Celkem;Počet přenocování;4752094.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Celkem;Průměrný počet přenocování ;2.4074448963
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rezidenti;Počet hostů;1081483.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rezidenti;Počet přenocování;2612196.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Rezidenti;Průměrný počet přenocování ;2.4153833209
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nerezidenti;Počet hostů;892433.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nerezidenti;Počet přenocování;2139898.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Nerezidenti;Průměrný počet přenocování ;2.3978248227
Česko;Hromadná ubytovací zařízení celkem;září 2024;Belgie;Počet hostů;8138.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Belgie;Počet přenocování;19516.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Belgie;Průměrný počet přenocování ;2.3981322192
Česko;Hromadná ubytovací zařízení celkem;září 2024;Bulharsko;Počet hostů;4572.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Bulharsko;Počet přenocování;11086.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Bulharsko;Průměrný počet přenocování ;2.4247594051
Česko;Hromadná ubytovací zařízení celkem;září 2024;Dánsko;Počet hostů;12446.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Dánsko;Počet přenocování;33552.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Dánsko;Průměrný počet přenocování ;2.6958058814
Česko;Hromadná ubytovací zařízení celkem;září 2024;Estonsko;Počet hostů;2668.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Estonsko;Počet přenocování;5642.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Estonsko;Průměrný počet přenocování ;2.1146926537
Česko;Hromadná ubytovací zařízení celkem;září 2024;Finsko;Počet hostů;4791.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Finsko;Počet přenocování;12043.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Finsko;Průměrný počet přenocování ;2.5136714673
Česko;Hromadná ubytovací zařízení celkem;září 2024;Francie;Počet hostů;22042.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Francie;Počet přenocování;53451.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Francie;Průměrný počet přenocování ;2.4249614373
Česko;Hromadná ubytovací zařízení celkem;září 2024;Chorvatsko;Počet hostů;4409.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Chorvatsko;Počet přenocování;11014.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Chorvatsko;Průměrný počet přenocování ;2.4980721252
Česko;Hromadná ubytovací zařízení celkem;září 2024;Irsko;Počet hostů;4386.0
Česko;Hromadná ubytovací zařízení celkem;září 2024;Irsko;Počet přenocování;11919.0
