Území;Vybrané kategorie ;Čtvrtletí;Ukazatel;value
Česko;Hromadná ubytovací zařízení;2. čtvrtletí 2024;Příjezdy hostů;5981234.0
Česko;Hromadná ubytovací zařízení;2. čtvrtletí 2024;Index (%);103.7692744624
Česko;Hromadná ubytovací zařízení;2. čtvrtletí 2024;Přenocování hostů;14050225.0
Česko;Hromadná ubytovací zařízení;2. čtvrtletí 2024;Index (%);101.8126270418
Česko;Hromadná ubytovací zařízení;3. čtvrtletí 2024;Příjezdy hostů;7744734.0
Česko;Hromadná ubytovací zařízení;3. čtvrtletí 2024;Index (%);99.1436612189
Česko;Hromadná ubytovací zařízení;3. čtvrtletí 2024;Přenocování hostů;21000458.0
Česko;Hromadná ubytovací zařízení;3. čtvrtletí 2024;Index (%);98.5652914402
Česko;Hromadná ubytovací zařízení;4. čtvrtletí 2024;Příjezdy hostů;4994524.0
Česko;Hromadná ubytovací zařízení;4. čtvrtletí 2024;Index (%);107.2298484212
Česko;Hromadná ubytovací zařízení;4. čtvrtletí 2024;Přenocování hostů;11699211.0
Česko;Hromadná ubytovací zařízení;4. čtvrtletí 2024;Index (%);107.0206238991
Česko;Hromadná ubytovací zařízení;1. čtvrtletí 2025;Příjezdy hostů;4147993.0
Česko;Hromadná ubytovací zařízení;1. čtvrtletí 2025;Index (%);101.440169152
Česko;Hromadná ubytovací zařízení;1. čtvrtletí 2025;Přenocování hostů;10547743.0
Česko;Hromadná ubytovací zařízení;1. čtvrtletí 2025;Index (%);100.5869910806
Česko;Hotely a penziony;2. čtvrtletí 2024;Příjezdy hostů;5018028.0
Česko;Hotely a penziony;2. čtvrtletí 2024;Index (%);103.4397972608
Česko;Hotely a penziony;2. čtvrtletí 2024;Přenocování hostů;11131941.0
Česko;Hotely a penziony;2. čtvrtletí 2024;Index (%);101.2616567048
Česko;Hotely a penziony;3. čtvrtletí 2024;Příjezdy hostů;5655362.0
Česko;Hotely a penziony;3. čtvrtletí 2024;Index (%);98.7422043611
Česko;Hotely a penziony;3. čtvrtletí 2024;Přenocování hostů;13971582.0
Česko;Hotely a penziony;3. čtvrtletí 2024;Index (%);98.5094048908
Česko;Hotely a penziony;4. čtvrtletí 2024;Příjezdy hostů;4562151.0
Česko;Hotely a penziony;4. čtvrtletí 2024;Index (%);106.9462351577
Česko;Hotely a penziony;4. čtvrtletí 2024;Přenocování hostů;10117485.0
Česko;Hotely a penziony;4. čtvrtletí 2024;Index (%);107.3840423096
Česko;Hotely a penziony;1. čtvrtletí 2025;Příjezdy hostů;3703364.0
Česko;Hotely a penziony;1. čtvrtletí 2025;Index (%);100.4998719112
Česko;Hotely a penziony;1. čtvrtletí 2025;Přenocování hostů;8794356.0
Česko;Hotely a penziony;1. čtvrtletí 2025;Index (%);99.6169084078
Česko;Hotel *****;2. čtvrtletí 2024;Příjezdy hostů;402210.0
