Kategorie;Čtvrtletí;Oblasti destinačního managementu členěné;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Celkem;Počet hostů;2220081.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Celkem;Počet přenocování;5226142.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Celkem;Průměrný počet přenocování ;2.3540321277
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rezidenti;Počet hostů;361271.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rezidenti;Počet přenocování;663344.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Rezidenti;Průměrný počet přenocování ;1.8361396293
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nerezidenti;Počet hostů;1858810.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nerezidenti;Počet přenocování;4562798.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Nerezidenti;Průměrný počet přenocování ;2.4546876765
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Belgie;Počet hostů;21079.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Belgie;Počet přenocování;54655.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Belgie;Průměrný počet přenocování ;2.5928649367
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Bulharsko;Počet hostů;9215.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Bulharsko;Počet přenocování;23674.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Bulharsko;Průměrný počet přenocování ;2.5690721649
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Dánsko;Počet hostů;34516.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Dánsko;Počet přenocování;97998.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Dánsko;Průměrný počet přenocování ;2.8392050064
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Estonsko;Počet hostů;5978.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Estonsko;Počet přenocování;14684.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Estonsko;Průměrný počet přenocování ;2.456339913
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Finsko;Počet hostů;11182.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Finsko;Počet přenocování;30525.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Finsko;Průměrný počet přenocování ;2.7298336612
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Francie;Počet hostů;52659.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Francie;Počet přenocování;138352.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Francie;Průměrný počet přenocování ;2.6273191667
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Chorvatsko;Počet hostů;8281.0
Hromadná ubytovací zařízení celkem;3. čtvrtletí 2024;Praha;Chorvatsko;Počet přenocování;22140.0
