Kategorie,Čtvrtletí,Území,Ukazatel,Rezidence,value
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Počet hostů,Celkem,6316527.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Počet hostů,Rezidenti,3368935.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Počet hostů,Nerezidenti,2947592.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Počet přenocování,Celkem,15015964.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Počet přenocování,Rezidenti,7986295.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Počet přenocování,Nerezidenti,7029669.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Průměrný počet přenocování ,Celkem,2.37725003
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Průměrný počet přenocování ,Rezidenti,2.3705696311
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Česko,Průměrný počet přenocování ,Nerezidenti,2.3848853573
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Počet hostů,Celkem,2195269.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Počet hostů,Rezidenti,400509.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Počet hostů,Nerezidenti,1794760.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Počet přenocování,Celkem,4984489.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Počet přenocování,Rezidenti,663246.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Počet přenocování,Nerezidenti,4321243.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Průměrný počet přenocování ,Celkem,2.2705595533
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Průměrný počet přenocování ,Rezidenti,1.6560077302
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Hlavní město Praha,Průměrný počet přenocování ,Nerezidenti,2.4076996367
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Počet hostů,Celkem,382499.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Počet hostů,Rezidenti,293553.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Počet hostů,Nerezidenti,88946.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Počet přenocování,Celkem,800117.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Počet přenocování,Rezidenti,615184.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Počet přenocování,Nerezidenti,184933.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Průměrný počet přenocování ,Celkem,2.0918146191
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Průměrný počet přenocování ,Rezidenti,2.0956488266
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Středočeský kraj,Průměrný počet přenocování ,Nerezidenti,2.0791603894
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Počet hostů,Celkem,494288.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Počet hostů,Rezidenti,333471.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Počet hostů,Nerezidenti,160817.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Počet přenocování,Celkem,1149144.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Počet přenocování,Rezidenti,848817.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Počet přenocování,Nerezidenti,300327.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Průměrný počet přenocování ,Celkem,2.3248470527
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Průměrný počet přenocování ,Rezidenti,2.5453997499
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Jihočeský kraj,Průměrný počet přenocování ,Nerezidenti,1.8675077884
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Počet hostů,Celkem,246626.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Počet hostů,Rezidenti,158649.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Počet hostů,Nerezidenti,87977.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Počet přenocování,Celkem,552882.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Počet přenocování,Rezidenti,367430.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Počet přenocování,Nerezidenti,185452.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Průměrný počet přenocování ,Celkem,2.2417831048
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Průměrný počet přenocování ,Rezidenti,2.3159931673
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Plzeňský kraj,Průměrný počet přenocování ,Nerezidenti,2.107960035
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Počet hostů,Celkem,381569.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Počet hostů,Rezidenti,176753.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Počet hostů,Nerezidenti,204816.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Počet přenocování,Celkem,1399799.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Počet přenocování,Rezidenti,626303.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Počet přenocování,Nerezidenti,773496.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Průměrný počet přenocování ,Celkem,3.6685343935
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Průměrný počet přenocování ,Rezidenti,3.5433797446
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Karlovarský kraj,Průměrný počet přenocování ,Nerezidenti,3.7765408952
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Počet hostů,Celkem,193761.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Počet hostů,Rezidenti,121814.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Počet hostů,Nerezidenti,71947.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Počet přenocování,Celkem,470907.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Počet přenocování,Rezidenti,304936.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Počet přenocování,Nerezidenti,165971.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Průměrný počet přenocování ,Celkem,2.4303497608
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Průměrný počet přenocování ,Rezidenti,2.5032919041
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Ústecký kraj,Průměrný počet přenocování ,Nerezidenti,2.3068508763
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Počet hostů,Celkem,302563.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Počet hostů,Rezidenti,247839.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Počet hostů,Nerezidenti,54724.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Počet přenocování,Celkem,763847.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Počet přenocování,Rezidenti,635966.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Počet přenocování,Nerezidenti,127881.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Průměrný počet přenocování ,Celkem,2.5245882676
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Průměrný počet přenocování ,Rezidenti,2.566044892
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Liberecký kraj,Průměrný počet přenocování ,Nerezidenti,2.3368357576
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Počet hostů,Celkem,387055.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Počet hostů,Rezidenti,307440.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Počet hostů,Nerezidenti,79615.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Počet přenocování,Celkem,996645.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Počet přenocování,Rezidenti,802454.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Počet přenocování,Nerezidenti,194191.0
Hromadná ubytovací zařízení celkem,2. čtvrtletí 2025,Královéhradecký kraj,Průměrný počet přenocování ,Celkem,2.5749441294
