Kategorie;Území;Čtvrtletí;Rezidence;Ukazatel;value
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Celkem;Počet hostů;4147993.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Celkem;Počet přenocování;10547743.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Celkem;Průměrný počet přenocování ;2.5428545805
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rezidenti;Počet hostů;2177413.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rezidenti;Počet přenocování;5545325.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Rezidenti;Průměrný počet přenocování ;2.5467492846
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nerezidenti;Počet hostů;1970580.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nerezidenti;Počet přenocování;5002418.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Nerezidenti;Průměrný počet přenocování ;2.5385510865
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Belgie;Počet hostů;15621.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Belgie;Počet přenocování;37794.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Belgie;Průměrný počet přenocování ;2.4194353755
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Bulharsko;Počet hostů;9630.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Bulharsko;Počet přenocování;22496.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Bulharsko;Průměrný počet přenocování ;2.3360332295
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Dánsko;Počet hostů;12608.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Dánsko;Počet přenocování;37206.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Dánsko;Průměrný počet přenocování ;2.9509835025
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Estonsko;Počet hostů;3209.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Estonsko;Počet přenocování;7586.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Estonsko;Průměrný počet přenocování ;2.3639763166
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Finsko;Počet hostů;6733.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Finsko;Počet přenocování;18021.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Finsko;Průměrný počet přenocování ;2.6765186395
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Francie;Počet hostů;59973.0
Hromadná ubytovací zařízení celkem;Česko;1. čtvrtletí 2025;Francie;Počet přenocování;159367.0
