Roky,Kategorie ubytovacího zařízení,Oblasti destinačního managementu nečleněné,Ukazatel,Rezidence,value
2024,HUZ celkem,Praha,Počet hostů,Celkem,8063367.0
2024,HUZ celkem,Praha,Počet hostů,Rezidenti,1561069.0
2024,HUZ celkem,Praha,Počet hostů,Nerezidenti,6502298.0
2024,HUZ celkem,Praha,Počet přenocování,Celkem,18279256.0
2024,HUZ celkem,Praha,Počet přenocování,Rezidenti,2614466.0
2024,HUZ celkem,Praha,Počet přenocování,Nerezidenti,15664790.0
2024,HUZ celkem,Praha,Průměrný počet přenocování ,Celkem,2.2669507663
2024,HUZ celkem,Praha,Průměrný počet přenocování ,Rezidenti,1.6747920816
2024,HUZ celkem,Praha,Průměrný počet přenocování ,Nerezidenti,2.4091159772
2024,HUZ celkem,Berounsko,Počet hostů,Celkem,114423.0
2024,HUZ celkem,Berounsko,Počet hostů,Rezidenti,89839.0
2024,HUZ celkem,Berounsko,Počet hostů,Nerezidenti,24584.0
2024,HUZ celkem,Berounsko,Počet přenocování,Celkem,245993.0
2024,HUZ celkem,Berounsko,Počet přenocování,Rezidenti,190841.0
2024,HUZ celkem,Berounsko,Počet přenocování,Nerezidenti,55152.0
2024,HUZ celkem,Berounsko,Průměrný počet přenocování ,Celkem,2.1498562352
2024,HUZ celkem,Berounsko,Průměrný počet přenocování ,Rezidenti,2.1242556128
2024,HUZ celkem,Berounsko,Průměrný počet přenocování ,Nerezidenti,2.2434103482
2024,HUZ celkem,Brdy a Podbrdsko,Počet hostů,Celkem,158166.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet hostů,Rezidenti,135046.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet hostů,Nerezidenti,23120.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet přenocování,Celkem,318364.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet přenocování,Rezidenti,270612.0
2024,HUZ celkem,Brdy a Podbrdsko,Počet přenocování,Nerezidenti,47752.0
2024,HUZ celkem,Brdy a Podbrdsko,Průměrný počet přenocování ,Celkem,2.0128472617
2024,HUZ celkem,Brdy a Podbrdsko,Průměrný počet přenocování ,Rezidenti,2.0038505398
2024,HUZ celkem,Brdy a Podbrdsko,Průměrný počet přenocování ,Nerezidenti,2.0653979239
2024,HUZ celkem,Kladensko - Slánsko,Počet hostů,Celkem,76959.0
2024,HUZ celkem,Kladensko - Slánsko,Počet hostů,Rezidenti,57496.0
2024,HUZ celkem,Kladensko - Slánsko,Počet hostů,Nerezidenti,19463.0
2024,HUZ celkem,Kladensko - Slánsko,Počet přenocování,Celkem,162024.0
2024,HUZ celkem,Kladensko - Slánsko,Počet přenocování,Rezidenti,110209.0
2024,HUZ celkem,Kladensko - Slánsko,Počet přenocování,Nerezidenti,51815.0
2024,HUZ celkem,Kladensko - Slánsko,Průměrný počet přenocování ,Celkem,2.1053288114
2024,HUZ celkem,Kladensko - Slánsko,Průměrný počet přenocování ,Rezidenti,1.9168116043
2024,HUZ celkem,Kladensko - Slánsko,Průměrný počet přenocování ,Nerezidenti,2.6622308997
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet hostů,Celkem,135311.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet hostů,Rezidenti,103206.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet hostů,Nerezidenti,32105.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet přenocování,Celkem,279939.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet přenocování,Rezidenti,216248.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Počet přenocování,Nerezidenti,63691.0
2024,HUZ celkem,Kutnohorsko a Kolínsko,Průměrný počet přenocování ,Celkem,2.0688561906
2024,HUZ celkem,Kutnohorsko a Kolínsko,Průměrný počet přenocování ,Rezidenti,2.0953045366
2024,HUZ celkem,Kutnohorsko a Kolínsko,Průměrný počet přenocování ,Nerezidenti,1.9838342937
2024,HUZ celkem,Kraj blanických rytířů,Počet hostů,Celkem,51047.0
2024,HUZ celkem,Kraj blanických rytířů,Počet hostů,Rezidenti,42833.0
2024,HUZ celkem,Kraj blanických rytířů,Počet hostů,Nerezidenti,8214.0
2024,HUZ celkem,Kraj blanických rytířů,Počet přenocování,Celkem,116701.0
2024,HUZ celkem,Kraj blanických rytířů,Počet přenocování,Rezidenti,88922.0
2024,HUZ celkem,Kraj blanických rytířů,Počet přenocování,Nerezidenti,27779.0
2024,HUZ celkem,Kraj blanických rytířů,Průměrný počet přenocování ,Celkem,2.2861480596
2024,HUZ celkem,Kraj blanických rytířů,Průměrný počet přenocování ,Rezidenti,2.0760161558
2024,HUZ celkem,Kraj blanických rytířů,Průměrný počet přenocování ,Nerezidenti,3.381908936
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet hostů,Celkem,95876.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet hostů,Rezidenti,72198.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet hostů,Nerezidenti,23678.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet přenocování,Celkem,185121.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet přenocování,Rezidenti,140763.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Počet přenocování,Nerezidenti,44358.0
2024,HUZ celkem,Mělnicko - Kokořínsko,Průměrný počet přenocování ,Celkem,1.9308377488
2024,HUZ celkem,Mělnicko - Kokořínsko,Průměrný počet přenocování ,Rezidenti,1.9496800465
2024,HUZ celkem,Mělnicko - Kokořínsko,Průměrný počet přenocování ,Nerezidenti,1.8733845764
