Roky;Kategorie ubytovacího zařízení;Oblasti destinačního managementu členěné;Ukazatel;Rezidence;value
2023;HUZ celkem;Praha;Počet hostů;Celkem;7442614.0
2023;HUZ celkem;Praha;Počet hostů;Rezidenti;1577633.0
2023;HUZ celkem;Praha;Počet hostů;Nerezidenti;5864981.0
2023;HUZ celkem;Praha;Počet přenocování;Celkem;16861664.0
2023;HUZ celkem;Praha;Počet přenocování;Rezidenti;2691291.0
2023;HUZ celkem;Praha;Počet přenocování;Nerezidenti;14170373.0
2023;HUZ celkem;Praha;Průměrný počet přenocování ;Celkem;2.2655566982
2023;HUZ celkem;Praha;Průměrný počet přenocování ;Rezidenti;1.7059043516
2023;HUZ celkem;Praha;Průměrný počet přenocování ;Nerezidenti;2.4160987052
2023;HUZ celkem;Berounsko;Počet hostů;Celkem;118765.0
2023;HUZ celkem;Berounsko;Počet hostů;Rezidenti;92237.0
2023;HUZ celkem;Berounsko;Počet hostů;Nerezidenti;26528.0
2023;HUZ celkem;Berounsko;Počet přenocování;Celkem;257583.0
2023;HUZ celkem;Berounsko;Počet přenocování;Rezidenti;200029.0
2023;HUZ celkem;Berounsko;Počet přenocování;Nerezidenti;57554.0
2023;HUZ celkem;Berounsko;Průměrný počet přenocování ;Celkem;2.1688460405
2023;HUZ celkem;Berounsko;Průměrný počet přenocování ;Rezidenti;2.1686416514
2023;HUZ celkem;Berounsko;Průměrný počet přenocování ;Nerezidenti;2.1695566948
2023;HUZ celkem;Brdy a Podbrdsko;Počet hostů;Celkem;137696.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet hostů;Rezidenti;117732.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet hostů;Nerezidenti;19964.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet přenocování;Celkem;292562.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet přenocování;Rezidenti;249679.0
2023;HUZ celkem;Brdy a Podbrdsko;Počet přenocování;Nerezidenti;42883.0
2023;HUZ celkem;Brdy a Podbrdsko;Průměrný počet přenocování ;Celkem;2.1246949802
2023;HUZ celkem;Brdy a Podbrdsko;Průměrný počet přenocování ;Rezidenti;2.1207403255
2023;HUZ celkem;Brdy a Podbrdsko;Průměrný počet přenocování ;Nerezidenti;2.1480164296
2023;HUZ celkem;Český ráj  - Středočeský kraj;Počet hostů;Celkem;35873.0
2023;HUZ celkem;Český ráj  - Středočeský kraj;Počet hostů;Rezidenti;32163.0
2023;HUZ celkem;Český ráj  - Středočeský kraj;Počet hostů;Nerezidenti;3710.0
2023;HUZ celkem;Český ráj  - Středočeský kraj;Počet přenocování;Celkem;96560.0
2023;HUZ celkem;Český ráj  - Středočeský kraj;Počet přenocování;Rezidenti;88877.0
2023;HUZ celkem;Český ráj  - Středočeský kraj;Počet přenocování;Nerezidenti;7683.0
2023;HUZ celkem;Český ráj  - Středočeský kraj;Průměrný počet přenocování ;Celkem;2.6917180052
2023;HUZ celkem;Český ráj  - Středočeský kraj;Průměrný počet přenocování ;Rezidenti;2.7633305351
2023;HUZ celkem;Český ráj  - Středočeský kraj;Průměrný počet přenocování ;Nerezidenti;2.0708894879
2023;HUZ celkem;Kladensko - Slánsko;Počet hostů;Celkem;78968.0
2023;HUZ celkem;Kladensko - Slánsko;Počet hostů;Rezidenti;60844.0
2023;HUZ celkem;Kladensko - Slánsko;Počet hostů;Nerezidenti;18124.0
2023;HUZ celkem;Kladensko - Slánsko;Počet přenocování;Celkem;169033.0
2023;HUZ celkem;Kladensko - Slánsko;Počet přenocování;Rezidenti;129540.0
2023;HUZ celkem;Kladensko - Slánsko;Počet přenocování;Nerezidenti;39493.0
2023;HUZ celkem;Kladensko - Slánsko;Průměrný počet přenocování ;Celkem;2.1405252761
2023;HUZ celkem;Kladensko - Slánsko;Průměrný počet přenocování ;Rezidenti;2.1290513444
2023;HUZ celkem;Kladensko - Slánsko;Průměrný počet přenocování ;Nerezidenti;2.1790443611
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet hostů;Celkem;149027.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet hostů;Rezidenti;114926.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet hostů;Nerezidenti;34101.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet přenocování;Celkem;298963.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet přenocování;Rezidenti;233170.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Počet přenocování;Nerezidenti;65793.0
2023;HUZ celkem;Kutnohorsko a Kolínsko;Průměrný počet přenocování ;Celkem;2.0060995659
2023;HUZ celkem;Kutnohorsko a Kolínsko;Průměrný počet přenocování ;Rezidenti;2.0288707516
2023;HUZ celkem;Kutnohorsko a Kolínsko;Průměrný počet přenocování ;Nerezidenti;1.9293569104
2023;HUZ celkem;Kraj blanických rytířů;Počet hostů;Celkem;49231.0
2023;HUZ celkem;Kraj blanických rytířů;Počet hostů;Rezidenti;41948.0
2023;HUZ celkem;Kraj blanických rytířů;Počet hostů;Nerezidenti;7283.0
2023;HUZ celkem;Kraj blanických rytířů;Počet přenocování;Celkem;109265.0
2023;HUZ celkem;Kraj blanických rytířů;Počet přenocování;Rezidenti;88893.0
2023;HUZ celkem;Kraj blanických rytířů;Počet přenocování;Nerezidenti;20372.0
2023;HUZ celkem;Kraj blanických rytířů;Průměrný počet přenocování ;Celkem;2.2194349089
2023;HUZ celkem;Kraj blanických rytířů;Průměrný počet přenocování ;Rezidenti;2.1191236769
2023;HUZ celkem;Kraj blanických rytířů;Průměrný počet přenocování ;Nerezidenti;2.7971989565
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet hostů;Celkem;91678.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet hostů;Rezidenti;69965.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet hostů;Nerezidenti;21713.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet přenocování;Celkem;169263.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet přenocování;Rezidenti;133918.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Počet přenocování;Nerezidenti;35345.0
2023;HUZ celkem;Mělnicko - Kokořínsko;Průměrný počet přenocování ;Celkem;1.8462771875
2023;HUZ celkem;Mělnicko - Kokořínsko;Průměrný počet přenocování ;Rezidenti;1.9140713214
2023;HUZ celkem;Mělnicko - Kokořínsko;Průměrný počet přenocování ;Nerezidenti;1.6278266476
2023;HUZ celkem;Pojizeří a Polabí;Počet hostů;Celkem;212782.0
2023;HUZ celkem;Pojizeří a Polabí;Počet hostů;Rezidenti;167794.0
2023;HUZ celkem;Pojizeří a Polabí;Počet hostů;Nerezidenti;44988.0
2023;HUZ celkem;Pojizeří a Polabí;Počet přenocování;Celkem;605086.0
2023;HUZ celkem;Pojizeří a Polabí;Počet přenocování;Rezidenti;494268.0
2023;HUZ celkem;Pojizeří a Polabí;Počet přenocování;Nerezidenti;110818.0
2023;HUZ celkem;Pojizeří a Polabí;Průměrný počet přenocování ;Celkem;2.8436897858
2023;HUZ celkem;Pojizeří a Polabí;Průměrný počet přenocování ;Rezidenti;2.9456833975
2023;HUZ celkem;Pojizeří a Polabí;Průměrný počet přenocování ;Nerezidenti;2.4632790966
2023;HUZ celkem;Posázaví;Počet hostů;Celkem;332206.0
2023;HUZ celkem;Posázaví;Počet hostů;Rezidenti;245469.0
2023;HUZ celkem;Posázaví;Počet hostů;Nerezidenti;86737.0
2023;HUZ celkem;Posázaví;Počet přenocování;Celkem;703246.0
2023;HUZ celkem;Posázaví;Počet přenocování;Rezidenti;515686.0
2023;HUZ celkem;Posázaví;Počet přenocování;Nerezidenti;187560.0
2023;HUZ celkem;Posázaví;Průměrný počet přenocování ;Celkem;2.1168973468
2023;HUZ celkem;Posázaví;Průměrný počet přenocování ;Rezidenti;2.1008192481
2023;HUZ celkem;Posázaví;Průměrný počet přenocování ;Nerezidenti;2.1623989762
2023;HUZ celkem;Rakovnicko;Počet hostů;Celkem;41757.0
2023;HUZ celkem;Rakovnicko;Počet hostů;Rezidenti;37700.0
2023;HUZ celkem;Rakovnicko;Počet hostů;Nerezidenti;4057.0
2023;HUZ celkem;Rakovnicko;Počet přenocování;Celkem;100043.0
2023;HUZ celkem;Rakovnicko;Počet přenocování;Rezidenti;90344.0
2023;HUZ celkem;Rakovnicko;Počet přenocování;Nerezidenti;9699.0
2023;HUZ celkem;Rakovnicko;Průměrný počet přenocování ;Celkem;2.3958378236
2023;HUZ celkem;Rakovnicko;Průměrný počet přenocování ;Rezidenti;2.3963925729
2023;HUZ celkem;Rakovnicko;Průměrný počet přenocování ;Nerezidenti;2.3906827705
2023;HUZ celkem;Toulava  - Středočeský kraj;Počet hostů;Celkem;67665.0
2023;HUZ celkem;Toulava  - Středočeský kraj;Počet hostů;Rezidenti;64091.0
2023;HUZ celkem;Toulava  - Středočeský kraj;Počet hostů;Nerezidenti;3574.0
2023;HUZ celkem;Toulava  - Středočeský kraj;Počet přenocování;Celkem;228323.0
2023;HUZ celkem;Toulava  - Středočeský kraj;Počet přenocování;Rezidenti;221039.0
2023;HUZ celkem;Toulava  - Středočeský kraj;Počet přenocování;Nerezidenti;7284.0
2023;HUZ celkem;Toulava  - Středočeský kraj;Průměrný počet přenocování ;Celkem;3.3743146383
2023;HUZ celkem;Toulava  - Středočeský kraj;Průměrný počet přenocování ;Rezidenti;3.448830569
2023;HUZ celkem;Toulava  - Středočeský kraj;Průměrný počet přenocování ;Nerezidenti;2.0380526021
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Počet hostů;Celkem;4460.0
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Počet hostů;Rezidenti;3688.0
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Počet hostů;Nerezidenti;772.0
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Počet přenocování;Celkem;10300.0
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Počet přenocování;Rezidenti;8787.0
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Počet přenocování;Nerezidenti;1513.0
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Průměrný počet přenocování ;Celkem;2.3094170404
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Průměrný počet přenocování ;Rezidenti;2.3825921909
2023;HUZ celkem;Máchův kraj - Středočeský kraj;Průměrný počet přenocování ;Nerezidenti;1.9598445596
2023;HUZ celkem;Česká Kanada;Počet hostů;Celkem;102327.0
2023;HUZ celkem;Česká Kanada;Počet hostů;Rezidenti;90725.0
2023;HUZ celkem;Česká Kanada;Počet hostů;Nerezidenti;11602.0
2023;HUZ celkem;Česká Kanada;Počet přenocování;Celkem;292736.0
2023;HUZ celkem;Česká Kanada;Počet přenocování;Rezidenti;268916.0
2023;HUZ celkem;Česká Kanada;Počet přenocování;Nerezidenti;23820.0
2023;HUZ celkem;Česká Kanada;Průměrný počet přenocování ;Celkem;2.86078943
2023;HUZ celkem;Česká Kanada;Průměrný počet přenocování ;Rezidenti;2.9640782585
2023;HUZ celkem;Česká Kanada;Průměrný počet přenocování ;Nerezidenti;2.0530942941
2023;HUZ celkem;Budějovicko;Počet hostů;Celkem;291874.0
2023;HUZ celkem;Budějovicko;Počet hostů;Rezidenti;160254.0
2023;HUZ celkem;Budějovicko;Počet hostů;Nerezidenti;131620.0
2023;HUZ celkem;Budějovicko;Počet přenocování;Celkem;544597.0
2023;HUZ celkem;Budějovicko;Počet přenocování;Rezidenti;316208.0
2023;HUZ celkem;Budějovicko;Počet přenocování;Nerezidenti;228389.0
2023;HUZ celkem;Budějovicko;Průměrný počet přenocování ;Celkem;1.865863352
2023;HUZ celkem;Budějovicko;Průměrný počet přenocování ;Rezidenti;1.9731675964
2023;HUZ celkem;Budějovicko;Průměrný počet přenocování ;Nerezidenti;1.7352150129
2023;HUZ celkem;Český Krumlov a okolí;Počet hostů;Celkem;245884.0
2023;HUZ celkem;Český Krumlov a okolí;Počet hostů;Rezidenti;123345.0
2023;HUZ celkem;Český Krumlov a okolí;Počet hostů;Nerezidenti;122539.0
2023;HUZ celkem;Český Krumlov a okolí;Počet přenocování;Celkem;415351.0
2023;HUZ celkem;Český Krumlov a okolí;Počet přenocování;Rezidenti;234615.0
2023;HUZ celkem;Český Krumlov a okolí;Počet přenocování;Nerezidenti;180736.0
2023;HUZ celkem;Český Krumlov a okolí;Průměrný počet přenocování ;Celkem;1.6892152397
2023;HUZ celkem;Český Krumlov a okolí;Průměrný počet přenocování ;Rezidenti;1.902103855
2023;HUZ celkem;Český Krumlov a okolí;Průměrný počet přenocování ;Nerezidenti;1.47492635
2023;HUZ celkem;Lipensko;Počet hostů;Celkem;312689.0
2023;HUZ celkem;Lipensko;Počet hostů;Rezidenti;235332.0
2023;HUZ celkem;Lipensko;Počet hostů;Nerezidenti;77357.0
2023;HUZ celkem;Lipensko;Počet přenocování;Celkem;918903.0
2023;HUZ celkem;Lipensko;Počet přenocování;Rezidenti;670342.0
2023;HUZ celkem;Lipensko;Počet přenocování;Nerezidenti;248561.0
2023;HUZ celkem;Lipensko;Průměrný počet přenocování ;Celkem;2.9387122668
2023;HUZ celkem;Lipensko;Průměrný počet přenocování ;Rezidenti;2.8484948923
2023;HUZ celkem;Lipensko;Průměrný počet přenocování ;Nerezidenti;3.213167522
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet hostů;Celkem;56810.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet hostů;Rezidenti;46099.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet hostů;Nerezidenti;10711.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet přenocování;Celkem;145572.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet přenocování;Rezidenti;125185.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Počet přenocování;Nerezidenti;20387.0
2023;HUZ celkem;Novohradsko-Doudlebsko;Průměrný počet přenocování ;Celkem;2.5624361908
2023;HUZ celkem;Novohradsko-Doudlebsko;Průměrný počet přenocování ;Rezidenti;2.7155686674
2023;HUZ celkem;Novohradsko-Doudlebsko;Průměrný počet přenocování ;Nerezidenti;1.9033703669
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hostů;Celkem;157052.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hostů;Rezidenti;134980.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet hostů;Nerezidenti;22072.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet přenocování;Celkem;467668.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet přenocování;Rezidenti;419958.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Počet přenocování;Nerezidenti;47710.0
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Průměrný počet přenocování ;Celkem;2.9777907954
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Průměrný počet přenocování ;Rezidenti;3.1112609275
2023;HUZ celkem;Písecko, Blatensko, Strakonicko, Vodňansko;Průměrný počet přenocování ;Nerezidenti;2.1615621602
2023;HUZ celkem;Šumavsko;Počet hostů;Celkem;135225.0
2023;HUZ celkem;Šumavsko;Počet hostů;Rezidenti;118794.0
2023;HUZ celkem;Šumavsko;Počet hostů;Nerezidenti;16431.0
2023;HUZ celkem;Šumavsko;Počet přenocování;Celkem;388898.0
2023;HUZ celkem;Šumavsko;Počet přenocování;Rezidenti;354062.0
2023;HUZ celkem;Šumavsko;Počet přenocování;Nerezidenti;34836.0
