Ukazatel,Kategorie ubytovacího zařízení,Rezidence,"ČR, kraje",Roky,value
Počet hostů,HUZ celkem,Celkem,Česko,2024,22809595
Počet hostů,HUZ celkem,Celkem,Česko,2023,21977671
Počet hostů,HUZ celkem,Celkem,Česko,2022,19424164
Počet hostů,HUZ celkem,Celkem,Česko,2021,11383601
Počet hostů,HUZ celkem,Celkem,Česko,2020,10836444
Počet hostů,HUZ celkem,Celkem,Česko,2019,21998366
Počet hostů,HUZ celkem,Celkem,Česko,2018,21247150
Počet hostů,HUZ celkem,Celkem,Česko,2017,20000561
Počet hostů,HUZ celkem,Celkem,Česko,2016,18388853
Počet hostů,HUZ celkem,Celkem,Česko,2015,17195550
Počet hostů,HUZ celkem,Celkem,Česko,2014,15587076
Počet hostů,HUZ celkem,Celkem,Česko,2013,15407671
Počet hostů,HUZ celkem,Celkem,Česko,2012,15098817
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2024,8063367
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2023,7442614
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2022,5984803
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2021,2354720
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2020,2182443
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2019,8044324
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2018,7892184
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2017,7652761
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2016,7127558
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2015,6605776
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2014,6096015
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2013,5899630
Počet hostů,HUZ celkem,Celkem,Hlavní město Praha,2012,5726454
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2024,1363907
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2023,1320108
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2022,1157837
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2021,781785
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2020,693980
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2019,1172951
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2018,1122095
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2017,1021352
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2016,939041
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2015,907567
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2014,799530
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2013,820141
Počet hostů,HUZ celkem,Celkem,Středočeský kraj,2012,853204
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2024,1749686
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2023,1646978
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2022,1464864
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2021,1119451
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2020,1120104
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2019,1788911
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2018,1726991
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2017,1561802
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2016,1446905
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2015,1341912
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2014,1176046
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2013,1138549
Počet hostů,HUZ celkem,Celkem,Jihočeský kraj,2012,1107452
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2024,900439
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2023,898267
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2022,840789
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2021,554582
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2020,533620
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2019,871893
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2018,839900
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2017,751555
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2016,660011
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2015,650250
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2014,568746
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2013,558797
Počet hostů,HUZ celkem,Celkem,Plzeňský kraj,2012,595138
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2024,1390673
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2023,1347879
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2022,1157945
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2021,710460
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2020,677441
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2019,1190296
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2018,1118003
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2017,1038270
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2016,948871
Počet hostů,HUZ celkem,Celkem,Karlovarský kraj,2015,850891
