Ukazatel;Kategorie ubytovacího zařízení;Rezidence;ČR, kraje, okresy;Roky;value
Počet hostů;HUZ celkem;Celkem;Česko;2024;22809595
Počet hostů;HUZ celkem;Celkem;Česko;2023;21977671
Počet hostů;HUZ celkem;Celkem;Česko;2022;19424164
Počet hostů;HUZ celkem;Celkem;Česko;2021;11383601
Počet hostů;HUZ celkem;Celkem;Česko;2020;10836444
Počet hostů;HUZ celkem;Celkem;Česko;2019;21998366
Počet hostů;HUZ celkem;Celkem;Česko;2018;21247150
Počet hostů;HUZ celkem;Celkem;Česko;2017;20000561
Počet hostů;HUZ celkem;Celkem;Česko;2016;18388853
Počet hostů;HUZ celkem;Celkem;Česko;2015;17195550
Počet hostů;HUZ celkem;Celkem;Česko;2014;15587076
Počet hostů;HUZ celkem;Celkem;Česko;2013;15407671
Počet hostů;HUZ celkem;Celkem;Česko;2012;15098817
