Kategorie ubytovacího zařízení;ČR, kraje;Roky;Rezidence;Ukazatel;value
HUZ celkem;Česko;2023;Celkem;Počet hostů;21977671.0
HUZ celkem;Česko;2023;Celkem;Počet přenocování;55842471.0
HUZ celkem;Česko;2023;Celkem;Průměrný počet přenocování ;2.540873007
HUZ celkem;Česko;2023;Rezidenti;Počet hostů;12418741.0
HUZ celkem;Česko;2023;Rezidenti;Počet přenocování;32480862.0
HUZ celkem;Česko;2023;Rezidenti;Průměrný počet přenocování ;2.6154714073
HUZ celkem;Česko;2023;Nerezidenti;Počet hostů;9558930.0
HUZ celkem;Česko;2023;Nerezidenti;Počet přenocování;23361609.0
HUZ celkem;Česko;2023;Nerezidenti;Průměrný počet přenocování ;2.4439564889
HUZ celkem;Česko;2023;Belgie;Počet hostů;94192.0
HUZ celkem;Česko;2023;Belgie;Počet přenocování;243031.0
HUZ celkem;Česko;2023;Belgie;Průměrný počet přenocování ;2.5801660438
HUZ celkem;Česko;2023;Bulharsko;Počet hostů;54353.0
HUZ celkem;Česko;2023;Bulharsko;Počet přenocování;139724.0
HUZ celkem;Česko;2023;Bulharsko;Průměrný počet přenocování ;2.5706768716
HUZ celkem;Česko;2023;Dánsko;Počet hostů;108861.0
HUZ celkem;Česko;2023;Dánsko;Počet přenocování;310152.0
HUZ celkem;Česko;2023;Dánsko;Průměrný počet přenocování ;2.8490644032
HUZ celkem;Česko;2023;Estonsko;Počet hostů;23681.0
HUZ celkem;Česko;2023;Estonsko;Počet přenocování;53237.0
HUZ celkem;Česko;2023;Estonsko;Průměrný počet přenocování ;2.2480891854
HUZ celkem;Česko;2023;Finsko;Počet hostů;48494.0
HUZ celkem;Česko;2023;Finsko;Počet přenocování;123412.0
HUZ celkem;Česko;2023;Finsko;Průměrný počet přenocování ;2.5448921516
HUZ celkem;Česko;2023;Francie;Počet hostů;252916.0
HUZ celkem;Česko;2023;Francie;Počet přenocování;648001.0
HUZ celkem;Česko;2023;Francie;Průměrný počet přenocování ;2.5621194389
HUZ celkem;Česko;2023;Chorvatsko;Počet hostů;51007.0
HUZ celkem;Česko;2023;Chorvatsko;Počet přenocování;123019.0
HUZ celkem;Česko;2023;Chorvatsko;Průměrný počet přenocování ;2.4118062227
HUZ celkem;Česko;2023;Irsko;Počet hostů;58507.0
HUZ celkem;Česko;2023;Irsko;Počet přenocování;155545.0
HUZ celkem;Česko;2023;Irsko;Průměrný počet přenocování ;2.6585707693
HUZ celkem;Česko;2023;Island;Počet hostů;8437.0
HUZ celkem;Česko;2023;Island;Počet přenocování;24053.0
HUZ celkem;Česko;2023;Island;Průměrný počet přenocování ;2.8508948678
HUZ celkem;Česko;2023;Itálie;Počet hostů;390459.0
HUZ celkem;Česko;2023;Itálie;Počet přenocování;1040510.0
HUZ celkem;Česko;2023;Itálie;Průměrný počet přenocování ;2.6648380496
HUZ celkem;Česko;2023;Kypr;Počet hostů;12415.0
HUZ celkem;Česko;2023;Kypr;Počet přenocování;39007.0
HUZ celkem;Česko;2023;Kypr;Průměrný počet přenocování ;3.1419250906
HUZ celkem;Česko;2023;Litva;Počet hostů;88234.0
HUZ celkem;Česko;2023;Litva;Počet přenocování;137821.0
HUZ celkem;Česko;2023;Litva;Průměrný počet přenocování ;1.5619942426
HUZ celkem;Česko;2023;Lotyšsko;Počet hostů;38014.0
HUZ celkem;Česko;2023;Lotyšsko;Počet přenocování;78484.0
HUZ celkem;Česko;2023;Lotyšsko;Průměrný počet přenocování ;2.0646077761
HUZ celkem;Česko;2023;Lucembursko;Počet hostů;6651.0
HUZ celkem;Česko;2023;Lucembursko;Počet přenocování;15827.0
HUZ celkem;Česko;2023;Lucembursko;Průměrný počet přenocování ;2.3796421591
HUZ celkem;Česko;2023;Lichtenštejnsko;Počet hostů;1106.0
HUZ celkem;Česko;2023;Lichtenštejnsko;Počet přenocování;2418.0
HUZ celkem;Česko;2023;Lichtenštejnsko;Průměrný počet přenocování ;2.1862567812
HUZ celkem;Česko;2023;Maďarsko;Počet hostů;172524.0
HUZ celkem;Česko;2023;Maďarsko;Počet přenocování;364408.0
HUZ celkem;Česko;2023;Maďarsko;Průměrný počet přenocování ;2.1122162714
HUZ celkem;Česko;2023;Malta;Počet hostů;8162.0
HUZ celkem;Česko;2023;Malta;Počet přenocování;28016.0
HUZ celkem;Česko;2023;Malta;Průměrný počet přenocování ;3.4324920363
HUZ celkem;Česko;2023;Německo;Počet hostů;2283924.0
HUZ celkem;Česko;2023;Německo;Počet přenocování;6258838.0
HUZ celkem;Česko;2023;Německo;Průměrný počet přenocování ;2.7403880339
HUZ celkem;Česko;2023;Nizozemské království;Počet hostů;261678.0
HUZ celkem;Česko;2023;Nizozemské království;Počet přenocování;714882.0
HUZ celkem;Česko;2023;Nizozemské království;Průměrný počet přenocování ;2.731914796
HUZ celkem;Česko;2023;Norsko;Počet hostů;54362.0
HUZ celkem;Česko;2023;Norsko;Počet přenocování;136988.0
HUZ celkem;Česko;2023;Norsko;Průměrný počet přenocování ;2.5199220043
HUZ celkem;Česko;2023;Polsko;Počet hostů;759518.0
HUZ celkem;Česko;2023;Polsko;Počet přenocování;1525017.0
HUZ celkem;Česko;2023;Polsko;Průměrný počet přenocování ;2.0078747311
HUZ celkem;Česko;2023;Portugalsko;Počet hostů;44200.0
HUZ celkem;Česko;2023;Portugalsko;Počet přenocování;123234.0
HUZ celkem;Česko;2023;Portugalsko;Průměrný počet přenocování ;2.7880995475
HUZ celkem;Česko;2023;Rakousko;Počet hostů;319450.0
HUZ celkem;Česko;2023;Rakousko;Počet přenocování;613197.0
HUZ celkem;Česko;2023;Rakousko;Průměrný počet přenocování ;1.9195398341
HUZ celkem;Česko;2023;Rumunsko;Počet hostů;120604.0
HUZ celkem;Česko;2023;Rumunsko;Počet přenocování;290349.0
HUZ celkem;Česko;2023;Rumunsko;Průměrný počet přenocování ;2.4074574641
HUZ celkem;Česko;2023;Rusko;Počet hostů;43040.0
HUZ celkem;Česko;2023;Rusko;Počet přenocování;117831.0
HUZ celkem;Česko;2023;Rusko;Průměrný počet přenocování ;2.7377091078
HUZ celkem;Česko;2023;Řecko;Počet hostů;53003.0
HUZ celkem;Česko;2023;Řecko;Počet přenocování;150789.0
HUZ celkem;Česko;2023;Řecko;Průměrný počet přenocování ;2.8449144388
HUZ celkem;Česko;2023;Slovensko;Počet hostů;860893.0
HUZ celkem;Česko;2023;Slovensko;Počet přenocování;1712603.0
HUZ celkem;Česko;2023;Slovensko;Průměrný počet přenocování ;1.9893331692
HUZ celkem;Česko;2023;Slovinsko;Počet hostů;38923.0
HUZ celkem;Česko;2023;Slovinsko;Počet přenocování;81744.0
HUZ celkem;Česko;2023;Slovinsko;Průměrný počet přenocování ;2.100146443
HUZ celkem;Česko;2023;Velká Británie a Severní Irsko;Počet hostů;455262.0
HUZ celkem;Česko;2023;Velká Británie a Severní Irsko;Počet přenocování;1200507.0
HUZ celkem;Česko;2023;Velká Británie a Severní Irsko;Průměrný počet přenocování ;2.6369584986
HUZ celkem;Česko;2023;Srbsko a Černá Hora;Počet hostů;40192.0
HUZ celkem;Česko;2023;Srbsko a Černá Hora;Počet přenocování;102591.0
HUZ celkem;Česko;2023;Srbsko a Černá Hora;Průměrný počet přenocování ;2.5525228901
HUZ celkem;Česko;2023;Španělsko;Počet hostů;226200.0
HUZ celkem;Česko;2023;Španělsko;Počet přenocování;646305.0
HUZ celkem;Česko;2023;Španělsko;Průměrný počet přenocování ;2.8572281167
HUZ celkem;Česko;2023;Švédsko;Počet hostů;112978.0
HUZ celkem;Česko;2023;Švédsko;Počet přenocování;274606.0
HUZ celkem;Česko;2023;Švédsko;Průměrný počet přenocování ;2.43061481
HUZ celkem;Česko;2023;Švýcarsko;Počet hostů;98975.0
HUZ celkem;Česko;2023;Švýcarsko;Počet přenocování;243942.0
HUZ celkem;Česko;2023;Švýcarsko;Průměrný počet přenocování ;2.4646830008
HUZ celkem;Česko;2023;Turecko;Počet hostů;95036.0
HUZ celkem;Česko;2023;Turecko;Počet přenocování;221459.0
HUZ celkem;Česko;2023;Turecko;Průměrný počet přenocování ;2.3302643209
HUZ celkem;Česko;2023;Ukrajina;Počet hostů;333862.0
HUZ celkem;Česko;2023;Ukrajina;Počet přenocování;703596.0
HUZ celkem;Česko;2023;Ukrajina;Průměrný počet přenocování ;2.1074455913
HUZ celkem;Česko;2023;Ostatní evropské země;Počet hostů;107310.0
HUZ celkem;Česko;2023;Ostatní evropské země;Počet přenocování;240269.0
HUZ celkem;Česko;2023;Ostatní evropské země;Průměrný počet přenocování ;2.2390177989
HUZ celkem;Česko;2023;Kanada;Počet hostů;69150.0
HUZ celkem;Česko;2023;Kanada;Počet přenocování;187228.0
