Kategorie,Druh zařízení,"ČR, kraje",Roky,Rezidence,Ukazatel,value
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Celkem,Počet hostů,925893.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Celkem,Počet přenocování,6413218.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Celkem,Průměrný počet přenocování ,6.9265217471
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rezidenti,Počet hostů,541462.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rezidenti,Počet přenocování,4554558.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rezidenti,Průměrný počet přenocování ,8.4115930573
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nerezidenti,Počet hostů,384431.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nerezidenti,Počet přenocování,1858660.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nerezidenti,Průměrný počet přenocování ,4.8348338193
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Belgie,Počet hostů,2129.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Belgie,Počet přenocování,8469.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Belgie,Průměrný počet přenocování ,3.9779239079
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Bulharsko,Počet hostů,1160.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Bulharsko,Počet přenocování,3771.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Bulharsko,Průměrný počet přenocování ,3.250862069
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Dánsko,Počet hostů,1588.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Dánsko,Počet přenocování,4880.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Dánsko,Průměrný počet přenocování ,3.0730478589
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Estonsko,Počet hostů,671.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Estonsko,Počet přenocování,3213.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Estonsko,Průměrný počet přenocování ,4.7883755589
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Finsko,Počet hostů,737.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Finsko,Počet přenocování,2413.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Finsko,Průměrný počet přenocování ,3.2740841248
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Francie,Počet hostů,3858.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Francie,Počet přenocování,12424.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Francie,Průměrný počet přenocování ,3.2203214101
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Chorvatsko,Počet hostů,701.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Chorvatsko,Počet přenocování,1614.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Chorvatsko,Průměrný počet přenocování ,2.302425107
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Irsko,Počet hostů,589.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Irsko,Počet přenocování,2212.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Irsko,Průměrný počet přenocování ,3.7555178268
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Island,Počet hostů,115.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Island,Počet přenocování,398.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Island,Průměrný počet přenocování ,3.4608695652
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Itálie,Počet hostů,4075.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Itálie,Počet přenocování,12270.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Itálie,Průměrný počet přenocování ,3.0110429448
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kypr,Počet hostů,523.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kypr,Počet přenocování,1971.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kypr,Průměrný počet přenocování ,3.7686424474
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Litva,Počet hostů,1093.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Litva,Počet přenocování,4327.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Litva,Průměrný počet přenocování ,3.9588289113
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lotyšsko,Počet hostů,1173.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lotyšsko,Počet přenocování,6416.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lotyšsko,Průměrný počet přenocování ,5.4697357204
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lucembursko,Počet hostů,179.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lucembursko,Počet přenocování,652.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lucembursko,Průměrný počet přenocování ,3.6424581006
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lichtenštejnsko,Počet hostů,14.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lichtenštejnsko,Počet přenocování,62.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Lichtenštejnsko,Průměrný počet přenocování ,4.4285714286
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Maďarsko,Počet hostů,2158.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Maďarsko,Počet přenocování,5688.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Maďarsko,Průměrný počet přenocování ,2.6357738647
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Malta,Počet hostů,79.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Malta,Počet přenocování,312.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Malta,Průměrný počet přenocování ,3.9493670886
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Německo,Počet hostů,251203.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Německo,Počet přenocování,1246205.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Německo,Průměrný počet přenocování ,4.9609479186
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nizozemské království,Počet hostů,4109.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nizozemské království,Počet přenocování,14670.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Nizozemské království,Průměrný počet přenocování ,3.5702117303
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Norsko,Počet hostů,697.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Norsko,Počet přenocování,2527.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Norsko,Průměrný počet přenocování ,3.6255380201
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Polsko,Počet hostů,7458.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Polsko,Počet přenocování,19675.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Polsko,Průměrný počet přenocování ,2.638106731
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Portugalsko,Počet hostů,490.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Portugalsko,Počet přenocování,1712.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Portugalsko,Průměrný počet přenocování ,3.493877551
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rakousko,Počet hostů,6642.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rakousko,Počet přenocování,21218.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rakousko,Průměrný počet přenocování ,3.194519723
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rumunsko,Počet hostů,2636.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rumunsko,Počet přenocování,13891.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rumunsko,Průměrný počet přenocování ,5.2697268589
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rusko,Počet hostů,4368.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rusko,Počet přenocování,22936.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Rusko,Průměrný počet přenocování ,5.2509157509
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Řecko,Počet hostů,686.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Řecko,Počet přenocování,2426.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Řecko,Průměrný počet přenocování ,3.5364431487
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Slovensko,Počet hostů,14277.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Slovensko,Počet přenocování,43649.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Slovensko,Průměrný počet přenocování ,3.0572949499
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Slovinsko,Počet hostů,505.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Slovinsko,Počet přenocování,1685.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Slovinsko,Průměrný počet přenocování ,3.3366336634
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Velká Británie a Severní Irsko,Počet hostů,3885.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Velká Británie a Severní Irsko,Počet přenocování,13532.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Velká Británie a Severní Irsko,Průměrný počet přenocování ,3.4831402831
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Srbsko a Černá Hora,Počet hostů,254.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Srbsko a Černá Hora,Počet přenocování,621.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Srbsko a Černá Hora,Průměrný počet přenocování ,2.4448818898
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Španělsko,Počet hostů,2569.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Španělsko,Počet přenocování,8243.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Španělsko,Průměrný počet přenocování ,3.2086414947
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švédsko,Počet hostů,1417.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švédsko,Počet přenocování,4571.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švédsko,Průměrný počet přenocování ,3.2258292167
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švýcarsko,Počet hostů,2904.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švýcarsko,Počet přenocování,10746.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Švýcarsko,Průměrný počet přenocování ,3.7004132231
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Turecko,Počet hostů,906.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Turecko,Počet přenocování,2603.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Turecko,Průměrný počet přenocování ,2.8730684327
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ukrajina,Počet hostů,9764.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ukrajina,Počet přenocování,50074.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ukrajina,Průměrný počet přenocování ,5.1284309709
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní evropské země,Počet hostů,2910.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní evropské země,Počet přenocování,22971.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Ostatní evropské země,Průměrný počet přenocování ,7.893814433
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kanada,Počet hostů,1449.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kanada,Počet přenocování,7312.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Kanada,Průměrný počet přenocování ,5.0462387854
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené státy,Počet hostů,6511.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené státy,Počet přenocování,38980.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Spojené státy,Průměrný počet přenocování ,5.9867915835
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Brazílie,Počet hostů,442.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Brazílie,Počet přenocování,1099.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Brazílie,Průměrný počet přenocování ,2.4864253394
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Mexiko,Počet hostů,345.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Mexiko,Počet přenocování,717.0
Hromadná ubytovací zařízení celkem,Lázeňské ubytovací zařízení,Česko,2023,Mexiko,Průměrný počet přenocování ,2.0782608696
