Území;Roky;Ukazatel;Druh cestovního ruchu;value
Česko;2021;Počet hostů;Příjezdový cestovní ruch;3767826.33150893
Česko;2021;Počet hostů;Domácí cestovní ruch;30392168.0638311
Česko;2021;Počet hostů;Výjezdový cestovní ruch;4211300.96878015
Česko;2021;Počet hostů;Vnitřní cestovní ruch;34159994.39534
Česko;2021;Počet hostů;Saldo cestovního ruchu;-443474.63727122
Česko;2021;Počet přenocování;Příjezdový cestovní ruch;12894136.0605671
Česko;2021;Počet přenocování;Domácí cestovní ruch;120218999.017882
Česko;2021;Počet přenocování;Výjezdový cestovní ruch;30010568.9068771
Česko;2021;Počet přenocování;Vnitřní cestovní ruch;133113135.078449
Česko;2021;Počet přenocování;Saldo cestovního ruchu;-17116432.8463099
Česko;2021;Počet návštěvníků celkem;Příjezdový cestovní ruch;10014161.9824701
Česko;2021;Počet návštěvníků celkem;Domácí cestovní ruch;71024469.7289262
Česko;2021;Počet návštěvníků celkem;Výjezdový cestovní ruch;5245285.26694902
Česko;2021;Počet návštěvníků celkem;Vnitřní cestovní ruch;81038631.7113962
Česko;2021;Počet návštěvníků celkem;Saldo cestovního ruchu;4768876.71552105
Česko;2021;Jednodenní návštěvníci (bez přenocování);Příjezdový cestovní ruch;6246335.65096114
Česko;2021;Jednodenní návštěvníci (bez přenocování);Domácí cestovní ruch;40632301.6650951
Česko;2021;Jednodenní návštěvníci (bez přenocování);Výjezdový cestovní ruch;1033984.29816887
Česko;2021;Jednodenní návštěvníci (bez přenocování);Vnitřní cestovní ruch;46878637.3160562
Česko;2021;Jednodenní návštěvníci (bez přenocování);Saldo cestovního ruchu;5212351.35279226
Česko;2021;Průměrný počet přenocování (noci);Příjezdový cestovní ruch;3.42216836
Česko;2021;Průměrný počet přenocování (noci);Domácí cestovní ruch;3.95559141
Česko;2021;Průměrný počet přenocování (noci);Výjezdový cestovní ruch;7.12619904
Česko;2021;Průměrný počet přenocování (noci);Vnitřní cestovní ruch;3.89675518
Česko;2021;Průměrný počet přenocování (noci);Saldo cestovního ruchu;
Česko;2021;Spotřeba (Výdaje) v cestovním ruchu v mil. Kč;Příjezdový cestovní ruch;50014.5729466
Česko;2021;Spotřeba (Výdaje) v cestovním ruchu v mil. Kč;Domácí cestovní ruch;105215.81900213
Česko;2021;Spotřeba (Výdaje) v cestovním ruchu v mil. Kč;Výjezdový cestovní ruch;37700.84244206
Česko;2021;Spotřeba (Výdaje) v cestovním ruchu v mil. Kč;Vnitřní cestovní ruch;155230.39194873
Česko;2021;Spotřeba (Výdaje) v cestovním ruchu v mil. Kč;Saldo cestovního ruchu;12313.73050454
Česko;2021;Průměrná spotřeba na 1 návštěvníka (Kč);Příjezdový cestovní ruch;4994.38425643
Česko;2021;Průměrná spotřeba na 1 návštěvníka (Kč);Domácí cestovní ruch;1481.40238714
Česko;2021;Průměrná spotřeba na 1 návštěvníka (Kč);Výjezdový cestovní ruch;7187.56760087
Česko;2021;Průměrná spotřeba na 1 návštěvníka (Kč);Vnitřní cestovní ruch;1915.51101827
Česko;2021;Průměrná spotřeba na 1 návštěvníka (Kč);Saldo cestovního ruchu;
Česko;2021;Průměrná spotřeba na 1 den cesty (Kč);Příjezdový cestovní ruch;2183.25136388
Česko;2021;Průměrná spotřeba na 1 den cesty (Kč);Domácí cestovní ruch;550.1668616
Česko;2021;Průměrná spotřeba na 1 den cesty (Kč);Výjezdový cestovní ruch;1069.34985198
Česko;2021;Průměrná spotřeba na 1 den cesty (Kč);Vnitřní cestovní ruch;724.86159828
Česko;2021;Průměrná spotřeba na 1 den cesty (Kč);Saldo cestovního ruchu;
