Území;Roky;Druh cesty ;Věk;Ukazatel;Cíl cesty;value
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Domácí;6842331.3226
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Zahraniční;5660910.2801
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Domácí;50461603.185
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Zahraniční;43156769.88
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Domácí;33335818727.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Zahraniční;95116627715.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet cest;Domácí;695257.39803
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet cest;Zahraniční;812594.26858
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet přenocování;Domácí;4720198.8598
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet přenocování;Zahraniční;6107557.7813
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;15 až 25 let;Náklady (Kč);Domácí;3589164862.8
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;15 až 25 let;Náklady (Kč);Zahraniční;13037961001.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet cest;Domácí;1027227.0153
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet cest;Zahraniční;1052071.0701
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet přenocování;Domácí;6111117.4585
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet přenocování;Zahraniční;8342253.047
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;25 až 35 let;Náklady (Kč);Domácí;4283533860.1
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;25 až 35 let;Náklady (Kč);Zahraniční;16442998080.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet cest;Domácí;1334286.8399
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet cest;Zahraniční;1173795.674
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet přenocování;Domácí;8201267.8551
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;35 až 45 let;Počet přenocování;Zahraniční;8661344.5339
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;35 až 45 let;Náklady (Kč);Domácí;5997671512.6
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;35 až 45 let;Náklady (Kč);Zahraniční;18232610947.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet cest;Domácí;1096818.6816
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet cest;Zahraniční;1376317.7521
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet přenocování;Domácí;7053243.3354
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;45 až 55 let;Počet přenocování;Zahraniční;10052215.694
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;45 až 55 let;Náklady (Kč);Domácí;6142067356.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;45 až 55 let;Náklady (Kč);Zahraniční;24400162988.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet cest;Domácí;845628.36274
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet cest;Zahraniční;633344.43526
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet přenocování;Domácí;6970735.735
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;55 až 65 let;Počet přenocování;Zahraniční;4979690.3636
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;55 až 65 let;Náklady (Kč);Domácí;4887368961.4
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;55 až 65 let;Náklady (Kč);Zahraniční;12126672634.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet cest;Domácí;1843113.0251
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet cest;Zahraniční;612787.0801
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet přenocování;Domácí;17405039.941
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;65 a více let ;Počet přenocování;Zahraniční;5013708.4609
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;65 a více let ;Náklady (Kč);Domácí;8436012173.9
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;65 a více let ;Náklady (Kč);Zahraniční;10876222064.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Domácí;12840829.599
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Zahraniční;1753982.4073
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Domácí;25663029.826
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Zahraniční;4127463.94
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Domácí;23149926370.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Zahraniční;10344658221.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet cest;Domácí;1414940.6186
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet cest;Zahraniční;236834.79941
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet přenocování;Domácí;2812807.9717
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Počet přenocování;Zahraniční;579949.72856
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Náklady (Kč);Domácí;2581568103.8
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;15 až 25 let;Náklady (Kč);Zahraniční;1135469770.7
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet cest;Domácí;2509062.5899
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet cest;Zahraniční;410178.71881
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;25 až 35 let;Počet přenocování;Domácí;5107561.3168
