Území,Roky,Druh cesty ,Způsob dopravy,Ukazatel,Cíl cesty,value
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet cest (v tis.),Domácí,6842.3313226
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet cest (v tis.),Zahraniční,5660.9102801
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Domácí,50461.603185
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Zahraniční,43156.76988
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Domácí,33335.818727
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Zahraniční,95116.627715
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet cest (v tis.),Domácí,6027.5916238
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet cest (v tis.),Zahraniční,2499.8669753
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet přenocování (v tis.),Domácí,44404.209928
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Počet přenocování (v tis.),Zahraniční,17517.386602
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Náklady (mil. Kč),Domácí,29061.909248
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Osobní motorové vozidlo,Náklady (mil. Kč),Zahraniční,28224.38319
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Autobus,Počet cest (v tis.),Domácí,445.19001312
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Autobus,Počet cest (v tis.),Zahraniční,457.78940216
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Autobus,Počet přenocování (v tis.),Domácí,3171.5371459
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Autobus,Počet přenocování (v tis.),Zahraniční,3256.4064336
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Autobus,Náklady (mil. Kč),Domácí,2227.7254188
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Autobus,Náklady (mil. Kč),Zahraniční,6870.2079119
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Jízdní kolo,Počet cest (v tis.),Domácí,
