Území,Roky,Druh cesty ,Způsob organizace cesty účastníka cestovního ruchu,Ukazatel,Cíl cesty,value
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet cest (v tis.),Domácí,6275.8782158
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet cest (v tis.),Zahraniční,2967.5250941
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet přenocování (v tis.),Domácí,45294.281172
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet přenocování (v tis.),Zahraniční,23095.810474
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Náklady (mil. Kč),Domácí,28054.821593
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Náklady (mil. Kč),Zahraniční,39230.312243
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet cest (v tis.),Domácí,
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet cest (v tis.),Zahraniční,2254.2983104
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet přenocování (v tis.),Domácí,
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet přenocování (v tis.),Zahraniční,16883.056973
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Náklady (mil. Kč),Domácí,
Česko,2023,Delší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Náklady (mil. Kč),Zahraniční,49186.434054
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet cest (v tis.),Domácí,12567.890305
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet cest (v tis.),Zahraniční,1562.4627418
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet přenocování (v tis.),Domácí,25050.827486
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Počet přenocování (v tis.),Zahraniční,3624.2685653
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Náklady (mil. Kč),Domácí,21953.719493
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Individuální organizace celého pobytu,Náklady (mil. Kč),Zahraniční,8624.3419915
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet cest (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet cest (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet přenocování (v tis.),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Náklady (mil. Kč),Domácí,
Česko,2023,Kratší cesty za účelem trávení volného času a rekreace,Zájezd s CK/CA,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,Individuální organizace celého pobytu,Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,Individuální organizace celého pobytu,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Individuální organizace celého pobytu,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,Individuální organizace celého pobytu,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Individuální organizace celého pobytu,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,Individuální organizace celého pobytu,Náklady (mil. Kč),Zahraniční,
Česko,2023,Služební cesty,Zájezd s CK/CA,Počet cest (v tis.),Domácí,
Česko,2023,Služební cesty,Zájezd s CK/CA,Počet cest (v tis.),Zahraniční,
Česko,2023,Služební cesty,Zájezd s CK/CA,Počet přenocování (v tis.),Domácí,
Česko,2023,Služební cesty,Zájezd s CK/CA,Počet přenocování (v tis.),Zahraniční,
Česko,2023,Služební cesty,Zájezd s CK/CA,Náklady (mil. Kč),Domácí,
Česko,2023,Služební cesty,Zájezd s CK/CA,Náklady (mil. Kč),Zahraniční,
