Území;Roky;Druh cesty ;Způsob dopravy;Ukazatel;Pohlaví;value
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Celkem;12503241.603
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Muži;5918378.1396
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Ženy;6584863.4631
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Celkem;93618373.066
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Muži;44356997.346
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Ženy;49261375.72
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Celkem;128452446441.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Muži;64411002564.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Ženy;64041443877.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet cest;Celkem;8527458.599
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet cest;Muži;4158069.0623
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet cest;Ženy;4369389.5368
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet přenocování;Celkem;61921596.531
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet přenocování;Muži;29843438.025
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet přenocování;Ženy;32078158.506
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Náklady (Kč);Celkem;57286292438.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Náklady (Kč);Muži;29617323251.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Náklady (Kč);Ženy;27668969187.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Počet cest;Celkem;902979.41529
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Počet cest;Muži;363764.59248
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Počet cest;Ženy;539214.82281
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Počet přenocování;Celkem;6427943.5795
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Počet přenocování;Muži;2710178.2938
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Počet přenocování;Ženy;3717765.2857
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Náklady (Kč);Celkem;9097933330.7
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Náklady (Kč);Muži;4359987219.3
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Autobus;Náklady (Kč);Ženy;4737946111.4
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet cest;Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet cest;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet cest;Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet přenocování;Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet přenocování;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet přenocování;Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Náklady (Kč);Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Náklady (Kč);Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Náklady (Kč);Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Počet cest;Celkem;572966.72314
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Počet cest;Muži;212519.11838
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Počet cest;Ženy;360447.60475
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Počet přenocování;Celkem;4226029.4701
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Počet přenocování;Muži;1500915.321
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Počet přenocování;Ženy;2725114.1491
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Náklady (Kč);Celkem;3945408439.4
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Náklady (Kč);Muži;1535743200.8
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlak;Náklady (Kč);Ženy;2409665238.6
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Počet cest;Celkem;2463502.2535
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Počet cest;Muži;1168266.4648
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Počet cest;Ženy;1295235.7887
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Počet přenocování;Celkem;20818389.872
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Počet přenocování;Muži;10181145.404
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Počet přenocování;Ženy;10637244.468
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Náklady (Kč);Celkem;57725717498.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Náklady (Kč);Muži;28736019712.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Letadlo;Náklady (Kč);Ženy;28989697786.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Počet cest;Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Počet cest;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Počet cest;Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Počet přenocování;Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Počet přenocování;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Počet přenocování;Ženy;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Náklady (Kč);Celkem;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Náklady (Kč);Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Loď;Náklady (Kč);Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Celkem;14594812.006
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Muži;7049754.3896
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet cest;Ženy;7545057.6165
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Celkem;29790493.766
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Muži;14401646.184
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Počet přenocování;Ženy;15388847.582
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Celkem;33494584590.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Muži;16493242908.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Celkem;Náklady (Kč);Ženy;17001341683.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet cest;Celkem;12704580.114
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet cest;Muži;6265322.9286
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet cest;Ženy;6439257.1853
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet přenocování;Celkem;25882125.562
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet přenocování;Muži;12757905.769
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Počet přenocování;Ženy;13124219.793
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Náklady (Kč);Celkem;26862452610.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Náklady (Kč);Muži;14013675709.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Osobní motorové vozidlo;Náklady (Kč);Ženy;12848776900.0
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Počet cest;Celkem;627124.70039
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Počet cest;Muži;211398.79626
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Počet cest;Ženy;415725.90412
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Počet přenocování;Celkem;1281642.4819
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Počet přenocování;Muži;465957.14662
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Počet přenocování;Ženy;815685.33531
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Náklady (Kč);Celkem;1487272189.3
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Náklady (Kč);Muži;557012396.1
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Autobus;Náklady (Kč);Ženy;930259793.2
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet cest;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet cest;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet cest;Ženy;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet přenocování;Celkem;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet přenocování;Muži;
Česko;2023;Kratší cesty za účelem trávení volného času a rekreace;Jízdní kolo;Počet přenocování;Ženy;
