Území;Roky;Druh cesty ;Kategorie ubytovacího zařízení;Ukazatel;Pohlaví;value
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet cest;Celkem;5569938.3778
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet cest;Muži;2690553.7179
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet cest;Ženy;2879384.6599
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet přenocování;Celkem;38733717.437
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet přenocování;Muži;18396960.491
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Počet přenocování;Ženy;20336756.946
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Náklady (Kč);Celkem;89467242371.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Náklady (Kč);Muži;44545584729.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Hotely a penziony;Náklady (Kč);Ženy;44921657642.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Počet cest;Celkem;628743.35087
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Počet cest;Muži;362593.27079
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Počet cest;Ženy;266150.08009
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Počet přenocování;Celkem;4216617.9324
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Počet přenocování;Muži;2404819.5373
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Počet přenocování;Ženy;1811798.3951
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Náklady (Kč);Celkem;4727936569.1
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Náklady (Kč);Muži;2601485195.7
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Kemp;Náklady (Kč);Ženy;2126451373.4
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet cest;Celkem;1329430.6343
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet cest;Muži;664637.74609
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet cest;Ženy;664792.88825
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet přenocování;Celkem;9474286.0515
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet přenocování;Muži;5002807.7202
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Počet přenocování;Ženy;4471478.3313
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Náklady (Kč);Celkem;14006841213.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Náklady (Kč);Muži;7362972601.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Individuální ubytovací zařízení placené;Náklady (Kč);Ženy;6643868612.0
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Celkem;358094.02191
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet cest;Ženy;176779.67949
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Celkem;3336354.144
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Počet přenocování;Ženy;1764774.7155
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Celkem;3726098415.5
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Muži;
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Chatová osada, turistická ubytovna a jiné hromadné ubytovací zařízení;Náklady (Kč);Ženy;1797294773.5
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet cest;Celkem;1934645.2715
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet cest;Muži;923999.62947
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet cest;Ženy;1010645.642
Česko;2023;Delší cesty za účelem trávení volného času a rekreace;Vlastní rekreační zařízení;Počet přenocování;Celkem;19176110.772
