Území,Čtvrtletí,Druh cesty ,Pohlaví,Ukazatel,Cíl cesty,value
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet cest (v tis.),Domácí,1646.7522084
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet cest (v tis.),Zahraniční,1175.6830581
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Domácí,9889.3691437
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Zahraniční,8569.5712642
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Domácí,6977.8047199
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Zahraniční,22606.750694
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Muži,Počet cest (v tis.),Domácí,758.79503865
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Muži,Počet cest (v tis.),Zahraniční,577.06320431
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Muži,Počet přenocování (v tis.),Domácí,4693.1034925
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Muži,Počet přenocování (v tis.),Zahraniční,4300.9662957
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Muži,Náklady (mil. Kč),Domácí,3445.8227012
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Muži,Náklady (mil. Kč),Zahraniční,11331.545681
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Ženy,Počet cest (v tis.),Domácí,887.95716973
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Ženy,Počet cest (v tis.),Zahraniční,598.61985379
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Ženy,Počet přenocování (v tis.),Domácí,5196.2656512
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Ženy,Počet přenocování (v tis.),Zahraniční,4268.6049685
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Ženy,Náklady (mil. Kč),Domácí,3531.9820187
Česko,2. čtvrtletí 2025,Delší cesty za účelem trávení volného času a rekreace,Ženy,Náklady (mil. Kč),Zahraniční,11275.205013
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Počet cest (v tis.),Domácí,3736.552988
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Počet cest (v tis.),Zahraniční,376.02805192
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Domácí,7627.909646
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Počet přenocování (v tis.),Zahraniční,901.76376525
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Domácí,7586.4414701
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Celkem,Náklady (mil. Kč),Zahraniční,2474.066522
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet cest (v tis.),Domácí,1823.7841148
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet cest (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet přenocování (v tis.),Domácí,3728.1637985
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Muži,Počet přenocování (v tis.),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Muži,Náklady (mil. Kč),Domácí,3902.0374047
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Muži,Náklady (mil. Kč),Zahraniční,
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet cest (v tis.),Domácí,1912.7688732
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet cest (v tis.),Zahraniční,205.51465254
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet přenocování (v tis.),Domácí,3899.7458476
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Počet přenocování (v tis.),Zahraniční,509.75686835
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Náklady (mil. Kč),Domácí,3684.4040654
Česko,2. čtvrtletí 2025,Kratší cesty za účelem trávení volného času a rekreace,Ženy,Náklady (mil. Kč),Zahraniční,1312.8739346
