Roky,"ČR, Reg. soudržnosti, Kraje",Ukazatel,Rezidence,value
2023,Česko,Počet hostů,Celkem,21977671
2023,Česko,Počet hostů,Rezidenti,12418741
2023,Česko,Počet hostů,Nerezidenti,9558930
2023,Česko,Počet přenocování,Celkem,55842471
2023,Česko,Počet přenocování,Rezidenti,32480862
2023,Česko,Počet přenocování,Nerezidenti,23361609
2023,Praha,Počet hostů,Celkem,7442614
2023,Praha,Počet hostů,Rezidenti,1577633
2023,Praha,Počet hostů,Nerezidenti,5864981
2023,Praha,Počet přenocování,Celkem,16861664
2023,Praha,Počet přenocování,Rezidenti,2691291
2023,Praha,Počet přenocování,Nerezidenti,14170373
2023,Střední Čechy,Počet hostů,Celkem,1320108
2023,Střední Čechy,Počet hostů,Rezidenti,1048557
2023,Střední Čechy,Počet hostů,Nerezidenti,271551
2023,Střední Čechy,Počet přenocování,Celkem,3040227
2023,Střední Čechy,Počet přenocování,Rezidenti,2454230
2023,Střední Čechy,Počet přenocování,Nerezidenti,585997
2023,Jihozápad,Počet hostů,Celkem,2545245
2023,Jihozápad,Počet hostů,Rezidenti,1821423
2023,Jihozápad,Počet hostů,Nerezidenti,723822
2023,Jihozápad,Počet přenocování,Celkem,6699397
2023,Jihozápad,Počet přenocování,Rezidenti,5191960
2023,Jihozápad,Počet přenocování,Nerezidenti,1507437
2023,Severozápad,Počet hostů,Celkem,1973354
2023,Severozápad,Počet hostů,Rezidenti,1058325
2023,Severozápad,Počet hostů,Nerezidenti,915029
2023,Severozápad,Počet přenocování,Celkem,6704640
2023,Severozápad,Počet přenocování,Rezidenti,3506678
2023,Severozápad,Počet přenocování,Nerezidenti,3197962
2023,Severovýchod,Počet hostů,Celkem,3215351
2023,Severovýchod,Počet hostů,Rezidenti,2654078
2023,Severovýchod,Počet hostů,Nerezidenti,561273
2023,Severovýchod,Počet přenocování,Celkem,9377251
2023,Severovýchod,Počet přenocování,Rezidenti,7802639
2023,Severovýchod,Počet přenocování,Nerezidenti,1574612
2023,Jihovýchod,Počet hostů,Celkem,2836093
2023,Jihovýchod,Počet hostů,Rezidenti,2064528
2023,Jihovýchod,Počet hostů,Nerezidenti,771565
2023,Jihovýchod,Počet přenocování,Celkem,5804709
2023,Jihovýchod,Počet přenocování,Rezidenti,4478262
2023,Jihovýchod,Počet přenocování,Nerezidenti,1326447
2023,Střední Morava,Počet hostů,Celkem,1606487
2023,Střední Morava,Počet hostů,Rezidenti,1360396
2023,Střední Morava,Počet hostů,Nerezidenti,246091
2023,Střední Morava,Počet přenocování,Celkem,4616359
2023,Střední Morava,Počet přenocování,Rezidenti,4062807
2023,Střední Morava,Počet přenocování,Nerezidenti,553552
2023,Moravskoslezsko,Počet hostů,Celkem,1038419
2023,Moravskoslezsko,Počet hostů,Rezidenti,833801
2023,Moravskoslezsko,Počet hostů,Nerezidenti,204618
2023,Moravskoslezsko,Počet přenocování,Celkem,2738224
2023,Moravskoslezsko,Počet přenocování,Rezidenti,2292995
2023,Moravskoslezsko,Počet přenocování,Nerezidenti,445229
