Území;Ukazatel;Druh paliva;Roky;value
Česko;Vytěžené množství (milion m3);Zemní plyn naftový;2023;83.746
Česko;Vytěžené množství (milion m3);Zemní plyn naftový;2022;146.0
Česko;Vytěžené množství (milion m3);Zemní plyn naftový;2021;126.0
Česko;Vytěžené množství (milion m3);Zemní plyn naftový;2020;122.0
Česko;Vytěžené množství (milion m3);Zemní plyn naftový;2019;131.0
Česko;Vytěžené množství (milion m3);Zemní plyn naftový;2018;137.0
Česko;Vytěžené množství (milion m3);Zemní plyn karbonský;2023;75.515
Česko;Vytěžené množství (milion m3);Zemní plyn karbonský;2022;76.0
Česko;Vytěžené množství (milion m3);Zemní plyn karbonský;2021;76.0
Česko;Vytěžené množství (milion m3);Zemní plyn karbonský;2020;74.0
Česko;Vytěžené množství (milion m3);Zemní plyn karbonský;2019;78.0
Česko;Vytěžené množství (milion m3);Zemní plyn karbonský;2018;81.0
Česko;Vytěžené množství (TJ);Zemní plyn naftový;2023;3287.411
Česko;Vytěžené množství (TJ);Zemní plyn naftový;2022;5714.0
Česko;Vytěžené množství (TJ);Zemní plyn naftový;2021;4901.0
Česko;Vytěžené množství (TJ);Zemní plyn naftový;2020;4800.0
Česko;Vytěžené množství (TJ);Zemní plyn naftový;2019;5077.0
Česko;Vytěžené množství (TJ);Zemní plyn naftový;2018;5315.0
Česko;Vytěžené množství (TJ);Zemní plyn karbonský;2023;2847.228
Česko;Vytěžené množství (TJ);Zemní plyn karbonský;2022;2854.0
Česko;Vytěžené množství (TJ);Zemní plyn karbonský;2021;2863.0
Česko;Vytěžené množství (TJ);Zemní plyn karbonský;2020;2765.0
Česko;Vytěžené množství (TJ);Zemní plyn karbonský;2019;2950.0
Česko;Vytěžené množství (TJ);Zemní plyn karbonský;2018;3040.0
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn naftový;2023;39.255
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn naftový;2022;39.084
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn naftový;2021;38.982
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn naftový;2020;39.111
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn naftový;2019;38.754
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn naftový;2018;38.799
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn karbonský;2023;37.704
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn karbonský;2022;37.704
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn karbonský;2021;37.704
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn karbonský;2020;37.704
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn karbonský;2019;37.816
Česko;Výhřevnost paliva (MJ na m3);Zemní plyn karbonský;2018;37.529
