Území;Ukazatel;Výrobek;Roky;value
Česko;Energetická náročnost na výrobu vybraných výrobků;Teplo z tepláren (GJ/GJ);2022;1.197
Česko;Energetická náročnost na výrobu vybraných výrobků;Teplo z tepláren (GJ/GJ);2021;1.194
Česko;Energetická náročnost na výrobu vybraných výrobků;Teplo z tepláren (GJ/GJ);2020;1.195
Česko;Energetická náročnost na výrobu vybraných výrobků;Teplo z tepláren (GJ/GJ);2019;1.21
Česko;Energetická náročnost na výrobu vybraných výrobků;Teplo z tepláren (GJ/GJ);2018;1.203
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektřina vyrobená parou z paliv (GJ/MWh);2022;9.419
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektřina vyrobená parou z paliv (GJ/MWh);2021;9.247
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektřina vyrobená parou z paliv (GJ/MWh);2020;9.527
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektřina vyrobená parou z paliv (GJ/MWh);2019;9.418
Česko;Energetická náročnost na výrobu vybraných výrobků;Elektřina vyrobená parou z paliv (GJ/MWh);2018;9.666
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny - vsázka (GJ/t);2022;15.6100825268
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny - vsázka (GJ/t);2021;15.9240773418
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny - vsázka (GJ/t);2020;15.2727084297
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny - vsázka (GJ/t);2019;14.8416326309
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny - vsázka (GJ/t);2018;15.4256501552
Česko;Energetická náročnost na výrobu vybraných výrobků;Válcovaný ocelový materiál celkem (bez trubek) (GJ/t);2022;2.3370321746
Česko;Energetická náročnost na výrobu vybraných výrobků;Válcovaný ocelový materiál celkem (bez trubek) (GJ/t);2021;2.3828743986
Česko;Energetická náročnost na výrobu vybraných výrobků;Válcovaný ocelový materiál celkem (bez trubek) (GJ/t);2020;2.4106449629
Česko;Energetická náročnost na výrobu vybraných výrobků;Válcovaný ocelový materiál celkem (bez trubek) (GJ/t);2019;2.6314780539
Česko;Energetická náročnost na výrobu vybraných výrobků;Válcovaný ocelový materiál celkem (bez trubek) (GJ/t);2018;2.430350917
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky bezešvé (GJ/t);2022;5.8253955296
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky bezešvé (GJ/t);2021;4.9813863295
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky bezešvé (GJ/t);2020;4.9070531589
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky bezešvé (GJ/t);2019;7.1688127661
Česko;Energetická náročnost na výrobu vybraných výrobků;Ocelové trubky bezešvé (GJ/t);2018;6.7477162165
Česko;Energetická náročnost na výrobu vybraných výrobků;Slínky cementové - suchý způsob;2022;2.0656368868
Česko;Energetická náročnost na výrobu vybraných výrobků;Slínky cementové - suchý způsob;2021;3.8107299809
Česko;Energetická náročnost na výrobu vybraných výrobků;Slínky cementové - suchý způsob;2020;3.8689748185
Česko;Energetická náročnost na výrobu vybraných výrobků;Slínky cementové - suchý způsob;2019;3.8000326324
Česko;Energetická náročnost na výrobu vybraných výrobků;Slínky cementové - suchý způsob;2018;3.9091374798
Česko;Energetická náročnost na výrobu vybraných výrobků;Vápna (GJ/t);2022;3.4666257523
Česko;Energetická náročnost na výrobu vybraných výrobků;Vápna (GJ/t);2021;4.2724336549
Česko;Energetická náročnost na výrobu vybraných výrobků;Vápna (GJ/t);2020;4.107770638
Česko;Energetická náročnost na výrobu vybraných výrobků;Vápna (GJ/t);2019;
Česko;Energetická náročnost na výrobu vybraných výrobků;Vápna (GJ/t);2018;4.2747974797
Česko;Energetická náročnost na výrobu vybraných výrobků;Papíry a kartony (GJ/t);2022;8.1311880186
Česko;Energetická náročnost na výrobu vybraných výrobků;Papíry a kartony (GJ/t);2021;8.8754765164
Česko;Energetická náročnost na výrobu vybraných výrobků;Papíry a kartony (GJ/t);2020;8.8556060551
Česko;Energetická náročnost na výrobu vybraných výrobků;Papíry a kartony (GJ/t);2019;8.6656652224
Česko;Energetická náročnost na výrobu vybraných výrobků;Papíry a kartony (GJ/t);2018;10.2516311511
Česko;Energetická náročnost na výrobu vybraných výrobků;Cukr rafinovaný (GJ/t);2022;
Česko;Energetická náročnost na výrobu vybraných výrobků;Cukr rafinovaný (GJ/t);2021;
Česko;Energetická náročnost na výrobu vybraných výrobků;Cukr rafinovaný (GJ/t);2020;
Česko;Energetická náročnost na výrobu vybraných výrobků;Cukr rafinovaný (GJ/t);2019;
Česko;Energetická náročnost na výrobu vybraných výrobků;Cukr rafinovaný (GJ/t);2018;
Česko;Energetická náročnost na výrobu vybraných výrobků;Cementy (GJ/t);2022;0.1732487823
Česko;Energetická náročnost na výrobu vybraných výrobků;Cementy (GJ/t);2021;0.1749413816
Česko;Energetická náročnost na výrobu vybraných výrobků;Cementy (GJ/t);2020;0.1660806561
Česko;Energetická náročnost na výrobu vybraných výrobků;Cementy (GJ/t);2019;0.1637409525
Česko;Energetická náročnost na výrobu vybraných výrobků;Cementy (GJ/t);2018;0.1420235493
Česko;Energetická náročnost na výrobu vybraných výrobků;Pivo (GJ/tis. l);2022;
Česko;Energetická náročnost na výrobu vybraných výrobků;Pivo (GJ/tis. l);2021;
Česko;Energetická náročnost na výrobu vybraných výrobků;Pivo (GJ/tis. l);2020;
Česko;Energetická náročnost na výrobu vybraných výrobků;Pivo (GJ/tis. l);2019;
Česko;Energetická náročnost na výrobu vybraných výrobků;Pivo (GJ/tis. l);2018;
Česko;Energetická náročnost na výrobu vybraných výrobků;Těžba zemního plynu (GJ/tis. m3);2022;0.2823645642
Česko;Energetická náročnost na výrobu vybraných výrobků;Těžba zemního plynu (GJ/tis. m3);2021;0.2938151952
Česko;Energetická náročnost na výrobu vybraných výrobků;Těžba zemního plynu (GJ/tis. m3);2020;0.2866452378
Česko;Energetická náročnost na výrobu vybraných výrobků;Těžba zemního plynu (GJ/tis. m3);2019;0.319766496
Česko;Energetická náročnost na výrobu vybraných výrobků;Těžba zemního plynu (GJ/tis. m3);2018;0.3302941918
Česko;Energetická náročnost na výrobu vybraných výrobků;Hnědé uhlí, těžba v lomech vč.skrývky (GJ/tis. m3);2022;19.487
Česko;Energetická náročnost na výrobu vybraných výrobků;Hnědé uhlí, těžba v lomech vč.skrývky (GJ/tis. m3);2021;20.4777896241
Česko;Energetická náročnost na výrobu vybraných výrobků;Hnědé uhlí, těžba v lomech vč.skrývky (GJ/tis. m3);2020;18.7330651294
Česko;Energetická náročnost na výrobu vybraných výrobků;Hnědé uhlí, těžba v lomech vč.skrývky (GJ/tis. m3);2019;17.1218682289
Česko;Energetická náročnost na výrobu vybraných výrobků;Hnědé uhlí, těžba v lomech vč.skrývky (GJ/tis. m3);2018;18.0445156631
Česko;Energetická náročnost na výrobu vybraných výrobků;Úprava hnědého uhlí (GJ/t);2022;0.0575263036
Česko;Energetická náročnost na výrobu vybraných výrobků;Úprava hnědého uhlí (GJ/t);2021;0.0531199454
Česko;Energetická náročnost na výrobu vybraných výrobků;Úprava hnědého uhlí (GJ/t);2020;0.0940688796
Česko;Energetická náročnost na výrobu vybraných výrobků;Úprava hnědého uhlí (GJ/t);2019;0.1056583701
Česko;Energetická náročnost na výrobu vybraných výrobků;Úprava hnědého uhlí (GJ/t);2018;0.1100916138
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny (provozní spotřeba) (GJ/t);2022;2.269
Česko;Energetická náročnost na výrobu vybraných výrobků;Železo surové a vysokopecní feroslitiny (provozní spotřeba) (GJ/t);2021;2.268559077
