Území,Právní forma,Ukazatel,Výdaje územních rozpočtů,Roky,value
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2023,783596758.880125
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2022,723427169.611552
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2021,647443191.362111
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2020,622186558.80647
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2019,571391639.431019
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2018,531701076.727249
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2017,448137582.230089
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2016,397092709.872369
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2015,427361559.64776
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2014,414454545.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2013,382089194.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2012,381300448.62
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2011,412891980.52
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2010,430235482.61
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2009,427854588.24
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2008,389942484.54
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje celkem,2007,369963092.32
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2023,613144451.466673
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2022,564772480.960189
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2021,513102259.755328
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2020,483134009.267899
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2019,444605662.31708
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2018,405386361.266298
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2017,362087561.147629
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2016,330097230.26066
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2015,314858788.816601
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2014,305650872.85
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2013,297675191.96
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2012,290571544.84
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2011,314293171.38
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2010,318617912.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2009,310736598.53
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2008,292961831.14
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Běžné výdaje,2007,277811659.21
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2023,54950888.09357
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2022,50534981.88398
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2021,47890109.2323
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2020,46620255.84351
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2019,44136928.85098
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2018,41544246.39232
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2017,36511092.50175
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2016,34139029.97746
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2015,32569980.3187
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2014,31578943.63
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2013,29983081.66
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2012,28762996.9
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2011,29034634.2
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2010,29827295.92
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2009,28430046.06
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2008,26920539.72
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Platy a ostatní platby za provedenou práci,2007,25239715.7
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2023,17307838.33203
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2022,15754790.0176
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2021,15039595.91155
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2020,14660909.59326
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2019,13921429.55144
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2018,13000145.16147
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2017,11647476.8994
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2016,10909230.64135
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2015,10442429.7135
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2014,9927776.02
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2013,9488015.48
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2012,9159270.88
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2011,9304585.18
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2010,9433641.76
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2009,8962084.43
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2008,8961315.83
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Povinné pojistné placené zaměstnavatelem,2007,8327847.0
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2023,8098241.02094
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2022,7692566.05223
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2021,7451299.95383
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2020,7856038.39421
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2019,7160589.1824
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2018,6822163.58861
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2017,5726495.26589
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2016,5291922.58346
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2015,5526403.7017
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2014,5158812.16
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2013,4918833.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2012,4353807.9
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2011,4388655.97
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2010,4794801.95
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2009,5154299.12
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2008,4717331.83
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Nákupy materiálu,2007,4468731.23
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2023,3644913.74659
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2022,2895422.8235
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2021,1286819.97265
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2020,1433347.34424
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2019,1785164.96418
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2018,1451529.19531
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2017,1201569.04102
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2016,1441837.14345
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2015,1646303.76362
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2014,1945506.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2013,2137394.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2012,2495794.59
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2011,2411571.91
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2010,2457197.69
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2009,3158361.57
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2008,3391686.74
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Úroky vlastní,2007,2847161.55
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2023,99910883.19546
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2022,112913170.4475
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2021,79279072.07072
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2020,76855905.52014
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2019,76170766.01485
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2018,73570038.78291
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2017,68085662.12141
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2016,62426795.27795
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2015,59097865.31953
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2014,60933507.22
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2013,60390580.13
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2012,57604383.33
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2011,59294469.77
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2010,62291292.92
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2009,59297755.44
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2008,55777509.57
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,"Nákup vody, paliv a energie, nákup služeb a ostatní nákupy",2007,50237803.36
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2023,
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2022,393.27044
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2021,47609570.85111
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2020,44411464.79854
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2019,39746958.0846
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2018,37514664.26472
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2017,35280855.57989
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2016,18125998.06172
Česko,"Souhrn rozpočtů krajů, obcí a svazků obcí",Výdaje celkem,Výdaje na dopravní územní obslužnost,2015,17656303.29682
