Ukazatel,Právní forma,Území,Roky,value
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2024,52142435.49164
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2023,72098343.72768
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2022,32761884.05278
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2021,41323671.97196
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2020,13873696.93386
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2019,31736496.73944
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2018,8736590.64624
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2017,31147953.90022
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2016,53247730.84127
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2015,21084536.63855
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2014,11151633.25
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2013,17842221.6
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2012,1932508.35
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2011,-2393063.16
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2010,-1500998.28
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2009,-26123202.64
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2008,14666419.63
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Česko,2007,9426133.56
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2024,22959738.41757
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2023,29269053.14301
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2022,15513007.60792
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2021,15987052.12389
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2020,8906469.50071
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2019,14666758.30284
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2018,6660789.9102
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2017,7452991.65848
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2016,12282595.34202
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2015,12441341.36665
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2014,1926716.03
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2013,4480903.55
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2012,1723380.85
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2011,-1970372.75
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2010,-2032533.6
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2009,-4005208.16
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2008,7155030.03
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Hlavní město Praha,2007,2039051.65
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2024,2494211.22698
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2023,5845504.83576
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2022,3139783.01597
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2021,2976219.87397
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2020,579841.63434
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2019,2124004.99017
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2018,213974.62984
Saldo příjmů a výdajů ,"Souhrn rozpočtů krajů, obcí a svazků obcí",Středočeský kraj,2017,3024057.06062
