Území;Instituce;Ukazatel;Roky;value
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku vč. daně z příjmu od 1. 1. do 31. 12.;2018;47763.71
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku vč. daně z příjmu od 1. 1. do 31. 12.;2019;48823.517
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku vč. daně z příjmu od 1. 1. do 31. 12.;2020;4648.26
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku vč. daně z příjmu od 1. 1. do 31. 12.;2021;16785.214
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku vč. daně z příjmu od 1. 1. do 31. 12.;2022;59341.671
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku nerezidentům;2018;42625.722
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku nerezidentům;2019;42607.92
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku nerezidentům;2020;1007.324
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku nerezidentům;2021;13100.692
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku nerezidentům;2022;48028.448
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku fyzickým osobám (rezidentům);2018;247.048
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku fyzickým osobám (rezidentům);2019;288.341
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku fyzickým osobám (rezidentům);2020;0.0
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku fyzickým osobám (rezidentům);2021;291.986
Česko;Bankovní peněžní instituce;Vyplacené dividendy a podíly na zisku fyzickým osobám (rezidentům);2022;1727.619
Česko;Bankovní peněžní instituce;Přijaté dividendy a podíly na zisku - brutto;2018;16140.581
Česko;Bankovní peněžní instituce;Přijaté dividendy a podíly na zisku - brutto;2019;21514.94
Česko;Bankovní peněžní instituce;Přijaté dividendy a podíly na zisku - brutto;2020;15142.688
Česko;Bankovní peněžní instituce;Přijaté dividendy a podíly na zisku - brutto;2021;17821.49
Česko;Bankovní peněžní instituce;Přijaté dividendy a podíly na zisku - brutto;2022;20039.351
Česko;Bankovní peněžní instituce;Počet bankomatů a terminálů, k poslednímu dni sledovaného roku, ks;2018;5157.0
Česko;Bankovní peněžní instituce;Počet bankomatů a terminálů, k poslednímu dni sledovaného roku, ks;2019;5236.0
Česko;Bankovní peněžní instituce;Počet bankomatů a terminálů, k poslednímu dni sledovaného roku, ks;2020;5244.0
Česko;Bankovní peněžní instituce;Počet bankomatů a terminálů, k poslednímu dni sledovaného roku, ks;2021;5753.0
Česko;Bankovní peněžní instituce;Počet bankomatů a terminálů, k poslednímu dni sledovaného roku, ks;2022;4122.0
