Území,Instituce,Ukazatel,Roky,value
Česko,Bankovní peněžní instituce,Pasiva celkem,2018,10425607.438
Česko,Bankovní peněžní instituce,Pasiva celkem,2019,10893135.91
Česko,Bankovní peněžní instituce,Pasiva celkem,2020,11442916.394860592
Česko,Bankovní peněžní instituce,Pasiva celkem,2021,12260296.035
Česko,Bankovní peněžní instituce,Pasiva celkem,2022,11985875.61
Česko,Bankovní peněžní instituce,Pasiva celkem,2023,13145931.866
Česko,Bankovní peněžní instituce,Vlastní kapital,2018,756477.256
Česko,Bankovní peněžní instituce,Vlastní kapital,2019,497423.475
Česko,Bankovní peněžní instituce,Vlastní kapital,2020,637749.3125031336
Česko,Bankovní peněžní instituce,Vlastní kapital,2021,630467.975
Česko,Bankovní peněžní instituce,Vlastní kapital,2022,223261.667
Česko,Bankovní peněžní instituce,Vlastní kapital,2023,344374.382
Česko,Bankovní peněžní instituce,Základní kapital,2018,103233.808
Česko,Bankovní peněžní instituce,Základní kapital,2019,114941.629
Česko,Bankovní peněžní instituce,Základní kapital,2020,115075.1785031335
Česko,Bankovní peněžní instituce,Základní kapital,2021,118669.33
Česko,Bankovní peněžní instituce,Základní kapital,2022,114693.321
Česko,Bankovní peněžní instituce,Základní kapital,2023,120143.535
Česko,Bankovní peněžní instituce,Cizí zdroje,2018,9662068.934
Česko,Bankovní peněžní instituce,Cizí zdroje,2019,10388386.976
Česko,Bankovní peněžní instituce,Cizí zdroje,2020,10798518.993071832
Česko,Bankovní peněžní instituce,Cizí zdroje,2021,11622407.495
Česko,Bankovní peněžní instituce,Cizí zdroje,2022,11754511.06
Česko,Bankovní peněžní instituce,Cizí zdroje,2023,12781371.756
