Území,Instituce,Ukazatel,Roky,value
Česko,Bankovní peněžní instituce,Výnosy celkem,2018,1389889.933
Česko,Bankovní peněžní instituce,Výnosy celkem,2019,1621636.12
Česko,Bankovní peněžní instituce,Výnosy celkem,2020,2999002.7766148266
Česko,Bankovní peněžní instituce,Výnosy celkem,2021,2808766.941
Česko,Bankovní peněžní instituce,Výnosy celkem,2022,5159342.901
Česko,Bankovní peněžní instituce,Výnosy celkem,2023,4854528.472
Česko,Bankovní peněžní instituce,Výnosy z finančních činností,2018,1339819.13
Česko,Bankovní peněžní instituce,Výnosy z finančních činností,2019,1548165.668
Česko,Bankovní peněžní instituce,Výnosy z finančních činností,2020,2934548.104185059
Česko,Bankovní peněžní instituce,Výnosy z finančních činností,2021,2726698.422
Česko,Bankovní peněžní instituce,Výnosy z finančních činností,2022,5075875.936
Česko,Bankovní peněžní instituce,Výnosy z finančních činností,2023,4764095.546
Česko,Bankovní peněžní instituce,Ostatní provozní výnosy,2018,10684.773
Česko,Bankovní peněžní instituce,Ostatní provozní výnosy,2019,16005.095
Česko,Bankovní peněžní instituce,Ostatní provozní výnosy,2020,12593.6349718189
Česko,Bankovní peněžní instituce,Ostatní provozní výnosy,2021,10273.535
Česko,Bankovní peněžní instituce,Ostatní provozní výnosy,2022,14599.881
Česko,Bankovní peněžní instituce,Ostatní provozní výnosy,2023,10282.515
Česko,Bankovní peněžní instituce,Výnosy z prodeje vlastních výrobků a služeb,2018,2893.792
Česko,Bankovní peněžní instituce,Výnosy z prodeje vlastních výrobků a služeb,2019,9065.389
Česko,Bankovní peněžní instituce,Výnosy z prodeje vlastních výrobků a služeb,2020,4860.993
Česko,Bankovní peněžní instituce,Výnosy z prodeje vlastních výrobků a služeb,2021,3019.985
Česko,Bankovní peněžní instituce,Výnosy z prodeje vlastních výrobků a služeb,2022,5798.281
Česko,Bankovní peněžní instituce,Výnosy z prodeje vlastních výrobků a služeb,2023,1999.38
Česko,Bankovní peněžní instituce,Jiné provozní výnosy,2018,7561.891
Česko,Bankovní peněžní instituce,Jiné provozní výnosy,2019,6643.116
Česko,Bankovní peněžní instituce,Jiné provozní výnosy,2020,7371.713
Česko,Bankovní peněžní instituce,Jiné provozní výnosy,2021,7026.796
Česko,Bankovní peněžní instituce,Jiné provozní výnosy,2022,8616.783
Česko,Bankovní peněžní instituce,Jiné provozní výnosy,2023,8124.46
