Území,Instituce,Ukazatel,Roky,value
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2014,18164.7988205693
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2015,21232.8586663059
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2016,21447.4251280317
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2017,18300.08727346
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2018,27787.2672022384
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2019,27255.6239644846
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2020,62358.191220528
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2021,80537.5903905187
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2022,175251.5375860235
Česko,Investiční společnosti a fondy,Náklady na finanční činnosti,2023,133265.6150972588
Česko,Investiční společnosti a fondy,Osobní náklady,2014,422.0083294878
Česko,Investiční společnosti a fondy,Osobní náklady,2015,503.9930650458
Česko,Investiční společnosti a fondy,Osobní náklady,2016,676.3784274927
Česko,Investiční společnosti a fondy,Osobní náklady,2017,778.5483226352
Česko,Investiční společnosti a fondy,Osobní náklady,2018,865.0557325219
Česko,Investiční společnosti a fondy,Osobní náklady,2019,991.8598022975
Česko,Investiční společnosti a fondy,Osobní náklady,2020,1133.5229956878
Česko,Investiční společnosti a fondy,Osobní náklady,2021,1166.2552285282
Česko,Investiční společnosti a fondy,Osobní náklady,2022,1521.7994652434
Česko,Investiční společnosti a fondy,Osobní náklady,2023,1789.3392085473
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2014,1616.2681452909
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2015,2782.3646178057
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2016,1726.6615117796
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2017,2084.0148510554
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2018,2590.7512090759
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2019,2600.9235265
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2020,3499.1883833944
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2021,5045.2411371787
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2022,6446.7895104944
Česko,Investiční společnosti a fondy,Ostatní správní náklady,2023,7364.6918226187
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2014,255.3341384612
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2015,302.138513232
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2016,877.2111602255
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2017,631.142841547
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2018,1167.8810472729
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2019,740.4544484798
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2020,49.9025670224
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2021,178.3672598125
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2022,1149.4708914531
Česko,Investiční společnosti a fondy,Tvorba rezerv a opravných položeK,2023,699.970862344
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2014,1053.2099856112
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2015,669.1738691921
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2016,859.6458301129
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2017,756.4006271567
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2018,814.1009995899
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2019,803.8952068977
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2020,761.9197169015
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2021,798.3742630846
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2022,800.6247615057
Česko,Investiční společnosti a fondy,Odpisy dlouhodobého hmotného a nehmotného majetku,2023,764.3714017232
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2014,1348.1240712848
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2015,1962.8879130477
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2016,3365.1674991236
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2017,4090.7151038961
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2018,3428.7276779176
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2019,6588.7955675913
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2020,2768.4854103027
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2021,2030.9319495421
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2022,3171.7875642396
Česko,Investiční společnosti a fondy,Ostatní provozní náklady,2023,5475.3761711997
