Území,Instituce,Ukazatel,Roky,value
Česko,Investiční společnosti a fondy,Pasiva celkem,2014,287362.201614814
Česko,Investiční společnosti a fondy,Pasiva celkem,2015,236618.101312927
Česko,Investiční společnosti a fondy,Pasiva celkem,2016,295344.472711878
Česko,Investiční společnosti a fondy,Pasiva celkem,2017,338738.757246836
Česko,Investiční společnosti a fondy,Pasiva celkem,2018,375635.325312899
Česko,Investiční společnosti a fondy,Pasiva celkem,2019,566844.481694275
Česko,Investiční společnosti a fondy,Pasiva celkem,2020,631307.052315597
Česko,Investiční společnosti a fondy,Pasiva celkem,2021,770159.8958170247
Česko,Investiční společnosti a fondy,Pasiva celkem,2022,800345.7705627267
Česko,Investiční společnosti a fondy,Pasiva celkem,2023,1027031.9738466814
Česko,Investiční společnosti a fondy,Vlastní kapital,2014,252321.009024346
Česko,Investiční společnosti a fondy,Vlastní kapital,2015,209062.13519811
Česko,Investiční společnosti a fondy,Vlastní kapital,2016,260341.355506304
Česko,Investiční společnosti a fondy,Vlastní kapital,2017,299719.29575509
Česko,Investiční společnosti a fondy,Vlastní kapital,2018,333248.69794406
Česko,Investiční společnosti a fondy,Vlastní kapital,2019,526461.022008143
Česko,Investiční společnosti a fondy,Vlastní kapital,2020,588052.591324021
Česko,Investiční společnosti a fondy,Vlastní kapital,2021,709573.559804053
Česko,Investiční společnosti a fondy,Vlastní kapital,2022,724544.4641727144
Česko,Investiční společnosti a fondy,Vlastní kapital,2023,931299.6217078948
Česko,Investiční společnosti a fondy,Základní kapital,2014,30070.9278522693
Česko,Investiční společnosti a fondy,Základní kapital,2015,23324.0877169961
Česko,Investiční společnosti a fondy,Základní kapital,2016,29732.6725418405
Česko,Investiční společnosti a fondy,Základní kapital,2017,16654.0747550872
Česko,Investiční společnosti a fondy,Základní kapital,2018,40901.2089440602
Česko,Investiční společnosti a fondy,Základní kapital,2019,19042.3510081429
Česko,Investiční společnosti a fondy,Základní kapital,2020,21932.008324021
Česko,Investiční společnosti a fondy,Základní kapital,2021,24129.750804053
Česko,Investiční společnosti a fondy,Základní kapital,2022,24639.6231727144
Česko,Investiční společnosti a fondy,Základní kapital,2023,22628.2107078948
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2014,9015.2257017677
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2015,11818.4956012951
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2016,20608.6929053705
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2017,18389.107507216
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2018,21245.3507274754
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2019,25439.097386558
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2020,22562.1034446218
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2021,26557.4416373739
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2022,39317.9113889286
Česko,Investiční společnosti a fondy,Dlouhodobé závazky,2023,47566.3384160381
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2014,15077.8012968175
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2015,8882.0433059582
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2016,12685.0619361823
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2017,19025.977108405
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2018,19522.8444300182
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2019,13570.7965966828
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2020,19362.9620920509
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2021,32236.1284831614
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2022,34530.8955818849
Česko,Investiční společnosti a fondy,Krátkodobé závazky,2023,45942.5388668434
