Území,Instituce,Ukazatel,Roky,value
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2014,27165.5713008932
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2015,29018.8443319247
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2016,32564.6238974587
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2017,26079.3952434339
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2018,30541.7117838719
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2019,58496.3892326646
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2020,84951.0484569145
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2021,119539.6701810431
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2022,181917.9012371526
Česko,Investiční společnosti a fondy,Výnosy z finančních činností,2023,203764.9053666441
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2014,3780.4508642062
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2015,3536.7513255904
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2016,5270.0744525597
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2017,3314.0962261284
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2018,5599.6610458152
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2019,5847.03
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2020,5747.409
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2021,6664.13
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2022,12255.102
Česko,Investiční společnosti a fondy,Úroky a podobné výnosy,2023,20755.239
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2014,2023.417900545
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2015,1703.2110035826
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2016,1528.5373276728
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2017,4498.5019138622
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2018,7894.0831908188
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2019,14968.883
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2020,20806.197
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2021,33606.438
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2022,66507.909
Česko,Investiční společnosti a fondy,Výnosy z operací s cennými papíry (realná hodnota),2023,65807.629
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2014,1142.5464189549
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2015,2799.7821803701
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2016,11412.0461474149
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2017,3136.1732583026
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2018,3292.1946140279
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2019,3102.231
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2020,6822.772
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2021,6167.985
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2022,12661.661
Česko,Investiční společnosti a fondy,Výnosy z devizových operací,2023,14363.199
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2014,4649.9796344274
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2015,6210.406602243
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2016,8417.283070387
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2017,10387.9617077888
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2018,11253.4712493163
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2019,14190.8283921779
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2020,8531.7291401308
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2021,8172.3835523914
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2022,14614.3198275212
Česko,Investiční společnosti a fondy,Ostatní provozní výnosy,2023,16645.0056952105
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2014,3590.1314102024
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2015,2621.9170424649
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2016,4165.5750257405
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2017,5567.0488147391
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2018,8052.5081507346
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2019,7628.705
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2020,6059.828
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2021,5706.263
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2022,7042.655
Česko,Investiční společnosti a fondy,Výnosy z prodeje vlastních výrobků a služeb,2023,6940.993
