Území,Instituce,Ukazatel,Roky,value
Česko,Finanční leasingové společnosti,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2018,495.5121803688
Česko,Finanční leasingové společnosti,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2019,279.7532462842
Česko,Finanční leasingové společnosti,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2020,332.4557451266
Česko,Finanční leasingové společnosti,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2021,342.2142719518
Česko,Finanční leasingové společnosti,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2022,333.5032279671
Česko,Finanční leasingové společnosti,"Pořízení dlouhodobého nehmotného majetku, (vč. dotací)",2023,411.1983740089
Česko,Finanční leasingové společnosti,Nákup nového DNM,2018,495.5103818743
Česko,Finanční leasingové společnosti,Nákup nového DNM,2019,279.7532462842
Česko,Finanční leasingové společnosti,Nákup nového DNM,2020,332.4474643492
Česko,Finanční leasingové společnosti,Nákup nového DNM,2021,342.2142719518
Česko,Finanční leasingové společnosti,Nákup nového DNM,2022,333.5032279671
Česko,Finanční leasingové společnosti,Nákup nového DNM,2023,411.1983740089
Česko,Finanční leasingové společnosti,Stav dlouhodobého nehmotného majetku - brutto,2018,2036.3105862777
Česko,Finanční leasingové společnosti,Stav dlouhodobého nehmotného majetku - brutto,2019,2190.0984210709
Česko,Finanční leasingové společnosti,Stav dlouhodobého nehmotného majetku - brutto,2020,2321.5901722915
Česko,Finanční leasingové společnosti,Stav dlouhodobého nehmotného majetku - brutto,2021,2386.1925081539
Česko,Finanční leasingové společnosti,Stav dlouhodobého nehmotného majetku - brutto,2022,2931.6181365218
Česko,Finanční leasingové společnosti,Stav dlouhodobého nehmotného majetku - brutto,2023,3021.9597261629
