Území;Instituce;Ukazatel;Roky;value
Česko;Finanční leasingové společnosti;Náklady včetně daně z příjmu;2018;72354.5395253123
Česko;Finanční leasingové společnosti;Náklady včetně daně z příjmu;2019;71723.4737445324
Česko;Finanční leasingové společnosti;Náklady včetně daně z příjmu;2020;76977.8610098407
Česko;Finanční leasingové společnosti;Náklady včetně daně z příjmu;2021;65727.0949075806
Česko;Finanční leasingové společnosti;Náklady včetně daně z příjmu;2022;64007.3777727905
Česko;Finanční leasingové společnosti;Náklady na prodané zboží;2018;1521.5246044451
Česko;Finanční leasingové společnosti;Náklady na prodané zboží;2019;1605.737268549
Česko;Finanční leasingové společnosti;Náklady na prodané zboží;2020;1244.7072945975
Česko;Finanční leasingové společnosti;Náklady na prodané zboží;2021;1962.0553218496
Česko;Finanční leasingové společnosti;Náklady na prodané zboží;2022;1684.1450807414
Česko;Finanční leasingové společnosti;Spotřeba materiálu a energie;2018;528.8349653576
Česko;Finanční leasingové společnosti;Spotřeba materiálu a energie;2019;539.4652750355
Česko;Finanční leasingové společnosti;Spotřeba materiálu a energie;2020;440.0321427556
Česko;Finanční leasingové společnosti;Spotřeba materiálu a energie;2021;467.872277021
Česko;Finanční leasingové společnosti;Spotřeba materiálu a energie;2022;603.1306429738
Česko;Finanční leasingové společnosti;Náklady na služby;2018;5095.6436159919
Česko;Finanční leasingové společnosti;Náklady na služby;2019;5159.9300599786
Česko;Finanční leasingové společnosti;Náklady na služby;2020;4908.5903448931
Česko;Finanční leasingové společnosti;Náklady na služby;2021;4944.1443809177
Česko;Finanční leasingové společnosti;Náklady na služby;2022;5037.9536972948
Česko;Finanční leasingové společnosti;Osobní náklady;2018;2219.3933841737
Česko;Finanční leasingové společnosti;Osobní náklady;2019;2228.2528925192
Česko;Finanční leasingové společnosti;Osobní náklady;2020;2193.3211932383
Česko;Finanční leasingové společnosti;Osobní náklady;2021;2293.6446583317
Česko;Finanční leasingové společnosti;Osobní náklady;2022;2292.3607200279
Česko;Finanční leasingové společnosti;Odpisy dlouhodobého hmotného a nehmotného majetku;2018;33096.3080944357
Česko;Finanční leasingové společnosti;Odpisy dlouhodobého hmotného a nehmotného majetku;2019;29305.6739002633
Česko;Finanční leasingové společnosti;Odpisy dlouhodobého hmotného a nehmotného majetku;2020;26475.9774282958
Česko;Finanční leasingové společnosti;Odpisy dlouhodobého hmotného a nehmotného majetku;2021;26168.7922528254
Česko;Finanční leasingové společnosti;Odpisy dlouhodobého hmotného a nehmotného majetku;2022;18545.4828973649
Česko;Finanční leasingové společnosti;Ostatní provozní náklady;2018;4608.6937450315
Česko;Finanční leasingové společnosti;Ostatní provozní náklady;2019;9377.9135322845
Česko;Finanční leasingové společnosti;Ostatní provozní náklady;2020;6030.6485407348
Česko;Finanční leasingové společnosti;Ostatní provozní náklady;2021;6129.1127489325
Česko;Finanční leasingové společnosti;Ostatní provozní náklady;2022;5918.0717039623
