Území,Instituce,Ukazatel,Roky,value
Česko,Finanční leasingové společnosti,Výnosy celkem,2018,75836.4391437533
Česko,Finanční leasingové společnosti,Výnosy celkem,2019,76496.1642811752
Česko,Finanční leasingové společnosti,Výnosy celkem,2020,79360.115
Česko,Finanční leasingové společnosti,Výnosy celkem,2021,71425.39
Česko,Finanční leasingové společnosti,Výnosy celkem,2022,69093.202226
Česko,Finanční leasingové společnosti,Výnosy celkem,2023,77196.021520362
Česko,Finanční leasingové společnosti,Tržby z prodeje zboží,2018,1484.6616173231
Česko,Finanční leasingové společnosti,Tržby z prodeje zboží,2019,1632.8460898279
Česko,Finanční leasingové společnosti,Tržby z prodeje zboží,2020,1241.7558644161
Česko,Finanční leasingové společnosti,Tržby z prodeje zboží,2021,1979.3282140653
Česko,Finanční leasingové společnosti,Tržby z prodeje zboží,2022,1703.0856972488
Česko,Finanční leasingové společnosti,Tržby z prodeje zboží,2023,2301.3523922614
Česko,Finanční leasingové společnosti,Výnosy z prodeje vlastních výrobků a služeb,2018,43372.8677210678
Česko,Finanční leasingové společnosti,Výnosy z prodeje vlastních výrobků a služeb,2019,43151.8282045012
Česko,Finanční leasingové společnosti,Výnosy z prodeje vlastních výrobků a služeb,2020,39781.7282326822
Česko,Finanční leasingové společnosti,Výnosy z prodeje vlastních výrobků a služeb,2021,35299.3113690659
Česko,Finanční leasingové společnosti,Výnosy z prodeje vlastních výrobků a služeb,2022,32782.7189258034
Česko,Finanční leasingové společnosti,Výnosy z prodeje vlastních výrobků a služeb,2023,32734.3055207845
Česko,Finanční leasingové společnosti,Tržby z finančního leasingu,2018,26794.3254761678
Česko,Finanční leasingové společnosti,Tržby z finančního leasingu,2019,29419.556
Česko,Finanční leasingové společnosti,Tržby z finančního leasingu,2020,22428.615
Česko,Finanční leasingové společnosti,Tržby z finančního leasingu,2021,19033.223347926
Česko,Finanční leasingové společnosti,Tržby z finančního leasingu,2022,17002.1776157084
Česko,Finanční leasingové společnosti,Tržby z finančního leasingu,2023,16646.5181312563
Česko,Finanční leasingové společnosti,Jiné provozní výnosy,2018,3934.8105086486
Česko,Finanční leasingové společnosti,Jiné provozní výnosy,2019,4081.8450247995
Česko,Finanční leasingové společnosti,Jiné provozní výnosy,2020,3750.1905245335
Česko,Finanční leasingové společnosti,Jiné provozní výnosy,2021,4709.268644442
Česko,Finanční leasingové společnosti,Jiné provozní výnosy,2022,4458.2321986535
Česko,Finanční leasingové společnosti,Jiné provozní výnosy,2023,4624.8240976783
Česko,Finanční leasingové společnosti,Výnosy z postoupených pohledávek,2018,404.4921133154
Česko,Finanční leasingové společnosti,Výnosy z postoupených pohledávek,2019,148.2242978774
Česko,Finanční leasingové společnosti,Výnosy z postoupených pohledávek,2020,97.3493987183
Česko,Finanční leasingové společnosti,Výnosy z postoupených pohledávek,2021,48.1175147896
Česko,Finanční leasingové společnosti,Výnosy z postoupených pohledávek,2022,240.8799809752
Česko,Finanční leasingové společnosti,Výnosy z postoupených pohledávek,2023,22.8654396082
Česko,Finanční leasingové společnosti,Výnosové úroky a podobné výnosy,2018,5437.2962830467
Česko,Finanční leasingové společnosti,Výnosové úroky a podobné výnosy,2019,6253.6679479821
Česko,Finanční leasingové společnosti,Výnosové úroky a podobné výnosy,2020,6200.1015669071
Česko,Finanční leasingové společnosti,Výnosové úroky a podobné výnosy,2021,6468.5782570798
Česko,Finanční leasingové společnosti,Výnosové úroky a podobné výnosy,2022,7705.0734395191
Česko,Finanční leasingové společnosti,Výnosové úroky a podobné výnosy,2023,10790.6398561849
Česko,Finanční leasingové společnosti,Kurzové zisky,2018,3019.2745498855
Česko,Finanční leasingové společnosti,Kurzové zisky,2019,3926.8842876835
Česko,Finanční leasingové společnosti,Kurzové zisky,2020,7594.8154625793
Česko,Finanční leasingové společnosti,Kurzové zisky,2021,4980.1934219594
Česko,Finanční leasingové společnosti,Kurzové zisky,2022,6752.4002435464
Česko,Finanční leasingové společnosti,Kurzové zisky,2023,8460.9349339697
