Území;Instituce;Ukazatel;Roky;value
Česko;Finanční leasingové společnosti;Počet aktivních jednotek;2018;93.0
Česko;Finanční leasingové společnosti;Počet aktivních jednotek;2019;94.0
Česko;Finanční leasingové společnosti;Počet aktivních jednotek;2020;83.0
Česko;Finanční leasingové společnosti;Počet aktivních jednotek;2021;83.0
Česko;Finanční leasingové společnosti;Počet aktivních jednotek;2022;79.0
Česko;Finanční leasingové společnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2018;2191.8392713641
Česko;Finanční leasingové společnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2019;1987.0000000001
Česko;Finanční leasingové společnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2020;1940.0078565279
Česko;Finanční leasingové společnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2021;1866.335147089
Česko;Finanční leasingové společnosti;Průměrný evidenční počet zaměstnanců ve fyzických osobách;2022;1814.6229144767
Česko;Finanční leasingové společnosti;Mzdy bez ostatních osobních nákladů (mil. Kč);2018;1576.8082023985
Česko;Finanční leasingové společnosti;Mzdy bez ostatních osobních nákladů (mil. Kč);2019;1576.4619300928
Česko;Finanční leasingové společnosti;Mzdy bez ostatních osobních nákladů (mil. Kč);2020;1500.0579087202
Česko;Finanční leasingové společnosti;Mzdy bez ostatních osobních nákladů (mil. Kč);2021;1487.513719206
Česko;Finanční leasingové společnosti;Mzdy bez ostatních osobních nákladů (mil. Kč);2022;1506.4600448739
Česko;Finanční leasingové společnosti;Průměrná hrubá mzda na zaměstnance (Kč);2018;59949.9631427942
Česko;Finanční leasingové společnosti;Průměrná hrubá mzda na zaměstnance (Kč);2019;66115.6655801361
Česko;Finanční leasingové společnosti;Průměrná hrubá mzda na zaměstnance (Kč);2020;64435.2162317561
Česko;Finanční leasingové společnosti;Průměrná hrubá mzda na zaměstnance (Kč);2021;66418.6584032605
Česko;Finanční leasingové společnosti;Průměrná hrubá mzda na zaměstnance (Kč);2022;69181.5010552915
