Území;Instituce;Ukazatel;Roky;value
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2014;334472.745077894
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2015;254456.340147412
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2016;319916.819871906
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2017;358605.749537151
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2018;391753.100699725
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2019;585251.446483554
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2020;664865.588312533
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2021;793823.173373342
Česko;Nebankovní peněžní instituce účtující jako banky;Finanční aktiva ;2022;833845.480433485
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2014;547.6189881999
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2015;257.2460067258
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2016;212.4918609437
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2017;276.2725287694
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2018;1217.6757995749
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2019;1403.2549855229
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2020;1045.1870982337
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2021;754.5904264434
Česko;Nebankovní peněžní instituce účtující jako banky;Pokladní hotovost;2022;392.8589961905
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2014;53151.7494289817
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2015;47857.3140702726
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2016;55513.7272223229
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2017;69508.9349996838
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2018;70036.8228693015
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2019;109346.718296865
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2020;104278.126830148
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2021;106709.013265223
Česko;Nebankovní peněžní instituce účtující jako banky;Vklady na učtech;2022;114952.472853375
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2014;54711.5385096785
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2015;39707.8497073083
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2016;46277.8646204805
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2017;41677.5589778089
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2018;53152.002885029
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2019;59714.5130999701
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2020;72717.5616547764
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2021;77075.3304371825
Česko;Nebankovní peněžní instituce účtující jako banky;Úvěry a půjčky poskytnuté;2022;102851.707580267
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2014;87768.0336600107
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2015;65238.6721472872
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2016;72599.6994115199
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2017;75891.0011841029
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2018;74800.8746169923
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2019;124291.13812898
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2020;143055.583210124
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2021;164458.315193231
Česko;Nebankovní peněžní instituce účtující jako banky;Dluhové cenné papíry;2022;145183.422933537
Česko;Nebankovní peněžní instituce účtující jako banky;Akcie, účasti a jiné podíly;2014;91213.3506049617
Česko;Nebankovní peněžní instituce účtující jako banky;Akcie, účasti a jiné podíly;2015;75981.0666750988
Česko;Nebankovní peněžní instituce účtující jako banky;Akcie, účasti a jiné podíly;2016;106921.864289156
Česko;Nebankovní peněžní instituce účtující jako banky;Akcie, účasti a jiné podíly;2017;135304.233048987
Česko;Nebankovní peněžní instituce účtující jako banky;Akcie, účasti a jiné podíly;2018;150179.329087895
