Území;Instituce;Ukazatel;Roky;value
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2014;23095.7684968851
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2015;27009.2616804028
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2016;25472.1367353714
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2017;24024.371274048
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2018;33201.2884535071
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2019;32633.0566167081
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2020;81483.2475066013
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2021;88306.9776666004
Česko;Nebankovní peněžní instituce účtující jako banky;Náklady na finanční činnosti;2022;198966.668600043
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2014;2819.3346272473
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2015;2780.0616409383
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2016;3008.8224411068
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2017;3402.45713467
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2018;3826.5431684744
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2019;3947.4150195444
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2020;4261.5701096925
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2021;4426.3922567789
Česko;Nebankovní peněžní instituce účtující jako banky;Osobní náklady;2022;5575.796881835
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2014;4158.6023083536
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2015;4681.0930753284
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2016;3599.3347422573
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2017;3984.0845212049
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2018;4522.7071840093
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2019;5176.9150037003
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2020;6062.9958660544
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2021;8050.2984518606
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní správní náklady;2022;10479.7223984802
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2014;3279.0348745543
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2015;1015.1141619095
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2016;1429.4734479682
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2017;1213.7265878786
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2018;1591.451358905
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2019;1397.1611497765
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2020;691.2478889612
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2021;745.1209039389
Česko;Nebankovní peněžní instituce účtující jako banky;Tvorba rezerv a opravných položeK;2022;1905.7427478448
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2014;1375.1817814699
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2015;938.4733264721
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2016;1210.1418354047
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2017;1268.1597204317
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2018;1438.9963299509
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2019;1477.8346191615
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2020;1559.1130713527
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2021;1505.0757530628
Česko;Nebankovní peněžní instituce účtující jako banky;Odpisy dlouhodobého hmotného a nehmotného majetku;2022;1982.0941764189
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2014;2389.7351094426
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2015;3077.7868676736
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2016;4947.205512807
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2017;6527.3734871869
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2018;6119.3732818703
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2019;7913.5102849258
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2020;4625.4733301782
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2021;3225.9800521893
Česko;Nebankovní peněžní instituce účtující jako banky;Ostatní provozní náklady;2022;4320.4776974433
