Území,Instituce,Ukazatel,Roky,value
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pořízení dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin (vč. dotací),2018,28555.2032044971
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pořízení dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin (vč. dotací),2019,25550.3608821848
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pořízení dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin (vč. dotací),2020,14505.4227539412
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pořízení dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin (vč. dotací),2021,16144.843497421
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pořízení dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin (vč. dotací),2022,16507.3419541452
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Pořízení dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin (vč. dotací),2023,20142.214395281
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Nákup nového DHM a DHM vytvořený ve vlastní režii, za sledovaný rok, mil. Kč",2018,27258.9275044081
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Nákup nového DHM a DHM vytvořený ve vlastní režii, za sledovaný rok, mil. Kč",2019,22805.2217951813
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Nákup nového DHM a DHM vytvořený ve vlastní režii, za sledovaný rok, mil. Kč",2020,13311.4540424859
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Nákup nového DHM a DHM vytvořený ve vlastní režii, za sledovaný rok, mil. Kč",2021,15374.3484131605
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Nákup nového DHM a DHM vytvořený ve vlastní režii, za sledovaný rok, mil. Kč",2022,15242.4338942286
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,"Nákup nového DHM a DHM vytvořený ve vlastní režii, za sledovaný rok, mil. Kč",2023,18379.8809128327
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin k 31. 12. - brutto,2018,243159.406530276
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin k 31. 12. - brutto,2019,222929.255697096
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin k 31. 12. - brutto,2020,221062.9597940148
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin k 31. 12. - brutto,2021,199095.4203729891
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin k 31. 12. - brutto,2022,196296.7634395578
Česko,Nebankovní peněžní instituce účtující jako podnikatelé,Stav dlouhodobého hmotného majetku vč. pozemků a ložisek nerostných surovin k 31. 12. - brutto,2023,193286.7458957561
